projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
joquery;FilterTest;C:\Users\cebec\.jnose_projects\joquery\src-test\joquery\FilterTest.java;C:\Users\cebec\.jnose_projects\joquery\src\joquery\Filter.java;JUnit4;96;7;Unknown Test;first_WithNoFilter_ShouldReturnAll;39-45;39-45
joquery;FilterTest;C:\Users\cebec\.jnose_projects\joquery\src-test\joquery\FilterTest.java;C:\Users\cebec\.jnose_projects\joquery\src\joquery\Filter.java;JUnit4;96;7;Unknown Test;last_WithNoFilter_ShouldReturnAll;47-59;47-59
joquery;FilterTest;C:\Users\cebec\.jnose_projects\joquery\src-test\joquery\FilterTest.java;C:\Users\cebec\.jnose_projects\joquery\src\joquery\Filter.java;JUnit4;96;7;Unknown Test;list_WithNoFilter_ShouldReturnAll;61-69;61-69
joquery;FilterTest;C:\Users\cebec\.jnose_projects\joquery\src-test\joquery\FilterTest.java;C:\Users\cebec\.jnose_projects\joquery\src\joquery\Filter.java;JUnit4;96;7;Conditional Test Logic;last_WithNoFilter_ShouldReturnAll;54-57;54-57
joquery;SelectionQueryTest;C:\Users\cebec\.jnose_projects\joquery\src-test\joquery\SelectionQueryTest.java;C:\Users\cebec\.jnose_projects\joquery\src\joquery\SelectionQuery.java;JUnit4;145;11;Unknown Test;first_WithNoFilter_ShouldReturnAll;40-46;40-46
joquery;SelectionQueryTest;C:\Users\cebec\.jnose_projects\joquery\src-test\joquery\SelectionQueryTest.java;C:\Users\cebec\.jnose_projects\joquery\src\joquery\SelectionQuery.java;JUnit4;145;11;Unknown Test;last_WithNoFilter_ShouldReturnAll;48-60;48-60
joquery;SelectionQueryTest;C:\Users\cebec\.jnose_projects\joquery\src-test\joquery\SelectionQueryTest.java;C:\Users\cebec\.jnose_projects\joquery\src\joquery\SelectionQuery.java;JUnit4;145;11;Unknown Test;list_UseWithoutTransformation_ShouldReturnAll;62-70;62-70
joquery;SelectionQueryTest;C:\Users\cebec\.jnose_projects\joquery\src-test\joquery\SelectionQueryTest.java;C:\Users\cebec\.jnose_projects\joquery\src\joquery\SelectionQuery.java;JUnit4;145;11;Unknown Test;list_WithNoSelectionNoFilterWithTransformer_ShouldReturnAll;72-82;72-82
joquery;SelectionQueryTest;C:\Users\cebec\.jnose_projects\joquery\src-test\joquery\SelectionQueryTest.java;C:\Users\cebec\.jnose_projects\joquery\src\joquery\SelectionQuery.java;JUnit4;145;11;Unknown Test;list_WithSelectionNoFilterWithTransformer_ShouldReturnAll;84-99;84-99
joquery;SelectionQueryTest;C:\Users\cebec\.jnose_projects\joquery\src-test\joquery\SelectionQueryTest.java;C:\Users\cebec\.jnose_projects\joquery\src\joquery\SelectionQuery.java;JUnit4;145;11;Conditional Test Logic;last_WithNoFilter_ShouldReturnAll;55-58;55-58
