projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
jplow;TestBadRequest;C:\Users\cebec\.jnose_projects\jplow\src\test\java\io\github\acgray\jplow\value\TestBadRequest.java;C:\Users\cebec\.jnose_projects\jplow\src\main\java\io\github\acgray\jplow\value\BadRequest.java;JUnit4;47;2;Assertion Roulette;testDeserializeShouldReturnDeserializedRecord;45-45;45-45
jplow;TestTrackerProtocol;C:\Users\cebec\.jnose_projects\jplow\src\test\java\io\github\acgray\jplow\value\TestTrackerProtocol.java;C:\Users\cebec\.jnose_projects\jplow\src\main\java\io\github\acgray\jplow\value\TrackerProtocol.java;JUnit4;126;4;Unknown Test;testFromQueryStringShouldIgnoreMalformedQueryString;120-124;120-124
jplow;TestTrackerProtocol;C:\Users\cebec\.jnose_projects\jplow\src\test\java\io\github\acgray\jplow\value\TestTrackerProtocol.java;C:\Users\cebec\.jnose_projects\jplow\src\main\java\io\github\acgray\jplow\value\TrackerProtocol.java;JUnit4;126;4;Verbose Test;testFromQueryStringShouldCreateAnObject;23-111;23-111
jplow;TestTrackerProtocol;C:\Users\cebec\.jnose_projects\jplow\src\test\java\io\github\acgray\jplow\value\TestTrackerProtocol.java;C:\Users\cebec\.jnose_projects\jplow\src\main\java\io\github\acgray\jplow\value\TrackerProtocol.java;JUnit4;126;4;Assertion Roulette;testFromJsonCreatesObjectWithProvidedFields;18-18;18-18
jplow;TestTrackerProtocol;C:\Users\cebec\.jnose_projects\jplow\src\test\java\io\github\acgray\jplow\value\TestTrackerProtocol.java;C:\Users\cebec\.jnose_projects\jplow\src\main\java\io\github\acgray\jplow\value\TrackerProtocol.java;JUnit4;126;4;Assertion Roulette;testFromJsonCreatesObjectWithProvidedFields;19-19;19-19
jplow;TestTrackerProtocol;C:\Users\cebec\.jnose_projects\jplow\src\test\java\io\github\acgray\jplow\value\TestTrackerProtocol.java;C:\Users\cebec\.jnose_projects\jplow\src\main\java\io\github\acgray\jplow\value\TrackerProtocol.java;JUnit4;126;4;Assertion Roulette;testFromJsonCreatesObjectWithProvidedFields;20-20;20-20
jplow;TestTrackerProtocol;C:\Users\cebec\.jnose_projects\jplow\src\test\java\io\github\acgray\jplow\value\TestTrackerProtocol.java;C:\Users\cebec\.jnose_projects\jplow\src\main\java\io\github\acgray\jplow\value\TrackerProtocol.java;JUnit4;126;4;Assertion Roulette;testFromQueryStringShouldCreateAnObject;28-28;28-28
jplow;TestTrackerProtocol;C:\Users\cebec\.jnose_projects\jplow\src\test\java\io\github\acgray\jplow\value\TestTrackerProtocol.java;C:\Users\cebec\.jnose_projects\jplow\src\main\java\io\github\acgray\jplow\value\TrackerProtocol.java;JUnit4;126;4;Assertion Roulette;testFromQueryStringShouldCreateAnObject;29-29;29-29
jplow;TestTrackerProtocol;C:\Users\cebec\.jnose_projects\jplow\src\test\java\io\github\acgray\jplow\value\TestTrackerProtocol.java;C:\Users\cebec\.jnose_projects\jplow\src\main\java\io\github\acgray\jplow\value\TrackerProtocol.java;JUnit4;126;4;Assertion Roulette;testFromQueryStringShouldCreateAnObject;30-30;30-30
jplow;TestTrackerProtocol;C:\Users\cebec\.jnose_projects\jplow\src\test\java\io\github\acgray\jplow\value\TestTrackerProtocol.java;C:\Users\cebec\.jnose_projects\jplow\src\main\java\io\github\acgray\jplow\value\TrackerProtocol.java;JUnit4;126;4;Assertion Roulette;testFromQueryStringShouldCreateAnObject;33-33;33-33
