projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
json;JsonFactoryTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonFactoryTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\JsonFactory.java;JUnit4;68;10;Magic Number Test;keyVal;62;62
json;JsonFactoryTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonFactoryTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\JsonFactory.java;JUnit4;68;10;Sensitive Equality;file;37-37;37-37
json;JsonFactoryTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonFactoryTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\JsonFactory.java;JUnit4;68;10;Sensitive Equality;url;45-45;45-45
json;JsonFactoryTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonFactoryTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\JsonFactory.java;JUnit4;68;10;Assertion Roulette;map;19-19;19-19
json;JsonFactoryTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonFactoryTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\JsonFactory.java;JUnit4;68;10;Assertion Roulette;string;24-24;24-24
json;JsonFactoryTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonFactoryTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\JsonFactory.java;JUnit4;68;10;Assertion Roulette;bean;29-29;29-29
json;JsonFactoryTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonFactoryTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\JsonFactory.java;JUnit4;68;10;Assertion Roulette;file;37-37;37-37
json;JsonFactoryTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonFactoryTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\JsonFactory.java;JUnit4;68;10;Assertion Roulette;url;45-45;45-45
json;JsonFactoryTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonFactoryTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\JsonFactory.java;JUnit4;68;10;Assertion Roulette;bytes;51-51;51-51
json;JsonFactoryTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonFactoryTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\JsonFactory.java;JUnit4;68;10;Assertion Roulette;stream;57-57;57-57
json;JsonFactoryTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonFactoryTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\JsonFactory.java;JUnit4;68;10;Assertion Roulette;keyVal;62-62;62-62
json;JsonTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\Json.java;JUnit4;155;17;Magic Number Test;containsConstructorKeyValue;26;26
json;JsonTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\Json.java;JUnit4;155;17;Magic Number Test;containsAnonymousClassFields;47;47
json;JsonTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\Json.java;JUnit4;155;17;Magic Number Test;createdWithHasValues;53;53
json;JsonTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\Json.java;JUnit4;155;17;Magic Number Test;atReturnsNestedJson;88;88
json;JsonTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\Json.java;JUnit4;155;17;Magic Number Test;getWithDefaultValueReturnsNestedJson;98;98
json;JsonTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\Json.java;JUnit4;155;17;Magic Number Test;getWithDefaultValueReturnsNestedJson;99;99
json;JsonTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\Json.java;JUnit4;155;17;Magic Number Test;getArray;128;128
json;JsonTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\Json.java;JUnit4;155;17;Sensitive Equality;listPropertyProducesArrayInJson;59-59;59-59
json;JsonTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\Json.java;JUnit4;155;17;Sensitive Equality;toStringGiveJson;65-65;65-65
json;JsonTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\Json.java;JUnit4;155;17;Lazy Test;copyMakesDeepCopy, mergeProducesCombinedJson;121, 111;121, 111
json;JsonTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\Json.java;JUnit4;155;17;Lazy Test;containsConstructorMap, containsConstructorKeyValue;34, 24;34, 24
json;JsonTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\Json.java;JUnit4;155;17;Lazy Test;getWithDefaultValueReturnsNestedJson, containsAnonymousClassFields, containsConstructorMap, containsConstructorKeyValue;100, 99, 98, 48, 45, 35, 25;100, 99, 98, 48, 45, 35, 25
json;JsonTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\Json.java;JUnit4;155;17;Lazy Test;toStringGiveJson, listPropertyProducesArrayInJson;65, 59;65, 59
json;JsonTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\Json.java;JUnit4;155;17;Lazy Test;putObjects, getObjects, putArray, getArray, copyMakesDeepCopy, mergeProducesCombinedJson, getWithDefaultValueReturnsNestedJson, atReturnsNestedJson, getReturnsDefaultValueForMissingKey, twoJsonsWithSamePropertiesAreEqual, toStringGiveJson, listPropertyProducesArrayInJson, createdWithHasValues, containsAnonymousClassFields, containsConstructorMap, containsConstructorKeyValue, newJsonIsEmpty;151, 150, 149, 142, 141, 134, 133, 127, 117, 108, 106, 105, 98, 96, 88, 86, 81, 79, 71, 70, 64, 58, 53, 41, 33, 23, 18, 17;151, 150, 149, 142, 141, 134, 133, 127, 117, 108, 106, 105, 98, 96, 88, 86, 81, 79, 71, 70, 64, 58, 53, 41, 33, 23, 18, 17
json;JsonTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\Json.java;JUnit4;155;17;Eager Test;containsConstructorKeyValue;23, 25;23, 25
json;JsonTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\Json.java;JUnit4;155;17;Eager Test;containsConstructorMap;33, 35;33, 35
json;JsonTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\Json.java;JUnit4;155;17;Eager Test;containsAnonymousClassFields;41, 48;41, 48
json;JsonTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\Json.java;JUnit4;155;17;Eager Test;listPropertyProducesArrayInJson;58, 59;58, 59
json;JsonTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\Json.java;JUnit4;155;17;Eager Test;toStringGiveJson;64, 65;64, 65
json;JsonTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\Json.java;JUnit4;155;17;Eager Test;twoJsonsWithSamePropertiesAreEqual;70, 71, 74;70, 71, 74
json;JsonTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\Json.java;JUnit4;155;17;Eager Test;atReturnsNestedJson;86, 88, 90;86, 88, 90
json;JsonTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\Json.java;JUnit4;155;17;Eager Test;getWithDefaultValueReturnsNestedJson;100, 96, 98;100, 96, 98
json;JsonTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\Json.java;JUnit4;155;17;Eager Test;mergeProducesCombinedJson;105, 106, 108, 110, 111;105, 106, 108, 110, 111
json;JsonTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\Json.java;JUnit4;155;17;Eager Test;copyMakesDeepCopy;117, 118, 121;117, 118, 121
json;JsonTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\Json.java;JUnit4;155;17;Eager Test;getArray;127, 128;127, 128
json;JsonTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\Json.java;JUnit4;155;17;Eager Test;getObjects;141, 142, 144;141, 142, 144
json;JsonTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\Json.java;JUnit4;155;17;Assertion Roulette;newJsonIsEmpty;17-17;17-17
json;JsonTest;C:\Users\cebec\.jnose_projects\json\src\test\java\org\andrejs\json\JsonTest.java;C:\Users\cebec\.jnose_projects\json\src\main\java\org\andrejs\json\Json.java;JUnit4;155;17;Assertion Roulette;newJsonIsEmpty;18-18;18-18
