projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
jts-discretizer;GeometryCollectionDiscretizerTest;C:\Users\cebec\.jnose_projects\jts-discretizer\src\test\java\io\github\adrianulbona\jts\discretizer\geometry\GeometryCollectionDiscretizerTest.java;C:\Users\cebec\.jnose_projects\jts-discretizer\src\main\java\io\github\adrianulbona\jts\discretizer\geometry\GeometryCollectionDiscretizer.java;JUnit5;45;4;Assertion Roulette;discretize;42-42;42-42
jts-discretizer;LineStringDiscretizerTest;C:\Users\cebec\.jnose_projects\jts-discretizer\src\test\java\io\github\adrianulbona\jts\discretizer\geometry\LineStringDiscretizerTest.java;C:\Users\cebec\.jnose_projects\jts-discretizer\src\main\java\io\github\adrianulbona\jts\discretizer\geometry\LineStringDiscretizer.java;JUnit5;59;5;Assertion Roulette;discretize;57-57;57-57
jts-discretizer;PointDiscretizerTest;C:\Users\cebec\.jnose_projects\jts-discretizer\src\test\java\io\github\adrianulbona\jts\discretizer\geometry\PointDiscretizerTest.java;C:\Users\cebec\.jnose_projects\jts-discretizer\src\main\java\io\github\adrianulbona\jts\discretizer\geometry\PointDiscretizer.java;JUnit5;45;2;Magic Number Test;discretize;41;41
jts-discretizer;PointDiscretizerTest;C:\Users\cebec\.jnose_projects\jts-discretizer\src\test\java\io\github\adrianulbona\jts\discretizer\geometry\PointDiscretizerTest.java;C:\Users\cebec\.jnose_projects\jts-discretizer\src\main\java\io\github\adrianulbona\jts\discretizer\geometry\PointDiscretizer.java;JUnit5;45;2;Assertion Roulette;discretize;41-41;41-41
jts-discretizer;PointDiscretizerTest;C:\Users\cebec\.jnose_projects\jts-discretizer\src\test\java\io\github\adrianulbona\jts\discretizer\geometry\PointDiscretizerTest.java;C:\Users\cebec\.jnose_projects\jts-discretizer\src\main\java\io\github\adrianulbona\jts\discretizer\geometry\PointDiscretizer.java;JUnit5;45;2;Assertion Roulette;discretize;42-43;42-43
jts-discretizer;PolygonDiscretizerTest;C:\Users\cebec\.jnose_projects\jts-discretizer\src\test\java\io\github\adrianulbona\jts\discretizer\geometry\PolygonDiscretizerTest.java;C:\Users\cebec\.jnose_projects\jts-discretizer\src\main\java\io\github\adrianulbona\jts\discretizer\geometry\PolygonDiscretizer.java;JUnit5;48;4;Assertion Roulette;discretizeCluj;46-46;46-46
jts-discretizer;Coordinate2WGS84PointTest;C:\Users\cebec\.jnose_projects\jts-discretizer\src\test\java\io\github\adrianulbona\jts\discretizer\util\Coordinate2WGS84PointTest.java;C:\Users\cebec\.jnose_projects\jts-discretizer\src\main\java\io\github\adrianulbona\jts\discretizer\util\Coordinate2WGS84Point.java;JUnit5;48;6;Assertion Roulette;apply;44-44;44-44
jts-discretizer;Coordinate2WGS84PointTest;C:\Users\cebec\.jnose_projects\jts-discretizer\src\test\java\io\github\adrianulbona\jts\discretizer\util\Coordinate2WGS84PointTest.java;C:\Users\cebec\.jnose_projects\jts-discretizer\src\main\java\io\github\adrianulbona\jts\discretizer\util\Coordinate2WGS84Point.java;JUnit5;48;6;Assertion Roulette;apply;45-45;45-45
jts-discretizer;CoordinateDiscretizerTest;C:\Users\cebec\.jnose_projects\jts-discretizer\src\test\java\io\github\adrianulbona\jts\discretizer\util\CoordinateDiscretizerTest.java;C:\Users\cebec\.jnose_projects\jts-discretizer\src\main\java\io\github\adrianulbona\jts\discretizer\util\CoordinateDiscretizer.java;JUnit5;42;5;Magic Number Test;discretize;40;40
jts-discretizer;CoordinateDiscretizerTest;C:\Users\cebec\.jnose_projects\jts-discretizer\src\test\java\io\github\adrianulbona\jts\discretizer\util\CoordinateDiscretizerTest.java;C:\Users\cebec\.jnose_projects\jts-discretizer\src\main\java\io\github\adrianulbona\jts\discretizer\util\CoordinateDiscretizer.java;JUnit5;42;5;Assertion Roulette;discretize;40-40;40-40
jts-discretizer;GeoHash2ChildrenStreamTest;C:\Users\cebec\.jnose_projects\jts-discretizer\src\test\java\io\github\adrianulbona\jts\discretizer\util\GeoHash2ChildrenStreamTest.java;C:\Users\cebec\.jnose_projects\jts-discretizer\src\main\java\io\github\adrianulbona\jts\discretizer\util\GeoHash2ChildrenStream.java;JUnit5;44;4;Magic Number Test;expandExpandRoot;33;33
jts-discretizer;GeoHash2ChildrenStreamTest;C:\Users\cebec\.jnose_projects\jts-discretizer\src\test\java\io\github\adrianulbona\jts\discretizer\util\GeoHash2ChildrenStreamTest.java;C:\Users\cebec\.jnose_projects\jts-discretizer\src\main\java\io\github\adrianulbona\jts\discretizer\util\GeoHash2ChildrenStream.java;JUnit5;44;4;Magic Number Test;expandExpandRoot;34;34
jts-discretizer;GeoHash2ChildrenStreamTest;C:\Users\cebec\.jnose_projects\jts-discretizer\src\test\java\io\github\adrianulbona\jts\discretizer\util\GeoHash2ChildrenStreamTest.java;C:\Users\cebec\.jnose_projects\jts-discretizer\src\main\java\io\github\adrianulbona\jts\discretizer\util\GeoHash2ChildrenStream.java;JUnit5;44;4;Magic Number Test;expandExpand;41;41
jts-discretizer;GeoHash2ChildrenStreamTest;C:\Users\cebec\.jnose_projects\jts-discretizer\src\test\java\io\github\adrianulbona\jts\discretizer\util\GeoHash2ChildrenStreamTest.java;C:\Users\cebec\.jnose_projects\jts-discretizer\src\main\java\io\github\adrianulbona\jts\discretizer\util\GeoHash2ChildrenStream.java;JUnit5;44;4;Magic Number Test;expandExpand;42;42
jts-discretizer;GeoHash2ChildrenStreamTest;C:\Users\cebec\.jnose_projects\jts-discretizer\src\test\java\io\github\adrianulbona\jts\discretizer\util\GeoHash2ChildrenStreamTest.java;C:\Users\cebec\.jnose_projects\jts-discretizer\src\main\java\io\github\adrianulbona\jts\discretizer\util\GeoHash2ChildrenStream.java;JUnit5;44;4;Assertion Roulette;expandExpandRoot;33-33;33-33
jts-discretizer;GeoHash2ChildrenStreamTest;C:\Users\cebec\.jnose_projects\jts-discretizer\src\test\java\io\github\adrianulbona\jts\discretizer\util\GeoHash2ChildrenStreamTest.java;C:\Users\cebec\.jnose_projects\jts-discretizer\src\main\java\io\github\adrianulbona\jts\discretizer\util\GeoHash2ChildrenStream.java;JUnit5;44;4;Assertion Roulette;expandExpandRoot;34-34;34-34
jts-discretizer;GeoHash2ChildrenStreamTest;C:\Users\cebec\.jnose_projects\jts-discretizer\src\test\java\io\github\adrianulbona\jts\discretizer\util\GeoHash2ChildrenStreamTest.java;C:\Users\cebec\.jnose_projects\jts-discretizer\src\main\java\io\github\adrianulbona\jts\discretizer\util\GeoHash2ChildrenStream.java;JUnit5;44;4;Assertion Roulette;expandExpand;41-41;41-41
jts-discretizer;GeoHash2ChildrenStreamTest;C:\Users\cebec\.jnose_projects\jts-discretizer\src\test\java\io\github\adrianulbona\jts\discretizer\util\GeoHash2ChildrenStreamTest.java;C:\Users\cebec\.jnose_projects\jts-discretizer\src\main\java\io\github\adrianulbona\jts\discretizer\util\GeoHash2ChildrenStream.java;JUnit5;44;4;Assertion Roulette;expandExpand;42-42;42-42
jts-discretizer;GeoHash2GeometryTest;C:\Users\cebec\.jnose_projects\jts-discretizer\src\test\java\io\github\adrianulbona\jts\discretizer\util\GeoHash2GeometryTest.java;C:\Users\cebec\.jnose_projects\jts-discretizer\src\main\java\io\github\adrianulbona\jts\discretizer\util\GeoHash2Geometry.java;JUnit5;39;4;Assertion Roulette;apply;37-37;37-37
jts-discretizer;SegmentDiscretizerTest;C:\Users\cebec\.jnose_projects\jts-discretizer\src\test\java\io\github\adrianulbona\jts\discretizer\util\SegmentDiscretizerTest.java;C:\Users\cebec\.jnose_projects\jts-discretizer\src\main\java\io\github\adrianulbona\jts\discretizer\util\SegmentDiscretizer.java;JUnit5;63;6;Magic Number Test;discretize;58;58
jts-discretizer;SegmentDiscretizerTest;C:\Users\cebec\.jnose_projects\jts-discretizer\src\test\java\io\github\adrianulbona\jts\discretizer\util\SegmentDiscretizerTest.java;C:\Users\cebec\.jnose_projects\jts-discretizer\src\main\java\io\github\adrianulbona\jts\discretizer\util\SegmentDiscretizer.java;JUnit5;63;6;Assertion Roulette;discretize;58-58;58-58
jts-discretizer;SegmentDiscretizerTest;C:\Users\cebec\.jnose_projects\jts-discretizer\src\test\java\io\github\adrianulbona\jts\discretizer\util\SegmentDiscretizerTest.java;C:\Users\cebec\.jnose_projects\jts-discretizer\src\main\java\io\github\adrianulbona\jts\discretizer\util\SegmentDiscretizer.java;JUnit5;63;6;Assertion Roulette;discretize;61-61;61-61
jts-discretizer;WGS84Point2CoordinateTest;C:\Users\cebec\.jnose_projects\jts-discretizer\src\test\java\io\github\adrianulbona\jts\discretizer\util\WGS84Point2CoordinateTest.java;C:\Users\cebec\.jnose_projects\jts-discretizer\src\main\java\io\github\adrianulbona\jts\discretizer\util\WGS84Point2Coordinate.java;JUnit5;27;2;Assertion Roulette;apply;24-24;24-24
jts-discretizer;WGS84Point2CoordinateTest;C:\Users\cebec\.jnose_projects\jts-discretizer\src\test\java\io\github\adrianulbona\jts\discretizer\util\WGS84Point2CoordinateTest.java;C:\Users\cebec\.jnose_projects\jts-discretizer\src\main\java\io\github\adrianulbona\jts\discretizer\util\WGS84Point2Coordinate.java;JUnit5;27;2;Assertion Roulette;apply;25-25;25-25
