projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
junit-rules;DerbyDataSourceRuleTest;C:\Users\cebec\.jnose_projects\junit-rules\src\test\java\junit\rules\derby\DerbyDataSourceRuleTest.java;C:\Users\cebec\.jnose_projects\junit-rules\src\main\java\junit\rules\derby\DerbyDataSourceRule.java;JUnit4;55;2;Assertion Roulette;testDerbyDataSourceRule;40-40;40-40
junit-rules;DerbyDataSourceRuleTest;C:\Users\cebec\.jnose_projects\junit-rules\src\test\java\junit\rules\derby\DerbyDataSourceRuleTest.java;C:\Users\cebec\.jnose_projects\junit-rules\src\main\java\junit\rules\derby\DerbyDataSourceRule.java;JUnit4;55;2;Assertion Roulette;testDerbyDataSourceRule;47-47;47-47
junit-rules;DerbyDataSourceRuleTest;C:\Users\cebec\.jnose_projects\junit-rules\src\test\java\junit\rules\derby\DerbyDataSourceRuleTest.java;C:\Users\cebec\.jnose_projects\junit-rules\src\main\java\junit\rules\derby\DerbyDataSourceRule.java;JUnit4;55;2;Exception Catching Throwing;testDerbyDataSourceRule;41-53;41-53
junit-rules;ExpectedExceptionsTest;C:\Users\cebec\.jnose_projects\junit-rules\src\test\java\junit\rules\ExpectedExceptionsTest.java;C:\Users\cebec\.jnose_projects\junit-rules\src\main\java\junit\rules\ExpectedExceptions.java;JUnit3;179;6;Unknown Test;testExpectedExceptions;33-43;33-43
junit-rules;ExpectedExceptionsTest;C:\Users\cebec\.jnose_projects\junit-rules\src\test\java\junit\rules\ExpectedExceptionsTest.java;C:\Users\cebec\.jnose_projects\junit-rules\src\main\java\junit\rules\ExpectedExceptions.java;JUnit3;179;6;Unknown Test;testExpectsExceptionButNoneThrown;48-59;48-59
junit-rules;ExpectedExceptionsTest;C:\Users\cebec\.jnose_projects\junit-rules\src\test\java\junit\rules\ExpectedExceptionsTest.java;C:\Users\cebec\.jnose_projects\junit-rules\src\main\java\junit\rules\ExpectedExceptions.java;JUnit3;179;6;Unknown Test;throwsArrayIndexOutOfBounds;126-132;126-132
junit-rules;ExpectedExceptionsTest;C:\Users\cebec\.jnose_projects\junit-rules\src\test\java\junit\rules\ExpectedExceptionsTest.java;C:\Users\cebec\.jnose_projects\junit-rules\src\main\java\junit\rules\ExpectedExceptions.java;JUnit3;179;6;Unknown Test;throwsNullPointerException;137-143;137-143
junit-rules;ExpectedExceptionsTest;C:\Users\cebec\.jnose_projects\junit-rules\src\test\java\junit\rules\ExpectedExceptionsTest.java;C:\Users\cebec\.jnose_projects\junit-rules\src\main\java\junit\rules\ExpectedExceptions.java;JUnit3;179;6;Unknown Test;throwsIllegalArgumentException;148-152;148-152
junit-rules;ExpectedExceptionsTest;C:\Users\cebec\.jnose_projects\junit-rules\src\test\java\junit\rules\ExpectedExceptionsTest.java;C:\Users\cebec\.jnose_projects\junit-rules\src\main\java\junit\rules\ExpectedExceptions.java;JUnit3;179;6;Redundant Assertion;noException;119-119;119-119
junit-rules;ExpectedExceptionsTest;C:\Users\cebec\.jnose_projects\junit-rules\src\test\java\junit\rules\ExpectedExceptionsTest.java;C:\Users\cebec\.jnose_projects\junit-rules\src\main\java\junit\rules\ExpectedExceptions.java;JUnit3;179;6;Redundant Assertion;noException;175-175;175-175
junit-rules;HttpServerRuleTest;C:\Users\cebec\.jnose_projects\junit-rules\src\test\java\junit\rules\httpserver\HttpServerRuleTest.java;C:\Users\cebec\.jnose_projects\junit-rules\src\main\java\junit\rules\httpserver\HttpServerRule.java;JUnit4;141;5;Assertion Roulette;testHttpServerRule;66-66;66-66
junit-rules;HttpServerRuleTest;C:\Users\cebec\.jnose_projects\junit-rules\src\test\java\junit\rules\httpserver\HttpServerRuleTest.java;C:\Users\cebec\.jnose_projects\junit-rules\src\main\java\junit\rules\httpserver\HttpServerRule.java;JUnit4;141;5;Assertion Roulette;testHttpServerRule;67-67;67-67
junit-rules;HttpServerRuleTest;C:\Users\cebec\.jnose_projects\junit-rules\src\test\java\junit\rules\httpserver\HttpServerRuleTest.java;C:\Users\cebec\.jnose_projects\junit-rules\src\main\java\junit\rules\httpserver\HttpServerRule.java;JUnit4;141;5;Assertion Roulette;testHttpServerRule;68-68;68-68
junit-rules;HttpServerRuleTest;C:\Users\cebec\.jnose_projects\junit-rules\src\test\java\junit\rules\httpserver\HttpServerRuleTest.java;C:\Users\cebec\.jnose_projects\junit-rules\src\main\java\junit\rules\httpserver\HttpServerRule.java;JUnit4;141;5;Assertion Roulette;testHttpServerRulePostMethod;92-92;92-92
junit-rules;HttpServerRuleTest;C:\Users\cebec\.jnose_projects\junit-rules\src\test\java\junit\rules\httpserver\HttpServerRuleTest.java;C:\Users\cebec\.jnose_projects\junit-rules\src\main\java\junit\rules\httpserver\HttpServerRule.java;JUnit4;141;5;Assertion Roulette;testHttpServerRulePostMethod;93-93;93-93
