projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
kafka-connector-redis;StatsdMetricsReporterTest;C:\Users\cebec\.jnose_projects\kafka-connector-redis\src\test\java\com\airbnb\kafka\kafka08\StatsdMetricsReporterTest.java;C:\Users\cebec\.jnose_projects\kafka-connector-redis\src\main\java\com\airbnb\kafka\kafka09\StatsdMetricsReporter.java;JUnit4;76;5;Lazy Test;init_should_not_start_reporter_when_disabled, init_should_start_reporter_when_enabled;71, 58;71, 58
kafka-connector-redis;StatsdMetricsReporterTest;C:\Users\cebec\.jnose_projects\kafka-connector-redis\src\test\java\com\airbnb\kafka\kafka08\StatsdMetricsReporterTest.java;C:\Users\cebec\.jnose_projects\kafka-connector-redis\src\main\java\com\airbnb\kafka\kafka09\StatsdMetricsReporter.java;JUnit4;76;5;Lazy Test;init_should_not_start_reporter_when_disabled, init_should_start_reporter_when_enabled;72, 70, 59, 57;72, 70, 59, 57
kafka-connector-redis;StatsdMetricsReporterTest;C:\Users\cebec\.jnose_projects\kafka-connector-redis\src\test\java\com\airbnb\kafka\kafka08\StatsdMetricsReporterTest.java;C:\Users\cebec\.jnose_projects\kafka-connector-redis\src\main\java\com\airbnb\kafka\kafka09\StatsdMetricsReporter.java;JUnit4;76;5;Assertion Roulette;mbean_name_should_match;48-48;48-48
kafka-connector-redis;StatsdMetricsReporterTest;C:\Users\cebec\.jnose_projects\kafka-connector-redis\src\test\java\com\airbnb\kafka\kafka08\StatsdMetricsReporterTest.java;C:\Users\cebec\.jnose_projects\kafka-connector-redis\src\main\java\com\airbnb\kafka\kafka09\StatsdMetricsReporter.java;JUnit4;76;5;General Fixture;init;34;34
kafka-connector-redis;StatsdMetricsReporterTest;C:\Users\cebec\.jnose_projects\kafka-connector-redis\src\test\java\com\airbnb\kafka\kafka09\StatsdMetricsReporterTest.java;C:\Users\cebec\.jnose_projects\kafka-connector-redis\src\main\java\com\airbnb\kafka\kafka09\StatsdMetricsReporter.java;JUnit4;94;10;Lazy Test;testMetricsReporter_sameMetricNamesWithDifferentTags, init_should_not_start_reporter_when_disabled, init_should_start_reporter_when_enabled;74, 62, 52;74, 62, 52
kafka-connector-redis;StatsdMetricsReporterTest;C:\Users\cebec\.jnose_projects\kafka-connector-redis\src\test\java\com\airbnb\kafka\kafka09\StatsdMetricsReporterTest.java;C:\Users\cebec\.jnose_projects\kafka-connector-redis\src\main\java\com\airbnb\kafka\kafka09\StatsdMetricsReporter.java;JUnit4;94;10;Lazy Test;init_should_not_start_reporter_when_disabled, init_should_start_reporter_when_enabled;63, 60, 53, 50;63, 60, 53, 50
kafka-connector-redis;StatsdMetricsReporterTest;C:\Users\cebec\.jnose_projects\kafka-connector-redis\src\test\java\com\airbnb\kafka\kafka09\StatsdMetricsReporterTest.java;C:\Users\cebec\.jnose_projects\kafka-connector-redis\src\main\java\com\airbnb\kafka\kafka09\StatsdMetricsReporter.java;JUnit4;94;10;Lazy Test;testMetricsReporter_sameMetricNamesWithDifferentTags, init_should_not_start_reporter_when_disabled, init_should_start_reporter_when_enabled;69, 61, 51;69, 61, 51
kafka-connector-redis;StatsdMetricsReporterTest;C:\Users\cebec\.jnose_projects\kafka-connector-redis\src\test\java\com\airbnb\kafka\kafka09\StatsdMetricsReporterTest.java;C:\Users\cebec\.jnose_projects\kafka-connector-redis\src\main\java\com\airbnb\kafka\kafka09\StatsdMetricsReporter.java;JUnit4;94;10;Assertion Roulette;testMetricsReporter_sameMetricNamesWithDifferentTags;75-75;75-75
kafka-connector-redis;StatsdMetricsReporterTest;C:\Users\cebec\.jnose_projects\kafka-connector-redis\src\test\java\com\airbnb\kafka\kafka09\StatsdMetricsReporterTest.java;C:\Users\cebec\.jnose_projects\kafka-connector-redis\src\main\java\com\airbnb\kafka\kafka09\StatsdMetricsReporter.java;JUnit4;94;10;Assertion Roulette;testMetricsReporter_sameMetricNamesWithDifferentTags;79-79;79-79
kafka-connector-redis;StatsdMetricsReporterTest;C:\Users\cebec\.jnose_projects\kafka-connector-redis\src\test\java\com\airbnb\kafka\kafka09\StatsdMetricsReporterTest.java;C:\Users\cebec\.jnose_projects\kafka-connector-redis\src\main\java\com\airbnb\kafka\kafka09\StatsdMetricsReporter.java;JUnit4;94;10;General Fixture;init;39;39
