projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
kalium;AdvancedTest;C:\Users\cebec\.jnose_projects\kalium\src\test\java\org\abstractj\kalium\crypto\AdvancedTest.java;C:\Users\cebec\.jnose_projects\kalium\src\main\java\org\abstractj\kalium\crypto\Advanced.java;JUnit4;82;4;Lazy Test;testXsalsa20IncorrectKeyAndIncorrectNonce, testXsalsa20IncorrectKey, testXsalsa20IncorrectNonce, testXsalsa20HappyFlow;78, 77, 63, 62, 49, 48, 35, 34;78, 77, 63, 62, 49, 48, 35, 34
kalium;AdvancedTest;C:\Users\cebec\.jnose_projects\kalium\src\test\java\org\abstractj\kalium\crypto\AdvancedTest.java;C:\Users\cebec\.jnose_projects\kalium\src\main\java\org\abstractj\kalium\crypto\Advanced.java;JUnit4;82;4;Assertion Roulette;testXsalsa20HappyFlow;36-36;36-36
kalium;AdvancedTest;C:\Users\cebec\.jnose_projects\kalium\src\test\java\org\abstractj\kalium\crypto\AdvancedTest.java;C:\Users\cebec\.jnose_projects\kalium\src\main\java\org\abstractj\kalium\crypto\Advanced.java;JUnit4;82;4;Assertion Roulette;testXsalsa20IncorrectNonce;50-50;50-50
kalium;AdvancedTest;C:\Users\cebec\.jnose_projects\kalium\src\test\java\org\abstractj\kalium\crypto\AdvancedTest.java;C:\Users\cebec\.jnose_projects\kalium\src\main\java\org\abstractj\kalium\crypto\Advanced.java;JUnit4;82;4;Assertion Roulette;testXsalsa20IncorrectKey;64-64;64-64
kalium;AdvancedTest;C:\Users\cebec\.jnose_projects\kalium\src\test\java\org\abstractj\kalium\crypto\AdvancedTest.java;C:\Users\cebec\.jnose_projects\kalium\src\main\java\org\abstractj\kalium\crypto\Advanced.java;JUnit4;82;4;Assertion Roulette;testXsalsa20IncorrectKeyAndIncorrectNonce;79-79;79-79
kalium;AeadTest;C:\Users\cebec\.jnose_projects\kalium\src\test\java\org\abstractj\kalium\crypto\AeadTest.java;C:\Users\cebec\.jnose_projects\kalium\src\main\java\org\abstractj\kalium\crypto\Aead.java;JUnit4;54;3;Lazy Test;testAES256GCM, testEncrypt;50, 20;50, 20
kalium;AeadTest;C:\Users\cebec\.jnose_projects\kalium\src\test\java\org\abstractj\kalium\crypto\AeadTest.java;C:\Users\cebec\.jnose_projects\kalium\src\main\java\org\abstractj\kalium\crypto\Aead.java;JUnit4;54;3;Lazy Test;testAES256GCM, testDecrypt, testEncrypt;49, 31, 19;49, 31, 19
kalium;AeadTest;C:\Users\cebec\.jnose_projects\kalium\src\test\java\org\abstractj\kalium\crypto\AeadTest.java;C:\Users\cebec\.jnose_projects\kalium\src\main\java\org\abstractj\kalium\crypto\Aead.java;JUnit4;54;3;Lazy Test;testAES256GCM, testDecrypt;51, 32;51, 32
kalium;AeadTest;C:\Users\cebec\.jnose_projects\kalium\src\test\java\org\abstractj\kalium\crypto\AeadTest.java;C:\Users\cebec\.jnose_projects\kalium\src\main\java\org\abstractj\kalium\crypto\Aead.java;JUnit4;54;3;Eager Test;testEncrypt;19, 20;19, 20
kalium;AeadTest;C:\Users\cebec\.jnose_projects\kalium\src\test\java\org\abstractj\kalium\crypto\AeadTest.java;C:\Users\cebec\.jnose_projects\kalium\src\main\java\org\abstractj\kalium\crypto\Aead.java;JUnit4;54;3;Eager Test;testDecrypt;31, 32;31, 32
kalium;AeadTest;C:\Users\cebec\.jnose_projects\kalium\src\test\java\org\abstractj\kalium\crypto\AeadTest.java;C:\Users\cebec\.jnose_projects\kalium\src\main\java\org\abstractj\kalium\crypto\Aead.java;JUnit4;54;3;Eager Test;testAES256GCM;49, 51;49, 51
kalium;AeadTest;C:\Users\cebec\.jnose_projects\kalium\src\test\java\org\abstractj\kalium\crypto\AeadTest.java;C:\Users\cebec\.jnose_projects\kalium\src\main\java\org\abstractj\kalium\crypto\Aead.java;JUnit4;54;3;Assertion Roulette;testEncrypt;21-21;21-21
