projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
keycloak-config-cli;ImportConfigPropertiesTest;C:\Users\cebec\.jnose_projects\keycloak-config-cli\src\test\java\de\adorsys\keycloak\config\properties\ImportConfigPropertiesTest.java;C:\Users\cebec\.jnose_projects\keycloak-config-cli\src\main\java\de\adorsys\keycloak\config\properties\ImportConfigProperties.java;JUnit5;121;3;Verbose Test;shouldPopulateConfigurationProperties;81-115;81-115
keycloak-config-cli;ImportConfigPropertiesTest;C:\Users\cebec\.jnose_projects\keycloak-config-cli\src\test\java\de\adorsys\keycloak\config\properties\ImportConfigPropertiesTest.java;C:\Users\cebec\.jnose_projects\keycloak-config-cli\src\main\java\de\adorsys\keycloak\config\properties\ImportConfigProperties.java;JUnit5;121;3;Assertion Roulette;shouldPopulateConfigurationProperties;84-84;84-84
keycloak-config-cli;ImportConfigPropertiesTest;C:\Users\cebec\.jnose_projects\keycloak-config-cli\src\test\java\de\adorsys\keycloak\config\properties\ImportConfigPropertiesTest.java;C:\Users\cebec\.jnose_projects\keycloak-config-cli\src\main\java\de\adorsys\keycloak\config\properties\ImportConfigProperties.java;JUnit5;121;3;Assertion Roulette;shouldPopulateConfigurationProperties;85-85;85-85
keycloak-config-cli;ImportConfigPropertiesTest;C:\Users\cebec\.jnose_projects\keycloak-config-cli\src\test\java\de\adorsys\keycloak\config\properties\ImportConfigPropertiesTest.java;C:\Users\cebec\.jnose_projects\keycloak-config-cli\src\main\java\de\adorsys\keycloak\config\properties\ImportConfigProperties.java;JUnit5;121;3;Assertion Roulette;shouldPopulateConfigurationProperties;86-86;86-86
keycloak-config-cli;ImportConfigPropertiesTest;C:\Users\cebec\.jnose_projects\keycloak-config-cli\src\test\java\de\adorsys\keycloak\config\properties\ImportConfigPropertiesTest.java;C:\Users\cebec\.jnose_projects\keycloak-config-cli\src\main\java\de\adorsys\keycloak\config\properties\ImportConfigProperties.java;JUnit5;121;3;Assertion Roulette;shouldPopulateConfigurationProperties;87-87;87-87
keycloak-config-cli;ImportConfigPropertiesTest;C:\Users\cebec\.jnose_projects\keycloak-config-cli\src\test\java\de\adorsys\keycloak\config\properties\ImportConfigPropertiesTest.java;C:\Users\cebec\.jnose_projects\keycloak-config-cli\src\main\java\de\adorsys\keycloak\config\properties\ImportConfigProperties.java;JUnit5;121;3;Assertion Roulette;shouldPopulateConfigurationProperties;88-88;88-88
keycloak-config-cli;ImportConfigPropertiesTest;C:\Users\cebec\.jnose_projects\keycloak-config-cli\src\test\java\de\adorsys\keycloak\config\properties\ImportConfigPropertiesTest.java;C:\Users\cebec\.jnose_projects\keycloak-config-cli\src\main\java\de\adorsys\keycloak\config\properties\ImportConfigProperties.java;JUnit5;121;3;Assertion Roulette;shouldPopulateConfigurationProperties;89-89;89-89
keycloak-config-cli;ImportConfigPropertiesTest;C:\Users\cebec\.jnose_projects\keycloak-config-cli\src\test\java\de\adorsys\keycloak\config\properties\ImportConfigPropertiesTest.java;C:\Users\cebec\.jnose_projects\keycloak-config-cli\src\main\java\de\adorsys\keycloak\config\properties\ImportConfigProperties.java;JUnit5;121;3;Assertion Roulette;shouldPopulateConfigurationProperties;90-90;90-90
keycloak-config-cli;ImportConfigPropertiesTest;C:\Users\cebec\.jnose_projects\keycloak-config-cli\src\test\java\de\adorsys\keycloak\config\properties\ImportConfigPropertiesTest.java;C:\Users\cebec\.jnose_projects\keycloak-config-cli\src\main\java\de\adorsys\keycloak\config\properties\ImportConfigProperties.java;JUnit5;121;3;Assertion Roulette;shouldPopulateConfigurationProperties;91-91;91-91
keycloak-config-cli;ImportConfigPropertiesTest;C:\Users\cebec\.jnose_projects\keycloak-config-cli\src\test\java\de\adorsys\keycloak\config\properties\ImportConfigPropertiesTest.java;C:\Users\cebec\.jnose_projects\keycloak-config-cli\src\main\java\de\adorsys\keycloak\config\properties\ImportConfigProperties.java;JUnit5;121;3;Assertion Roulette;shouldPopulateConfigurationProperties;92-92;92-92
