projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
keystore-management;PopControllerTest;C:\Users\cebec\.jnose_projects\keystore-management\extras-keyrotation\example-spring-distributed-keyrotation\src\test\java\de\adorsys\keymanagement\keyrotation\controller\PopControllerTest.java;C:\Users\cebec\.jnose_projects\keystore-management\extras-keyrotation\example-spring-distributed-keyrotation\src\main\java\de\adorsys\keymanagement\keyrotation\controller\PopController.java;JUnit5;30;3;Assertion Roulette;pop;28-28;28-28
keystore-management;RotationImplTest;C:\Users\cebec\.jnose_projects\keystore-management\extras-keyrotation\keyrotation-core\src\test\java\de\adorsys\keymanagement\keyrotation\impl\services\RotationImplTest.java;C:\Users\cebec\.jnose_projects\keystore-management\extras-keyrotation\keyrotation-core\src\main\java\de\adorsys\keymanagement\keyrotation\impl\services\RotationImpl.java;JUnit5;226;24;IgnoredTest;testEmptyKeystoreIsFilledWithValid;106-120;106-120
keystore-management;RotationImplTest;C:\Users\cebec\.jnose_projects\keystore-management\extras-keyrotation\keyrotation-core\src\test\java\de\adorsys\keymanagement\keyrotation\impl\services\RotationImplTest.java;C:\Users\cebec\.jnose_projects\keystore-management\extras-keyrotation\keyrotation-core\src\main\java\de\adorsys\keymanagement\keyrotation\impl\services\RotationImpl.java;JUnit5;226;24;IgnoredTest;testValidAreSentToLegacy;122-143;122-143
keystore-management;RotationImplTest;C:\Users\cebec\.jnose_projects\keystore-management\extras-keyrotation\keyrotation-core\src\test\java\de\adorsys\keymanagement\keyrotation\impl\services\RotationImplTest.java;C:\Users\cebec\.jnose_projects\keystore-management\extras-keyrotation\keyrotation-core\src\main\java\de\adorsys\keymanagement\keyrotation\impl\services\RotationImpl.java;JUnit5;226;24;IgnoredTest;testLegacyAreSentToExpiredAndRemoved;145-167;145-167
keystore-management;RotationImplTest;C:\Users\cebec\.jnose_projects\keystore-management\extras-keyrotation\keyrotation-core\src\test\java\de\adorsys\keymanagement\keyrotation\impl\services\RotationImplTest.java;C:\Users\cebec\.jnose_projects\keystore-management\extras-keyrotation\keyrotation-core\src\main\java\de\adorsys\keymanagement\keyrotation\impl\services\RotationImpl.java;JUnit5;226;24;IgnoredTest;testFullRotation;169-204;169-204
keystore-management;RotationImplTest;C:\Users\cebec\.jnose_projects\keystore-management\extras-keyrotation\keyrotation-core\src\test\java\de\adorsys\keymanagement\keyrotation\impl\services\RotationImplTest.java;C:\Users\cebec\.jnose_projects\keystore-management\extras-keyrotation\keyrotation-core\src\main\java\de\adorsys\keymanagement\keyrotation\impl\services\RotationImpl.java;JUnit5;226;24;Verbose Test;testFullRotation;169-204;169-204
keystore-management;RotationImplTest;C:\Users\cebec\.jnose_projects\keystore-management\extras-keyrotation\keyrotation-core\src\test\java\de\adorsys\keymanagement\keyrotation\impl\services\RotationImplTest.java;C:\Users\cebec\.jnose_projects\keystore-management\extras-keyrotation\keyrotation-core\src\main\java\de\adorsys\keymanagement\keyrotation\impl\services\RotationImpl.java;JUnit5;226;24;Duplicate Assert;testEmptyKeystoreIsFilledWithValid;114, 115, 116;114, 115, 116
keystore-management;RotationImplTest;C:\Users\cebec\.jnose_projects\keystore-management\extras-keyrotation\keyrotation-core\src\test\java\de\adorsys\keymanagement\keyrotation\impl\services\RotationImplTest.java;C:\Users\cebec\.jnose_projects\keystore-management\extras-keyrotation\keyrotation-core\src\main\java\de\adorsys\keymanagement\keyrotation\impl\services\RotationImpl.java;JUnit5;226;24;Duplicate Assert;testEmptyKeystoreIsFilledWithValid;117, 118, 119;117, 118, 119
keystore-management;RotationImplTest;C:\Users\cebec\.jnose_projects\keystore-management\extras-keyrotation\keyrotation-core\src\test\java\de\adorsys\keymanagement\keyrotation\impl\services\RotationImplTest.java;C:\Users\cebec\.jnose_projects\keystore-management\extras-keyrotation\keyrotation-core\src\main\java\de\adorsys\keymanagement\keyrotation\impl\services\RotationImpl.java;JUnit5;226;24;Duplicate Assert;testValidAreSentToLegacy;135, 141;135, 141
keystore-management;RotationImplTest;C:\Users\cebec\.jnose_projects\keystore-management\extras-keyrotation\keyrotation-core\src\test\java\de\adorsys\keymanagement\keyrotation\impl\services\RotationImplTest.java;C:\Users\cebec\.jnose_projects\keystore-management\extras-keyrotation\keyrotation-core\src\main\java\de\adorsys\keymanagement\keyrotation\impl\services\RotationImpl.java;JUnit5;226;24;Duplicate Assert;testValidAreSentToLegacy;136, 142;136, 142
