projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
konf;ConfigMemorySizeTest;C:\Users\cebec\.jnose_projects\konf\src\test\java\io\advantageous\config\ConfigMemorySizeTest.java;C:\Users\cebec\.jnose_projects\konf\src\main\java\io\advantageous\config\ConfigMemorySize.java;JUnit4;42;3;Sensitive Equality;toStringTest;39-39;39-39
konf;ConfigMemorySizeTest;C:\Users\cebec\.jnose_projects\konf\src\test\java\io\advantageous\config\ConfigMemorySizeTest.java;C:\Users\cebec\.jnose_projects\konf\src\main\java\io\advantageous\config\ConfigMemorySize.java;JUnit4;42;3;Eager Test;equals;13, 18;13, 18
konf;ConfigMemorySizeTest;C:\Users\cebec\.jnose_projects\konf\src\test\java\io\advantageous\config\ConfigMemorySizeTest.java;C:\Users\cebec\.jnose_projects\konf\src\main\java\io\advantageous\config\ConfigMemorySize.java;JUnit4;42;3;Eager Test;hashCodeTest;29;29
konf;ConfigMemorySizeTest;C:\Users\cebec\.jnose_projects\konf\src\test\java\io\advantageous\config\ConfigMemorySizeTest.java;C:\Users\cebec\.jnose_projects\konf\src\main\java\io\advantageous\config\ConfigMemorySize.java;JUnit4;42;3;Eager Test;toStringTest;39;39
konf;ConfigMemorySizeTest;C:\Users\cebec\.jnose_projects\konf\src\test\java\io\advantageous\config\ConfigMemorySizeTest.java;C:\Users\cebec\.jnose_projects\konf\src\main\java\io\advantageous\config\ConfigMemorySize.java;JUnit4;42;3;Assertion Roulette;equals;17-17;17-17
konf;ConfigMemorySizeTest;C:\Users\cebec\.jnose_projects\konf\src\test\java\io\advantageous\config\ConfigMemorySizeTest.java;C:\Users\cebec\.jnose_projects\konf\src\main\java\io\advantageous\config\ConfigMemorySize.java;JUnit4;42;3;Assertion Roulette;equals;18-18;18-18
konf;ConfigMemorySizeTest;C:\Users\cebec\.jnose_projects\konf\src\test\java\io\advantageous\config\ConfigMemorySizeTest.java;C:\Users\cebec\.jnose_projects\konf\src\main\java\io\advantageous\config\ConfigMemorySize.java;JUnit4;42;3;Assertion Roulette;hashCodeTest;29-29;29-29
konf;ConfigMemorySizeTest;C:\Users\cebec\.jnose_projects\konf\src\test\java\io\advantageous\config\ConfigMemorySizeTest.java;C:\Users\cebec\.jnose_projects\konf\src\main\java\io\advantageous\config\ConfigMemorySize.java;JUnit4;42;3;Assertion Roulette;toStringTest;39-39;39-39
konf;MemorySizeUnitTest;C:\Users\cebec\.jnose_projects\konf\src\test\java\io\advantageous\config\MemorySizeUnitTest.java;C:\Users\cebec\.jnose_projects\konf\src\main\java\io\advantageous\config\MemorySizeUnit.java;JUnit4;26;1;Magic Number Test;parse;14;14
konf;MemorySizeUnitTest;C:\Users\cebec\.jnose_projects\konf\src\test\java\io\advantageous\config\MemorySizeUnitTest.java;C:\Users\cebec\.jnose_projects\konf\src\main\java\io\advantageous\config\MemorySizeUnit.java;JUnit4;26;1;Magic Number Test;parse;15;15
konf;MemorySizeUnitTest;C:\Users\cebec\.jnose_projects\konf\src\test\java\io\advantageous\config\MemorySizeUnitTest.java;C:\Users\cebec\.jnose_projects\konf\src\main\java\io\advantageous\config\MemorySizeUnit.java;JUnit4;26;1;Magic Number Test;parse;16;16
konf;MemorySizeUnitTest;C:\Users\cebec\.jnose_projects\konf\src\test\java\io\advantageous\config\MemorySizeUnitTest.java;C:\Users\cebec\.jnose_projects\konf\src\main\java\io\advantageous\config\MemorySizeUnit.java;JUnit4;26;1;Assertion Roulette;parse;14-14;14-14
konf;MemorySizeUnitTest;C:\Users\cebec\.jnose_projects\konf\src\test\java\io\advantageous\config\MemorySizeUnitTest.java;C:\Users\cebec\.jnose_projects\konf\src\main\java\io\advantageous\config\MemorySizeUnit.java;JUnit4;26;1;Assertion Roulette;parse;15-15;15-15
konf;MemorySizeUnitTest;C:\Users\cebec\.jnose_projects\konf\src\test\java\io\advantageous\config\MemorySizeUnitTest.java;C:\Users\cebec\.jnose_projects\konf\src\main\java\io\advantageous\config\MemorySizeUnit.java;JUnit4;26;1;Assertion Roulette;parse;16-16;16-16
