projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
licket;LicketComponentModelTest;C:\Users\cebec\.jnose_projects\licket\licket-framework\src\test\java\org\licket\core\model\LicketComponentModelTest.java;C:\Users\cebec\.jnose_projects\licket\licket-framework\src\main\java\org\licket\core\model\LicketComponentModel.java;JUnit4;35;2;Assertion Roulette;shouldComputeJsonPatchWhenOldModelExists;20-20;20-20
licket;LicketComponentModelTest;C:\Users\cebec\.jnose_projects\licket\licket-framework\src\test\java\org\licket\core\model\LicketComponentModelTest.java;C:\Users\cebec\.jnose_projects\licket\licket-framework\src\main\java\org\licket\core\model\LicketComponentModel.java;JUnit4;35;2;Assertion Roulette;shouldComputeJsonPatchWhenOldModelDoesNotExist;33-33;33-33
licket;ComponentChildLocatorTest;C:\Users\cebec\.jnose_projects\licket\licket-framework\src\test\java\org\licket\core\view\ComponentChildLocatorTest.java;C:\Users\cebec\.jnose_projects\licket\licket-framework\src\main\java\org\licket\core\view\ComponentChildLocator.java;JUnit4;100;8;Assertion Roulette;shouldFindChildAtNthLevelWhenCompositeIdMatchesComponentTree;54-54;54-54
licket;ComponentChildLocatorTest;C:\Users\cebec\.jnose_projects\licket\licket-framework\src\test\java\org\licket\core\view\ComponentChildLocatorTest.java;C:\Users\cebec\.jnose_projects\licket\licket-framework\src\main\java\org\licket\core\view\ComponentChildLocator.java;JUnit4;100;8;Assertion Roulette;shouldFindChildAtNthLevelWhenCompositeIdIsShorterThanComponentTreeButMatches;67-67;67-67
licket;ComponentChildLocatorTest;C:\Users\cebec\.jnose_projects\licket\licket-framework\src\test\java\org\licket\core\view\ComponentChildLocatorTest.java;C:\Users\cebec\.jnose_projects\licket\licket-framework\src\main\java\org\licket\core\view\ComponentChildLocator.java;JUnit4;100;8;Assertion Roulette;shouldNotFindChildAtNthLevelWhenCompositeIdIsLongerThanComponentTree;80-80;80-80
licket;ComponentChildLocatorTest;C:\Users\cebec\.jnose_projects\licket\licket-framework\src\test\java\org\licket\core\view\ComponentChildLocatorTest.java;C:\Users\cebec\.jnose_projects\licket\licket-framework\src\main\java\org\licket\core\view\ComponentChildLocator.java;JUnit4;100;8;Assertion Roulette;shouldNotFindChildAtNthLevelWhenCompositeIdDoesNotMatchAtAll;93-93;93-93
licket;LicketComponentTreeWalkSequenceTest;C:\Users\cebec\.jnose_projects\licket\licket-framework\src\test\java\org\licket\core\view\tree\LicketComponentTreeWalkSequenceTest.java;C:\Users\cebec\.jnose_projects\licket\licket-framework\src\main\java\org\licket\core\view\tree\LicketComponentTreeWalkSequence.java;JUnit4;89;13;Duplicate Assert;shouldGenerateProperSequenceWhenTargetIsChildOfSourceAtAnyLevel;42, 49, 56, 62;42, 49, 56, 62
licket;LicketComponentTreeWalkSequenceTest;C:\Users\cebec\.jnose_projects\licket\licket-framework\src\test\java\org\licket\core\view\tree\LicketComponentTreeWalkSequenceTest.java;C:\Users\cebec\.jnose_projects\licket\licket-framework\src\main\java\org\licket\core\view\tree\LicketComponentTreeWalkSequence.java;JUnit4;89;13;Assertion Roulette;shouldGenerateProperSequenceWhenTargetIsChildOfSourceAtAnyLevel;42-42;42-42
licket;LicketComponentTreeWalkSequenceTest;C:\Users\cebec\.jnose_projects\licket\licket-framework\src\test\java\org\licket\core\view\tree\LicketComponentTreeWalkSequenceTest.java;C:\Users\cebec\.jnose_projects\licket\licket-framework\src\main\java\org\licket\core\view\tree\LicketComponentTreeWalkSequence.java;JUnit4;89;13;Assertion Roulette;shouldGenerateProperSequenceWhenTargetIsChildOfSourceAtAnyLevel;49-49;49-49
licket;LicketComponentTreeWalkSequenceTest;C:\Users\cebec\.jnose_projects\licket\licket-framework\src\test\java\org\licket\core\view\tree\LicketComponentTreeWalkSequenceTest.java;C:\Users\cebec\.jnose_projects\licket\licket-framework\src\main\java\org\licket\core\view\tree\LicketComponentTreeWalkSequence.java;JUnit4;89;13;Assertion Roulette;shouldGenerateProperSequenceWhenTargetIsChildOfSourceAtAnyLevel;56-56;56-56
licket;LicketComponentTreeWalkSequenceTest;C:\Users\cebec\.jnose_projects\licket\licket-framework\src\test\java\org\licket\core\view\tree\LicketComponentTreeWalkSequenceTest.java;C:\Users\cebec\.jnose_projects\licket\licket-framework\src\main\java\org\licket\core\view\tree\LicketComponentTreeWalkSequence.java;JUnit4;89;13;Assertion Roulette;shouldGenerateProperSequenceWhenTargetIsChildOfSourceAtAnyLevel;62-62;62-62
