projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
lottie-android;KeyPathTest;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\test\java\com\airbnb\lottie\KeyPathTest.java;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\main\java\com\airbnb\lottie\model\KeyPath.java;JUnit4;126;69;Magic Number Test;testV;33;33
lottie-android;KeyPathTest;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\test\java\com\airbnb\lottie\KeyPathTest.java;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\main\java\com\airbnb\lottie\model\KeyPath.java;JUnit4;126;69;Magic Number Test;testI;34;34
lottie-android;KeyPathTest;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\test\java\com\airbnb\lottie\KeyPathTest.java;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\main\java\com\airbnb\lottie\model\KeyPath.java;JUnit4;126;69;Magic Number Test;testII;36;36
lottie-android;KeyPathTest;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\test\java\com\airbnb\lottie\KeyPathTest.java;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\main\java\com\airbnb\lottie\model\KeyPath.java;JUnit4;126;69;Magic Number Test;testIV;37;37
lottie-android;KeyPathTest;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\test\java\com\airbnb\lottie\KeyPathTest.java;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\main\java\com\airbnb\lottie\model\KeyPath.java;JUnit4;126;69;Magic Number Test;testVI;38;38
lottie-android;KeyPathTest;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\test\java\com\airbnb\lottie\KeyPathTest.java;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\main\java\com\airbnb\lottie\model\KeyPath.java;JUnit4;126;69;Magic Number Test;testVV;39;39
lottie-android;KeyPathTest;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\test\java\com\airbnb\lottie\KeyPathTest.java;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\main\java\com\airbnb\lottie\model\KeyPath.java;JUnit4;126;69;Magic Number Test;testIII;41;41
lottie-android;KeyPathTest;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\test\java\com\airbnb\lottie\KeyPathTest.java;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\main\java\com\airbnb\lottie\model\KeyPath.java;JUnit4;126;69;Magic Number Test;testIIV;42;42
lottie-android;KeyPathTest;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\test\java\com\airbnb\lottie\KeyPathTest.java;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\main\java\com\airbnb\lottie\model\KeyPath.java;JUnit4;126;69;Magic Number Test;testIVI;43;43
lottie-android;KeyPathTest;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\test\java\com\airbnb\lottie\KeyPathTest.java;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\main\java\com\airbnb\lottie\model\KeyPath.java;JUnit4;126;69;Magic Number Test;testIVV;44;44
lottie-android;KeyPathTest;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\test\java\com\airbnb\lottie\KeyPathTest.java;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\main\java\com\airbnb\lottie\model\KeyPath.java;JUnit4;126;69;Magic Number Test;testVII;45;45
lottie-android;KeyPathTest;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\test\java\com\airbnb\lottie\KeyPathTest.java;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\main\java\com\airbnb\lottie\model\KeyPath.java;JUnit4;126;69;Magic Number Test;testVIV;46;46
lottie-android;KeyPathTest;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\test\java\com\airbnb\lottie\KeyPathTest.java;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\main\java\com\airbnb\lottie\model\KeyPath.java;JUnit4;126;69;Magic Number Test;testVVI;47;47
lottie-android;KeyPathTest;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\test\java\com\airbnb\lottie\KeyPathTest.java;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\main\java\com\airbnb\lottie\model\KeyPath.java;JUnit4;126;69;Magic Number Test;testVVV;48;48
lottie-android;KeyPathTest;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\test\java\com\airbnb\lottie\KeyPathTest.java;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\main\java\com\airbnb\lottie\model\KeyPath.java;JUnit4;126;69;Magic Number Test;testIIII;50;50
lottie-android;KeyPathTest;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\test\java\com\airbnb\lottie\KeyPathTest.java;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\main\java\com\airbnb\lottie\model\KeyPath.java;JUnit4;126;69;Magic Number Test;testIIIV;51;51
lottie-android;KeyPathTest;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\test\java\com\airbnb\lottie\KeyPathTest.java;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\main\java\com\airbnb\lottie\model\KeyPath.java;JUnit4;126;69;Magic Number Test;testIIVI;52;52
lottie-android;KeyPathTest;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\test\java\com\airbnb\lottie\KeyPathTest.java;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\main\java\com\airbnb\lottie\model\KeyPath.java;JUnit4;126;69;Magic Number Test;testIIVV;53;53
lottie-android;KeyPathTest;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\test\java\com\airbnb\lottie\KeyPathTest.java;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\main\java\com\airbnb\lottie\model\KeyPath.java;JUnit4;126;69;Magic Number Test;testIVII;54;54
lottie-android;KeyPathTest;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\test\java\com\airbnb\lottie\KeyPathTest.java;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\main\java\com\airbnb\lottie\model\KeyPath.java;JUnit4;126;69;Magic Number Test;testIVIV;55;55
lottie-android;KeyPathTest;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\test\java\com\airbnb\lottie\KeyPathTest.java;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\main\java\com\airbnb\lottie\model\KeyPath.java;JUnit4;126;69;Magic Number Test;testIVVI;56;56
lottie-android;KeyPathTest;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\test\java\com\airbnb\lottie\KeyPathTest.java;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\main\java\com\airbnb\lottie\model\KeyPath.java;JUnit4;126;69;Magic Number Test;testIVVV;57;57
lottie-android;KeyPathTest;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\test\java\com\airbnb\lottie\KeyPathTest.java;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\main\java\com\airbnb\lottie\model\KeyPath.java;JUnit4;126;69;Magic Number Test;testVIII;58;58
lottie-android;KeyPathTest;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\test\java\com\airbnb\lottie\KeyPathTest.java;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\main\java\com\airbnb\lottie\model\KeyPath.java;JUnit4;126;69;Magic Number Test;testVIIV;59;59
lottie-android;KeyPathTest;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\test\java\com\airbnb\lottie\KeyPathTest.java;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\main\java\com\airbnb\lottie\model\KeyPath.java;JUnit4;126;69;Magic Number Test;testVIVI;60;60
lottie-android;KeyPathTest;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\test\java\com\airbnb\lottie\KeyPathTest.java;C:\Users\cebec\.jnose_projects\lottie-android\lottie\src\main\java\com\airbnb\lottie\model\KeyPath.java;JUnit4;126;69;Magic Number Test;testVIVV;61;61
