projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Unknown Test;testRowNumber;295-300;295-300
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Unknown Test;testFirstValue;302-307;302-307
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Unknown Test;testRank;309-313;309-313
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Unknown Test;testLead;315-318;315-318
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Magic Number Test;testDivide;98;98
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Magic Number Test;testMod;103;103
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Magic Number Test;testIn;110;110
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Magic Number Test;testEquals;117;117
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Magic Number Test;testGreatThan;122;122
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Magic Number Test;testRlike;127;127
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Magic Number Test;testRlike;132;132
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Magic Number Test;testRlike;138;138
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Magic Number Test;testCastNull;210;210
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Magic Number Test;testCastNull;212;212
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Magic Number Test;testDate;232;232
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Magic Number Test;testCount;271;271
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Magic Number Test;testSum;277;277
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Magic Number Test;testMax;284;284
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Magic Number Test;testPercentileApprox;291;291
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Magic Number Test;testLateralTable;325;325
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Magic Number Test;testThetaOuterJoinWithEquiCondition;336;336
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Magic Number Test;testSortArray;349;349
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Magic Number Test;testSortArray;350;350
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Sensitive Equality;testCurrentDate;248-255;248-255
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testDivide;97-98;97-98
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testMod;102-103;102-103
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testIn;109-110;109-110
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testEquals;117-117;117-117
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testGreatThan;122-122;122-122
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testRlike;127-131;127-131
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testRlike;132-137;132-137
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testRlike;138-142;138-142
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testSubString;146-149;146-149
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testSubString;150-153;150-153
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testTrim;157-160;157-160
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testConcat;164-167;164-167
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testGetJsonObject;171-183;171-183
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testRegexp;187-190;187-190
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testRegexp;191-194;191-194
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testSplit;198-201;198-201
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testCastNull;208-208;208-208
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testCastNull;210-210;210-210
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testCastNull;212-213;212-213
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testUnixTime;218-220;218-220
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testUnixTime;221-224;221-224
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testDate;228-231;228-231
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testDate;232-235;232-235
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testDate;236-239;236-239
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testDate;240-243;240-243
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testCurrentDate;248-255;248-255
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testIf;262-264;262-264
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testCount;270-271;270-271
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testSum;276-278;276-278
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testMax;283-285;283-285
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testPercentileApprox;290-291;290-291
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testLateralTable;325-325;325-325
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testThetaOuterJoinWithEquiCondition;336-336;336-336
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testArrayAsArgs;342-342;342-342
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testSortArray;349-349;349-349
marble;HiveTableEnvTest;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\test\java\org\apache\calcite\adapter\hive\HiveTableEnvTest.java;C:\Users\cebec\.jnose_projects\marble\marble-table-hive\src\main\java\org\apache\calcite\adapter\hive\HiveTableEnv.java;JUnit4;354;38;Assertion Roulette;testSortArray;350-350;350-350
