projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
mcspring-boot;CommandInterceptorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\CommandInterceptorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\CommandInterceptor.java;JUnit4;89;10;Unknown Test;shouldNotDelegateServerCommandIfAlreadyRegistered;69-77;69-77
mcspring-boot;CommandInterceptorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\CommandInterceptorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\CommandInterceptor.java;JUnit4;89;10;Unknown Test;shouldNotDelegatePlayerCommandIfAlreadyRegistered;79-87;79-87
mcspring-boot;CommandInterceptorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\CommandInterceptorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\CommandInterceptor.java;JUnit4;89;10;Assertion Roulette;shouldDelegatePlayerCommandToExecutorWithContext;52-52;52-52
mcspring-boot;CommandInterceptorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\CommandInterceptorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\CommandInterceptor.java;JUnit4;89;10;Assertion Roulette;shouldDelegateServerCommandToExecutorWithContext;63-63;63-63
mcspring-boot;DefaultCommandExecutorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\DefaultCommandExecutorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\DefaultCommandExecutor.java;JUnit4;196;19;Unknown Test;shouldStoreCommandLineCache;186-194;186-194
mcspring-boot;DefaultCommandExecutorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\DefaultCommandExecutorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\DefaultCommandExecutor.java;JUnit4;196;19;Magic Number Test;shouldSendCallableStringOutput;116;116
mcspring-boot;DefaultCommandExecutorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\DefaultCommandExecutorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\DefaultCommandExecutor.java;JUnit4;196;19;Magic Number Test;shouldSendCallableListOutput;129;129
mcspring-boot;DefaultCommandExecutorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\DefaultCommandExecutorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\DefaultCommandExecutor.java;JUnit4;196;19;Magic Number Test;shouldSendCallableListOutput;130;130
mcspring-boot;DefaultCommandExecutorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\DefaultCommandExecutorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\DefaultCommandExecutor.java;JUnit4;196;19;Magic Number Test;shouldSendMissingParameterError;144;144
mcspring-boot;DefaultCommandExecutorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\DefaultCommandExecutorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\DefaultCommandExecutor.java;JUnit4;196;19;Magic Number Test;shouldSendInvalidParameterError;158;158
mcspring-boot;DefaultCommandExecutorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\DefaultCommandExecutorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\DefaultCommandExecutor.java;JUnit4;196;19;Magic Number Test;shouldSendCommandErrorMessage;169;169
mcspring-boot;DefaultCommandExecutorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\DefaultCommandExecutorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\DefaultCommandExecutor.java;JUnit4;196;19;Magic Number Test;shouldSendGenericErrorMessage;183;183
mcspring-boot;DefaultCommandExecutorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\DefaultCommandExecutorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\DefaultCommandExecutor.java;JUnit4;196;19;Assertion Roulette;shouldRunExistingCommandSuccessfully;72-72;72-72
mcspring-boot;DefaultCommandExecutorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\DefaultCommandExecutorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\DefaultCommandExecutor.java;JUnit4;196;19;Assertion Roulette;shouldRunExistingCommandSuccessfullyFromConsole;82-82;82-82
mcspring-boot;DefaultCommandExecutorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\DefaultCommandExecutorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\DefaultCommandExecutor.java;JUnit4;196;19;Assertion Roulette;shouldIgnoreUnknownCommand;92-92;92-92
mcspring-boot;DefaultCommandExecutorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\DefaultCommandExecutorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\DefaultCommandExecutor.java;JUnit4;196;19;Assertion Roulette;shouldIgnoreInvalidCommand;102-102;102-102
mcspring-boot;DefaultCommandExecutorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\DefaultCommandExecutorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\DefaultCommandExecutor.java;JUnit4;196;19;Assertion Roulette;shouldSendCallableStringOutput;113-113;113-113
mcspring-boot;DefaultCommandExecutorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\DefaultCommandExecutorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\DefaultCommandExecutor.java;JUnit4;196;19;Assertion Roulette;shouldSendCallableStringOutput;116-116;116-116
mcspring-boot;DefaultCommandExecutorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\DefaultCommandExecutorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\DefaultCommandExecutor.java;JUnit4;196;19;Assertion Roulette;shouldSendCallableListOutput;126-126;126-126
mcspring-boot;DefaultCommandExecutorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\DefaultCommandExecutorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\DefaultCommandExecutor.java;JUnit4;196;19;Assertion Roulette;shouldSendCallableListOutput;129-129;129-129
mcspring-boot;DefaultCommandExecutorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\DefaultCommandExecutorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\DefaultCommandExecutor.java;JUnit4;196;19;Assertion Roulette;shouldSendCallableListOutput;130-130;130-130
mcspring-boot;DefaultCommandExecutorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\DefaultCommandExecutorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\DefaultCommandExecutor.java;JUnit4;196;19;Assertion Roulette;shouldSendMissingParameterError;142-142;142-142
mcspring-boot;DefaultCommandExecutorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\DefaultCommandExecutorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\DefaultCommandExecutor.java;JUnit4;196;19;Assertion Roulette;shouldSendMissingParameterError;144-144;144-144
mcspring-boot;DefaultCommandExecutorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\DefaultCommandExecutorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\DefaultCommandExecutor.java;JUnit4;196;19;Assertion Roulette;shouldSendInvalidParameterError;156-156;156-156
mcspring-boot;DefaultCommandExecutorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\DefaultCommandExecutorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\DefaultCommandExecutor.java;JUnit4;196;19;Assertion Roulette;shouldSendInvalidParameterError;158-158;158-158
mcspring-boot;DefaultCommandExecutorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\DefaultCommandExecutorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\DefaultCommandExecutor.java;JUnit4;196;19;Assertion Roulette;shouldSendCommandErrorMessage;167-167;167-167
mcspring-boot;DefaultCommandExecutorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\DefaultCommandExecutorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\DefaultCommandExecutor.java;JUnit4;196;19;Assertion Roulette;shouldSendCommandErrorMessage;169-169;169-169
mcspring-boot;DefaultCommandExecutorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\DefaultCommandExecutorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\DefaultCommandExecutor.java;JUnit4;196;19;Assertion Roulette;shouldSendGenericErrorMessage;181-181;181-181
mcspring-boot;DefaultCommandExecutorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\command\DefaultCommandExecutorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\command\DefaultCommandExecutor.java;JUnit4;196;19;Assertion Roulette;shouldSendGenericErrorMessage;183-183;183-183
mcspring-boot;ScopePostProcessorTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\ScopePostProcessorTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\ScopePostProcessor.java;JUnit4;52;5;Unknown Test;shouldSetSingletonScopeToListeners;43-50;43-50
mcspring-boot;SpringSpigotAutoConfigurationTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\SpringSpigotAutoConfigurationTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\SpringSpigotAutoConfiguration.java;JUnit4;46;5;Unknown Test;shouldRegisterAllListeners;39-44;39-44
mcspring-boot;SpringSpigotInitializerTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\SpringSpigotInitializerTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\SpringSpigotInitializer.java;JUnit4;72;9;Unknown Test;shouldRegisterPluginConfigurationPropertySource;53-58;53-58
mcspring-boot;SpringSpigotInitializerTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\SpringSpigotInitializerTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\SpringSpigotInitializer.java;JUnit4;72;9;Assertion Roulette;shouldRegisterHookProperties;69-69;69-69
mcspring-boot;UtilAspectTest;C:\Users\cebec\.jnose_projects\mcspring-boot\src\test\java\dev\alangomes\springspigot\util\UtilAspectTest.java;C:\Users\cebec\.jnose_projects\mcspring-boot\src\main\java\dev\alangomes\springspigot\util\UtilAspect.java;JUnit4;59;7;Unknown Test;shouldIgnoreOnMainThread;34-42;34-42
