projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
meshy;TestMessageFileSystem;C:\Users\cebec\.jnose_projects\meshy\src\test\java\com\addthis\meshy\service\message\TestMessageFileSystem.java;C:\Users\cebec\.jnose_projects\meshy\src\main\java\com\addthis\meshy\service\message\MessageFileSystem.java;JUnit4;75;1;Verbose Test;basicTest;36-73;36-73
meshy;TestMessageFileSystem;C:\Users\cebec\.jnose_projects\meshy\src\test\java\com\addthis\meshy\service\message\TestMessageFileSystem.java;C:\Users\cebec\.jnose_projects\meshy\src\main\java\com\addthis\meshy\service\message\MessageFileSystem.java;JUnit4;75;1;Assertion Roulette;basicTest;61-61;61-61
meshy;TestMessageFileSystem;C:\Users\cebec\.jnose_projects\meshy\src\test\java\com\addthis\meshy\service\message\TestMessageFileSystem.java;C:\Users\cebec\.jnose_projects\meshy\src\main\java\com\addthis\meshy\service\message\MessageFileSystem.java;JUnit4;75;1;Assertion Roulette;basicTest;71-71;71-71
meshy;TestMeshyClientConnector;C:\Users\cebec\.jnose_projects\meshy\src\test\java\com\addthis\meshy\TestMeshyClientConnector.java;C:\Users\cebec\.jnose_projects\meshy\src\main\java\com\addthis\meshy\MeshyClientConnector.java;JUnit4;61;1;Sensitive Equality;simple;56-56;56-56
meshy;TestMeshyClientConnector;C:\Users\cebec\.jnose_projects\meshy\src\test\java\com\addthis\meshy\TestMeshyClientConnector.java;C:\Users\cebec\.jnose_projects\meshy\src\main\java\com\addthis\meshy\MeshyClientConnector.java;JUnit4;61;1;Sensitive Equality;simple;56-56;56-56
meshy;TestMeshyClientConnector;C:\Users\cebec\.jnose_projects\meshy\src\test\java\com\addthis\meshy\TestMeshyClientConnector.java;C:\Users\cebec\.jnose_projects\meshy\src\main\java\com\addthis\meshy\MeshyClientConnector.java;JUnit4;61;1;Verbose Test;simple;26-60;26-60
meshy;TestMeshyClientConnector;C:\Users\cebec\.jnose_projects\meshy\src\test\java\com\addthis\meshy\TestMeshyClientConnector.java;C:\Users\cebec\.jnose_projects\meshy\src\main\java\com\addthis\meshy\MeshyClientConnector.java;JUnit4;61;1;Sleepy Test;simple;45-45;45-45
meshy;TestMeshyClientConnector;C:\Users\cebec\.jnose_projects\meshy\src\test\java\com\addthis\meshy\TestMeshyClientConnector.java;C:\Users\cebec\.jnose_projects\meshy\src\main\java\com\addthis\meshy\MeshyClientConnector.java;JUnit4;61;1;Sleepy Test;simple;50-50;50-50
meshy;TestMeshyClientConnector;C:\Users\cebec\.jnose_projects\meshy\src\test\java\com\addthis\meshy\TestMeshyClientConnector.java;C:\Users\cebec\.jnose_projects\meshy\src\main\java\com\addthis\meshy\MeshyClientConnector.java;JUnit4;61;1;Sleepy Test;simple;53-53;53-53
meshy;TestMeshyClientConnector;C:\Users\cebec\.jnose_projects\meshy\src\test\java\com\addthis\meshy\TestMeshyClientConnector.java;C:\Users\cebec\.jnose_projects\meshy\src\main\java\com\addthis\meshy\MeshyClientConnector.java;JUnit4;61;1;Eager Test;simple;33, 58;33, 58
meshy;TestMeshyClientConnector;C:\Users\cebec\.jnose_projects\meshy\src\test\java\com\addthis\meshy\TestMeshyClientConnector.java;C:\Users\cebec\.jnose_projects\meshy\src\main\java\com\addthis\meshy\MeshyClientConnector.java;JUnit4;61;1;Assertion Roulette;simple;56-56;56-56
meshy;TestMeshyClientConnector;C:\Users\cebec\.jnose_projects\meshy\src\test\java\com\addthis\meshy\TestMeshyClientConnector.java;C:\Users\cebec\.jnose_projects\meshy\src\main\java\com\addthis\meshy\MeshyClientConnector.java;JUnit4;61;1;Exception Catching Throwing;simple;44-59;44-59
