projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
mochimo-farm-manager;EncryptionTest;C:\Users\cebec\.jnose_projects\mochimo-farm-manager\src\test\java\org\ortis\mochimo\farm_manager\EncryptionTest.java;C:\Users\cebec\.jnose_projects\mochimo-farm-manager\src\main\java\org\ortis\mochimo\farm_manager\Encryption.java;JUnit4;109;6;Verbose Test;test;68-107;68-107
mochimo-farm-manager;EncryptionTest;C:\Users\cebec\.jnose_projects\mochimo-farm-manager\src\test\java\org\ortis\mochimo\farm_manager\EncryptionTest.java;C:\Users\cebec\.jnose_projects\mochimo-farm-manager\src\main\java\org\ortis\mochimo\farm_manager\Encryption.java;JUnit4;109;6;Assertion Roulette;test;81-81;81-81
mochimo-farm-manager;EncryptionTest;C:\Users\cebec\.jnose_projects\mochimo-farm-manager\src\test\java\org\ortis\mochimo\farm_manager\EncryptionTest.java;C:\Users\cebec\.jnose_projects\mochimo-farm-manager\src\main\java\org\ortis\mochimo\farm_manager\Encryption.java;JUnit4;109;6;Assertion Roulette;test;86-86;86-86
mochimo-farm-manager;EncryptionTest;C:\Users\cebec\.jnose_projects\mochimo-farm-manager\src\test\java\org\ortis\mochimo\farm_manager\EncryptionTest.java;C:\Users\cebec\.jnose_projects\mochimo-farm-manager\src\main\java\org\ortis\mochimo\farm_manager\Encryption.java;JUnit4;109;6;Assertion Roulette;test;89-89;89-89
mochimo-farm-manager;EncryptionTest;C:\Users\cebec\.jnose_projects\mochimo-farm-manager\src\test\java\org\ortis\mochimo\farm_manager\EncryptionTest.java;C:\Users\cebec\.jnose_projects\mochimo-farm-manager\src\main\java\org\ortis\mochimo\farm_manager\Encryption.java;JUnit4;109;6;Assertion Roulette;test;95-95;95-95
mochimo-farm-manager;EncryptionTest;C:\Users\cebec\.jnose_projects\mochimo-farm-manager\src\test\java\org\ortis\mochimo\farm_manager\EncryptionTest.java;C:\Users\cebec\.jnose_projects\mochimo-farm-manager\src\main\java\org\ortis\mochimo\farm_manager\Encryption.java;JUnit4;109;6;Assertion Roulette;test;99-99;99-99
mochimo-farm-manager;EncryptionTest;C:\Users\cebec\.jnose_projects\mochimo-farm-manager\src\test\java\org\ortis\mochimo\farm_manager\EncryptionTest.java;C:\Users\cebec\.jnose_projects\mochimo-farm-manager\src\main\java\org\ortis\mochimo\farm_manager\Encryption.java;JUnit4;109;6;Assertion Roulette;test;100-100;100-100
mochimo-farm-manager;EncryptionTest;C:\Users\cebec\.jnose_projects\mochimo-farm-manager\src\test\java\org\ortis\mochimo\farm_manager\EncryptionTest.java;C:\Users\cebec\.jnose_projects\mochimo-farm-manager\src\main\java\org\ortis\mochimo\farm_manager\Encryption.java;JUnit4;109;6;Assertion Roulette;test;101-101;101-101
mochimo-farm-manager;EncryptionTest;C:\Users\cebec\.jnose_projects\mochimo-farm-manager\src\test\java\org\ortis\mochimo\farm_manager\EncryptionTest.java;C:\Users\cebec\.jnose_projects\mochimo-farm-manager\src\main\java\org\ortis\mochimo\farm_manager\Encryption.java;JUnit4;109;6;Assertion Roulette;test;102-102;102-102
mochimo-farm-manager;EncryptionTest;C:\Users\cebec\.jnose_projects\mochimo-farm-manager\src\test\java\org\ortis\mochimo\farm_manager\EncryptionTest.java;C:\Users\cebec\.jnose_projects\mochimo-farm-manager\src\main\java\org\ortis\mochimo\farm_manager\Encryption.java;JUnit4;109;6;Conditional Test Logic;test;76-77;76-77
mochimo-farm-manager;EncryptionTest;C:\Users\cebec\.jnose_projects\mochimo-farm-manager\src\test\java\org\ortis\mochimo\farm_manager\EncryptionTest.java;C:\Users\cebec\.jnose_projects\mochimo-farm-manager\src\main\java\org\ortis\mochimo\farm_manager\Encryption.java;JUnit4;109;6;Conditional Test Logic;test;96-103;96-103
mochimo-farm-manager;EncryptionTest;C:\Users\cebec\.jnose_projects\mochimo-farm-manager\src\test\java\org\ortis\mochimo\farm_manager\EncryptionTest.java;C:\Users\cebec\.jnose_projects\mochimo-farm-manager\src\main\java\org\ortis\mochimo\farm_manager\Encryption.java;JUnit4;109;6;Conditional Test Logic;test;91-105;91-105
