projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
mock-jedis;MockJedisClusterTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisClusterTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedisCluster.java;JUnit4;17;1;Eager Test;testCluster;13, 15;13, 15
mock-jedis;MockJedisClusterTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisClusterTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedisCluster.java;JUnit4;17;1;Assertion Roulette;testCluster;15-15;15-15
mock-jedis;MockJedisPoolTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisPoolTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedisPool.java;JUnit4;15;1;Unknown Test;testPool;9-14;9-14
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Magic Number Test;testHashes;45;45
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Magic Number Test;testHashes;46;46
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Magic Number Test;testHashes;49;49
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Magic Number Test;testSets;67;67
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Magic Number Test;testSets;76;76
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Magic Number Test;testSets;77;77
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Magic Number Test;testList;98;98
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Magic Number Test;testList;104;104
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Magic Number Test;testList;110;110
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Magic Number Test;testLRange;120;120
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Magic Number Test;testLRange;121;121
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Magic Number Test;testLRange;122;122
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Magic Number Test;testLRange;123;123
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Magic Number Test;testLRange;124;124
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Magic Number Test;testLRange;125;125
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Magic Number Test;testSort;146;146
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Magic Number Test;testKeys;200;200
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Magic Number Test;testKeys;201;201
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Magic Number Test;testKeys;202;202
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Magic Number Test;testKeys;203;203
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Magic Number Test;testKeys;204;204
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Magic Number Test;testKeys;205;205
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Magic Number Test;testKeys;208;208
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Duplicate Assert;testList;98, 110;98, 110
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Duplicate Assert;testKeys;205, 208;205, 208
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Duplicate Assert;testMultipleDB;213, 217;213, 217
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Duplicate Assert;testMultipleDB;215, 219;215, 219
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Assertion Roulette;testSet;25-25;25-25
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Assertion Roulette;testGet;31-31;31-31
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Assertion Roulette;testGet;32-32;32-32
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Assertion Roulette;testHashes;37-37;37-37
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Assertion Roulette;testHashes;38-38;38-38
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Assertion Roulette;testHashes;39-39;39-39
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Assertion Roulette;testHashes;44-44;44-44
mock-jedis;MockJedisTest;C:\Users\cebec\.jnose_projects\mock-jedis\src\test\java\com\fiftyonred\mock_jedis\MockJedisTest.java;C:\Users\cebec\.jnose_projects\mock-jedis\src\main\java\com\fiftyonred\mock_jedis\MockJedis.java;JUnit4;242;19;Assertion Roulette;testHashes;45-45;45-45
