projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
moneropool;DifficultyCalculatorTest;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\test\java\uk\offtopica\moneropool\DifficultyCalculatorTest.java;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\main\java\uk\offtopica\moneropool\DifficultyCalculator.java;JUnit5;41;2;IgnoredTest;testGetDifficultyUsesMin;12-26;12-26
moneropool;DifficultyCalculatorTest;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\test\java\uk\offtopica\moneropool\DifficultyCalculatorTest.java;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\main\java\uk\offtopica\moneropool\DifficultyCalculator.java;JUnit5;41;2;IgnoredTest;testGetDifficultyUsesStart;28-40;28-40
moneropool;DifficultyCalculatorTest;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\test\java\uk\offtopica\moneropool\DifficultyCalculatorTest.java;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\main\java\uk\offtopica\moneropool\DifficultyCalculator.java;JUnit5;41;2;Lazy Test;testGetDifficultyUsesStart, testGetDifficultyUsesMin;32, 16;32, 16
moneropool;DifficultyCalculatorTest;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\test\java\uk\offtopica\moneropool\DifficultyCalculatorTest.java;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\main\java\uk\offtopica\moneropool\DifficultyCalculator.java;JUnit5;41;2;Lazy Test;testGetDifficultyUsesStart, testGetDifficultyUsesMin;38, 24;38, 24
moneropool;DifficultyCalculatorTest;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\test\java\uk\offtopica\moneropool\DifficultyCalculatorTest.java;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\main\java\uk\offtopica\moneropool\DifficultyCalculator.java;JUnit5;41;2;Eager Test;testGetDifficultyUsesMin;16, 24;16, 24
moneropool;DifficultyCalculatorTest;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\test\java\uk\offtopica\moneropool\DifficultyCalculatorTest.java;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\main\java\uk\offtopica\moneropool\DifficultyCalculator.java;JUnit5;41;2;Eager Test;testGetDifficultyUsesStart;32, 38;32, 38
moneropool;DifficultyCalculatorTest;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\test\java\uk\offtopica\moneropool\DifficultyCalculatorTest.java;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\main\java\uk\offtopica\moneropool\DifficultyCalculator.java;JUnit5;41;2;Assertion Roulette;testGetDifficultyUsesMin;24-24;24-24
moneropool;DifficultyCalculatorTest;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\test\java\uk\offtopica\moneropool\DifficultyCalculatorTest.java;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\main\java\uk\offtopica\moneropool\DifficultyCalculator.java;JUnit5;41;2;Assertion Roulette;testGetDifficultyUsesStart;38-38;38-38
moneropool;DifficultyCalculatorTest;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\test\java\uk\offtopica\moneropool\DifficultyCalculatorTest.java;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\main\java\uk\offtopica\moneropool\DifficultyCalculator.java;JUnit5;41;2;Conditional Test Logic;testGetDifficultyUsesMin;18-25;18-25
moneropool;DifficultyCalculatorTest;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\test\java\uk\offtopica\moneropool\DifficultyCalculatorTest.java;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\main\java\uk\offtopica\moneropool\DifficultyCalculator.java;JUnit5;41;2;Conditional Test Logic;testGetDifficultyUsesStart;34-39;34-39
moneropool;DifficultyTest;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\test\java\uk\offtopica\moneropool\DifficultyTest.java;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\main\java\uk\offtopica\moneropool\Difficulty.java;JUnit5;29;2;Unknown Test;testTargetHex;13-20;13-20
moneropool;DifficultyTest;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\test\java\uk\offtopica\moneropool\DifficultyTest.java;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\main\java\uk\offtopica\moneropool\Difficulty.java;JUnit5;29;2;IgnoredTest;testTargetHex;13-20;13-20
moneropool;DifficultyTest;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\test\java\uk\offtopica\moneropool\DifficultyTest.java;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\main\java\uk\offtopica\moneropool\Difficulty.java;JUnit5;29;2;IgnoredTest;testTargetHex;22-28;22-28
moneropool;DifficultyTest;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\test\java\uk\offtopica\moneropool\DifficultyTest.java;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\main\java\uk\offtopica\moneropool\Difficulty.java;JUnit5;29;2;Eager Test;testTargetHex;25, 27;25, 27
moneropool;DifficultyTest;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\test\java\uk\offtopica\moneropool\DifficultyTest.java;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\main\java\uk\offtopica\moneropool\Difficulty.java;JUnit5;29;2;Assertion Roulette;testTargetHex;26-26;26-26
moneropool;DifficultyTest;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\test\java\uk\offtopica\moneropool\DifficultyTest.java;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\main\java\uk\offtopica\moneropool\Difficulty.java;JUnit5;29;2;Assertion Roulette;testTargetHex;27-27;27-27
moneropool;StratumMessageCodecTest;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\test\java\uk\offtopica\moneropool\stratum\codec\StratumMessageCodecTest.java;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\main\java\uk\offtopica\moneropool\stratum\message\StratumMessageCodec.java;JUnit5;67;6;IgnoredTest;testEncode;52-58;52-58
moneropool;StratumMessageCodecTest;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\test\java\uk\offtopica\moneropool\stratum\codec\StratumMessageCodecTest.java;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\main\java\uk\offtopica\moneropool\stratum\message\StratumMessageCodec.java;JUnit5;67;6;IgnoredTest;testDecodeValid;60-66;60-66
moneropool;StratumMessageCodecTest;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\test\java\uk\offtopica\moneropool\stratum\codec\StratumMessageCodecTest.java;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\main\java\uk\offtopica\moneropool\stratum\message\StratumMessageCodec.java;JUnit5;67;6;Assertion Roulette;testEncode;57-57;57-57
moneropool;StratumMessageCodecTest;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\test\java\uk\offtopica\moneropool\stratum\codec\StratumMessageCodecTest.java;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\main\java\uk\offtopica\moneropool\stratum\message\StratumMessageCodec.java;JUnit5;67;6;Assertion Roulette;testDecodeValid;65-65;65-65
moneropool;HexUtilsTest;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\test\java\uk\offtopica\moneropool\utils\HexUtilsTest.java;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\main\java\uk\offtopica\moneropool\util\HexUtils.java;JUnit5;58;5;IgnoredTest;testByteArrayToHexString;37-42;37-42
moneropool;HexUtilsTest;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\test\java\uk\offtopica\moneropool\utils\HexUtilsTest.java;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\main\java\uk\offtopica\moneropool\util\HexUtils.java;JUnit5;58;5;IgnoredTest;testHexStringToByteArrayValid;44-49;44-49
moneropool;HexUtilsTest;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\test\java\uk\offtopica\moneropool\utils\HexUtilsTest.java;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\main\java\uk\offtopica\moneropool\util\HexUtils.java;JUnit5;58;5;IgnoredTest;testHexStringToByteArrayInvalid;51-57;51-57
moneropool;HexUtilsTest;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\test\java\uk\offtopica\moneropool\utils\HexUtilsTest.java;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\main\java\uk\offtopica\moneropool\util\HexUtils.java;JUnit5;58;5;Lazy Test;testHexStringToByteArrayInvalid, testHexStringToByteArrayValid;55, 47;55, 47
moneropool;HexUtilsTest;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\test\java\uk\offtopica\moneropool\utils\HexUtilsTest.java;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\main\java\uk\offtopica\moneropool\util\HexUtils.java;JUnit5;58;5;Assertion Roulette;testByteArrayToHexString;41-41;41-41
moneropool;HexUtilsTest;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\test\java\uk\offtopica\moneropool\utils\HexUtilsTest.java;C:\Users\cebec\.jnose_projects\moneropool\moneropool\src\main\java\uk\offtopica\moneropool\util\HexUtils.java;JUnit5;58;5;Assertion Roulette;testHexStringToByteArrayValid;48-48;48-48
