projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
mtools;CertificateCoderSSLTest;C:\Users\cebec\.jnose_projects\mtools\mtools\src\test\java\com\ztools\security\CertificateCoderSSLTest.java;C:\Users\cebec\.jnose_projects\mtools\mtools\src\main\java\com\mtools\core\plugin\security\CertificateCoderSSL.java;JUnit4;108;9;Unknown Test;testHttps;85-107;85-107
mtools;CertificateCoderSSLTest;C:\Users\cebec\.jnose_projects\mtools\mtools\src\test\java\com\ztools\security\CertificateCoderSSLTest.java;C:\Users\cebec\.jnose_projects\mtools\mtools\src\main\java\com\mtools\core\plugin\security\CertificateCoderSSL.java;JUnit4;108;9;Assertion Roulette;test;47-47;47-47
mtools;CertificateCoderSSLTest;C:\Users\cebec\.jnose_projects\mtools\mtools\src\test\java\com\ztools\security\CertificateCoderSSLTest.java;C:\Users\cebec\.jnose_projects\mtools\mtools\src\main\java\com\mtools\core\plugin\security\CertificateCoderSSL.java;JUnit4;108;9;Assertion Roulette;test;50-50;50-50
mtools;CertificateCoderSSLTest;C:\Users\cebec\.jnose_projects\mtools\mtools\src\test\java\com\ztools\security\CertificateCoderSSLTest.java;C:\Users\cebec\.jnose_projects\mtools\mtools\src\main\java\com\mtools\core\plugin\security\CertificateCoderSSL.java;JUnit4;108;9;Assertion Roulette;testSign;69-69;69-69
mtools;CertificateCoderSSLTest;C:\Users\cebec\.jnose_projects\mtools\mtools\src\test\java\com\ztools\security\CertificateCoderSSLTest.java;C:\Users\cebec\.jnose_projects\mtools\mtools\src\main\java\com\mtools\core\plugin\security\CertificateCoderSSL.java;JUnit4;108;9;Assertion Roulette;testSign;81-81;81-81
mtools;CertificateCoderTest;C:\Users\cebec\.jnose_projects\mtools\mtools\src\test\java\com\ztools\security\CertificateCoderTest.java;C:\Users\cebec\.jnose_projects\mtools\mtools\src\main\java\com\mtools\core\plugin\security\CertificateCoder.java;JUnit4;76;6;Assertion Roulette;test;39-39;39-39
mtools;CertificateCoderTest;C:\Users\cebec\.jnose_projects\mtools\mtools\src\test\java\com\ztools\security\CertificateCoderTest.java;C:\Users\cebec\.jnose_projects\mtools\mtools\src\main\java\com\mtools\core\plugin\security\CertificateCoder.java;JUnit4;76;6;Assertion Roulette;test;42-42;42-42
mtools;CertificateCoderTest;C:\Users\cebec\.jnose_projects\mtools\mtools\src\test\java\com\ztools\security\CertificateCoderTest.java;C:\Users\cebec\.jnose_projects\mtools\mtools\src\main\java\com\mtools\core\plugin\security\CertificateCoder.java;JUnit4;76;6;Assertion Roulette;testSign;61-61;61-61
mtools;CertificateCoderTest;C:\Users\cebec\.jnose_projects\mtools\mtools\src\test\java\com\ztools\security\CertificateCoderTest.java;C:\Users\cebec\.jnose_projects\mtools\mtools\src\main\java\com\mtools\core\plugin\security\CertificateCoder.java;JUnit4;76;6;Assertion Roulette;testSign;73-73;73-73
mtools;CoderTest;C:\Users\cebec\.jnose_projects\mtools\mtools\src\test\java\com\ztools\security\CoderTest.java;C:\Users\cebec\.jnose_projects\mtools\mtools\src\main\java\com\mtools\core\plugin\security\Coder.java;JUnit4;63;1;Redundant Assertion;test;40-41;40-41
mtools;CoderTest;C:\Users\cebec\.jnose_projects\mtools\mtools\src\test\java\com\ztools\security\CoderTest.java;C:\Users\cebec\.jnose_projects\mtools\mtools\src\main\java\com\mtools\core\plugin\security\Coder.java;JUnit4;63;1;Redundant Assertion;test;44-45;44-45
mtools;CoderTest;C:\Users\cebec\.jnose_projects\mtools\mtools\src\test\java\com\ztools\security\CoderTest.java;C:\Users\cebec\.jnose_projects\mtools\mtools\src\main\java\com\mtools\core\plugin\security\Coder.java;JUnit4;63;1;Redundant Assertion;test;51-52;51-52
mtools;CoderTest;C:\Users\cebec\.jnose_projects\mtools\mtools\src\test\java\com\ztools\security\CoderTest.java;C:\Users\cebec\.jnose_projects\mtools\mtools\src\main\java\com\mtools\core\plugin\security\Coder.java;JUnit4;63;1;Verbose Test;test;20-62;20-62
mtools;CoderTest;C:\Users\cebec\.jnose_projects\mtools\mtools\src\test\java\com\ztools\security\CoderTest.java;C:\Users\cebec\.jnose_projects\mtools\mtools\src\main\java\com\mtools\core\plugin\security\Coder.java;JUnit4;63;1;Assertion Roulette;test;37-37;37-37
mtools;CoderTest;C:\Users\cebec\.jnose_projects\mtools\mtools\src\test\java\com\ztools\security\CoderTest.java;C:\Users\cebec\.jnose_projects\mtools\mtools\src\main\java\com\mtools\core\plugin\security\Coder.java;JUnit4;63;1;Assertion Roulette;test;40-41;40-41
mtools;CoderTest;C:\Users\cebec\.jnose_projects\mtools\mtools\src\test\java\com\ztools\security\CoderTest.java;C:\Users\cebec\.jnose_projects\mtools\mtools\src\main\java\com\mtools\core\plugin\security\Coder.java;JUnit4;63;1;Assertion Roulette;test;44-45;44-45
mtools;CoderTest;C:\Users\cebec\.jnose_projects\mtools\mtools\src\test\java\com\ztools\security\CoderTest.java;C:\Users\cebec\.jnose_projects\mtools\mtools\src\main\java\com\mtools\core\plugin\security\Coder.java;JUnit4;63;1;Assertion Roulette;test;51-52;51-52
mtools;DESCoderTest;C:\Users\cebec\.jnose_projects\mtools\mtools\src\test\java\com\ztools\security\DESCoderTest.java;C:\Users\cebec\.jnose_projects\mtools\mtools\src\main\java\com\mtools\core\plugin\security\DESCoder.java;JUnit4;37;1;Assertion Roulette;test;35-35;35-35
mtools;DHCoderTest;C:\Users\cebec\.jnose_projects\mtools\mtools\src\test\java\com\ztools\security\DHCoderTest.java;C:\Users\cebec\.jnose_projects\mtools\mtools\src\main\java\com\mtools\core\plugin\security\DHCoder.java;JUnit4;69;1;Verbose Test;test;19-67;19-67
mtools;DHCoderTest;C:\Users\cebec\.jnose_projects\mtools\mtools\src\test\java\com\ztools\security\DHCoderTest.java;C:\Users\cebec\.jnose_projects\mtools\mtools\src\main\java\com\mtools\core\plugin\security\DHCoder.java;JUnit4;69;1;Assertion Roulette;test;50-50;50-50
mtools;DHCoderTest;C:\Users\cebec\.jnose_projects\mtools\mtools\src\test\java\com\ztools\security\DHCoderTest.java;C:\Users\cebec\.jnose_projects\mtools\mtools\src\main\java\com\mtools\core\plugin\security\DHCoder.java;JUnit4;69;1;Assertion Roulette;test;66-66;66-66
mtools;DSACoderTest;C:\Users\cebec\.jnose_projects\mtools\mtools\src\test\java\com\ztools\security\DSACoderTest.java;C:\Users\cebec\.jnose_projects\mtools\mtools\src\main\java\com\mtools\core\plugin\security\DSACoder.java;JUnit4;45;1;Assertion Roulette;test;41-41;41-41
mtools;ECCCoderTest;C:\Users\cebec\.jnose_projects\mtools\mtools\src\test\java\com\ztools\security\ECCCoderTest.java;C:\Users\cebec\.jnose_projects\mtools\mtools\src\main\java\com\mtools\core\plugin\security\ECCCoder.java;JUnit4;39;1;Assertion Roulette;test;37-37;37-37
mtools;PBECoderTest;C:\Users\cebec\.jnose_projects\mtools\mtools\src\test\java\com\ztools\security\PBECoderTest.java;C:\Users\cebec\.jnose_projects\mtools\mtools\src\main\java\com\mtools\core\plugin\security\PBECoder.java;JUnit4;39;1;Assertion Roulette;test;36-36;36-36
mtools;RSACoderTest;C:\Users\cebec\.jnose_projects\mtools\mtools\src\test\java\com\ztools\security\RSACoderTest.java;C:\Users\cebec\.jnose_projects\mtools\mtools\src\main\java\com\mtools\core\plugin\security\RSACoder.java;JUnit4;77;5;Assertion Roulette;test;46-46;46-46
mtools;RSACoderTest;C:\Users\cebec\.jnose_projects\mtools\mtools\src\test\java\com\ztools\security\RSACoderTest.java;C:\Users\cebec\.jnose_projects\mtools\mtools\src\main\java\com\mtools\core\plugin\security\RSACoder.java;JUnit4;77;5;Assertion Roulette;testSign;63-63;63-63
mtools;RSACoderTest;C:\Users\cebec\.jnose_projects\mtools\mtools\src\test\java\com\ztools\security\RSACoderTest.java;C:\Users\cebec\.jnose_projects\mtools\mtools\src\main\java\com\mtools\core\plugin\security\RSACoder.java;JUnit4;77;5;Assertion Roulette;testSign;73-73;73-73
