projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
mu-server;AsyncSsePublisherTest;C:\Users\cebec\.jnose_projects\mu-server\src\test\java\io\muserver\AsyncSsePublisherTest.java;C:\Users\cebec\.jnose_projects\mu-server\src\main\java\io\muserver\AsyncSsePublisher.java;JUnit4;137;7;Magic Number Test;sendThrowsAnExceptionIfTheClientDisconnects;119;119
mu-server;AsyncSsePublisherTest;C:\Users\cebec\.jnose_projects\mu-server\src\test\java\io\muserver\AsyncSsePublisherTest.java;C:\Users\cebec\.jnose_projects\mu-server\src\main\java\io\muserver\AsyncSsePublisher.java;JUnit4;137;7;Magic Number Test;sendThrowsAnExceptionIfTheClientDisconnects;121;121
mu-server;AsyncSsePublisherTest;C:\Users\cebec\.jnose_projects\mu-server\src\test\java\io\muserver\AsyncSsePublisherTest.java;C:\Users\cebec\.jnose_projects\mu-server\src\main\java\io\muserver\AsyncSsePublisher.java;JUnit4;137;7;Verbose Test;canCall;22-72;22-72
mu-server;AsyncSsePublisherTest;C:\Users\cebec\.jnose_projects\mu-server\src\test\java\io\muserver\AsyncSsePublisherTest.java;C:\Users\cebec\.jnose_projects\mu-server\src\main\java\io\muserver\AsyncSsePublisher.java;JUnit4;137;7;Verbose Test;sendThrowsAnExceptionIfTheClientDisconnects;75-127;75-127
mu-server;AsyncSsePublisherTest;C:\Users\cebec\.jnose_projects\mu-server\src\test\java\io\muserver\AsyncSsePublisherTest.java;C:\Users\cebec\.jnose_projects\mu-server\src\main\java\io\muserver\AsyncSsePublisher.java;JUnit4;137;7;Sleepy Test;sendThrowsAnExceptionIfTheClientDisconnects;107-107;107-107
mu-server;AsyncSsePublisherTest;C:\Users\cebec\.jnose_projects\mu-server\src\test\java\io\muserver\AsyncSsePublisherTest.java;C:\Users\cebec\.jnose_projects\mu-server\src\main\java\io\muserver\AsyncSsePublisher.java;JUnit4;137;7;Assertion Roulette;canCall;57-68;57-68
mu-server;AsyncSsePublisherTest;C:\Users\cebec\.jnose_projects\mu-server\src\test\java\io\muserver\AsyncSsePublisherTest.java;C:\Users\cebec\.jnose_projects\mu-server\src\main\java\io\muserver\AsyncSsePublisher.java;JUnit4;137;7;Assertion Roulette;canCall;71-71;71-71
mu-server;AsyncSsePublisherTest;C:\Users\cebec\.jnose_projects\mu-server\src\test\java\io\muserver\AsyncSsePublisherTest.java;C:\Users\cebec\.jnose_projects\mu-server\src\main\java\io\muserver\AsyncSsePublisher.java;JUnit4;137;7;Assertion Roulette;sendThrowsAnExceptionIfTheClientDisconnects;122-122;122-122
mu-server;AsyncSsePublisherTest;C:\Users\cebec\.jnose_projects\mu-server\src\test\java\io\muserver\AsyncSsePublisherTest.java;C:\Users\cebec\.jnose_projects\mu-server\src\main\java\io\muserver\AsyncSsePublisher.java;JUnit4;137;7;Assertion Roulette;sendThrowsAnExceptionIfTheClientDisconnects;126-126;126-126
mu-server;AsyncSsePublisherTest;C:\Users\cebec\.jnose_projects\mu-server\src\test\java\io\muserver\AsyncSsePublisherTest.java;C:\Users\cebec\.jnose_projects\mu-server\src\main\java\io\muserver\AsyncSsePublisher.java;JUnit4;137;7;Conditional Test Logic;sendThrowsAnExceptionIfTheClientDisconnects;102-105;102-105
