projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
mypodcasts-android;EpisodeCheckpointTest;C:\Users\cebec\.jnose_projects\mypodcasts-android\app\src\test\java\com\mypodcasts\episodes\EpisodeCheckpointTest.java;C:\Users\cebec\.jnose_projects\mypodcasts-android\app\src\main\java\com\mypodcasts\episodes\EpisodeCheckpoint.java;JUnit4;65;6;Magic Number Test;itStoresCurrentStateOfPlayingEpisode;40;40
mypodcasts-android;EpisodeCheckpointTest;C:\Users\cebec\.jnose_projects\mypodcasts-android\app\src\test\java\com\mypodcasts\episodes\EpisodeCheckpointTest.java;C:\Users\cebec\.jnose_projects\mypodcasts-android\app\src\main\java\com\mypodcasts\episodes\EpisodeCheckpoint.java;JUnit4;65;6;Magic Number Test;itFetchesCurrentStateOfPlayingEpisode;52;52
mypodcasts-android;EpisodeCheckpointTest;C:\Users\cebec\.jnose_projects\mypodcasts-android\app\src\test\java\com\mypodcasts\episodes\EpisodeCheckpointTest.java;C:\Users\cebec\.jnose_projects\mypodcasts-android\app\src\main\java\com\mypodcasts\episodes\EpisodeCheckpoint.java;JUnit4;65;6;Magic Number Test;itReturnsDefaultValueWhenCouldNotFindEpisodeCheckpointOfPlayingEpisode;57;57
mypodcasts-android;EpisodeCheckpointTest;C:\Users\cebec\.jnose_projects\mypodcasts-android\app\src\test\java\com\mypodcasts\episodes\EpisodeCheckpointTest.java;C:\Users\cebec\.jnose_projects\mypodcasts-android\app\src\main\java\com\mypodcasts\episodes\EpisodeCheckpoint.java;JUnit4;65;6;Assertion Roulette;itStoresCurrentStateOfPlayingEpisode;38-38;38-38
mypodcasts-android;EpisodeCheckpointTest;C:\Users\cebec\.jnose_projects\mypodcasts-android\app\src\test\java\com\mypodcasts\episodes\EpisodeCheckpointTest.java;C:\Users\cebec\.jnose_projects\mypodcasts-android\app\src\main\java\com\mypodcasts\episodes\EpisodeCheckpoint.java;JUnit4;65;6;Assertion Roulette;itStoresCurrentStateOfPlayingEpisode;39-42;39-42
mypodcasts-android;EpisodeCheckpointTest;C:\Users\cebec\.jnose_projects\mypodcasts-android\app\src\test\java\com\mypodcasts\episodes\EpisodeCheckpointTest.java;C:\Users\cebec\.jnose_projects\mypodcasts-android\app\src\main\java\com\mypodcasts\episodes\EpisodeCheckpoint.java;JUnit4;65;6;Assertion Roulette;itFetchesCurrentStateOfPlayingEpisode;52-52;52-52
mypodcasts-android;EpisodeCheckpointTest;C:\Users\cebec\.jnose_projects\mypodcasts-android\app\src\test\java\com\mypodcasts\episodes\EpisodeCheckpointTest.java;C:\Users\cebec\.jnose_projects\mypodcasts-android\app\src\main\java\com\mypodcasts\episodes\EpisodeCheckpoint.java;JUnit4;65;6;Assertion Roulette;itReturnsDefaultValueWhenCouldNotFindEpisodeCheckpointOfPlayingEpisode;57-57;57-57
mypodcasts-android;EpisodeDownloaderTest;C:\Users\cebec\.jnose_projects\mypodcasts-android\app\src\test\java\com\mypodcasts\episodes\EpisodeDownloaderTest.java;C:\Users\cebec\.jnose_projects\mypodcasts-android\app\src\main\java\com\mypodcasts\episodes\EpisodeDownloader.java;JUnit4;52;7;Unknown Test;itDelegatesToFileDownloadManagaerWhenAskForDownload;35-44;35-44
mypodcasts-android;EpisodeDownloaderTest;C:\Users\cebec\.jnose_projects\mypodcasts-android\app\src\test\java\com\mypodcasts\episodes\EpisodeDownloaderTest.java;C:\Users\cebec\.jnose_projects\mypodcasts-android\app\src\main\java\com\mypodcasts\episodes\EpisodeDownloader.java;JUnit4;52;7;Unknown Test;itDelegatesToEpisodeFileWhenAskedAboutIfDownloadWasAlreadyMade;46-51;46-51
mypodcasts-android;EpisodeFeedsActivityTest;C:\Users\cebec\.jnose_projects\mypodcasts-android\app\src\test\java\com\mypodcasts\episodes\EpisodeFeedsActivityTest.java;C:\Users\cebec\.jnose_projects\mypodcasts-android\app\src\main\java\com\mypodcasts\episodes\EpisodeFeedsActivity.java;JUnit4;165;15;Unknown Test;itShowsAndHideProgressDialog;104-120;104-120
