projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
nalloc;DirectBufferMmapAllocatorTest;C:\Users\cebec\.jnose_projects\nalloc\src\test\java\com\github\nalloc\impl\DirectBufferMmapAllocatorTest.java;C:\Users\cebec\.jnose_projects\nalloc\src\main\java\com\github\nalloc\impl\DirectBufferMmapAllocator.java;JUnit4;118;11;Magic Number Test;shouldMemoryMapFile;51;51
nalloc;DirectBufferMmapAllocatorTest;C:\Users\cebec\.jnose_projects\nalloc\src\test\java\com\github\nalloc\impl\DirectBufferMmapAllocatorTest.java;C:\Users\cebec\.jnose_projects\nalloc\src\main\java\com\github\nalloc\impl\DirectBufferMmapAllocator.java;JUnit4;118;11;Magic Number Test;shouldMemoryMapFile;53;53
nalloc;DirectBufferMmapAllocatorTest;C:\Users\cebec\.jnose_projects\nalloc\src\test\java\com\github\nalloc\impl\DirectBufferMmapAllocatorTest.java;C:\Users\cebec\.jnose_projects\nalloc\src\main\java\com\github\nalloc\impl\DirectBufferMmapAllocator.java;JUnit4;118;11;Magic Number Test;shouldAccessStructAsByteBuffer;65;65
nalloc;DirectBufferMmapAllocatorTest;C:\Users\cebec\.jnose_projects\nalloc\src\test\java\com\github\nalloc\impl\DirectBufferMmapAllocatorTest.java;C:\Users\cebec\.jnose_projects\nalloc\src\main\java\com\github\nalloc\impl\DirectBufferMmapAllocator.java;JUnit4;118;11;Magic Number Test;shouldMemoryMapBuffer;76;76
nalloc;DirectBufferMmapAllocatorTest;C:\Users\cebec\.jnose_projects\nalloc\src\test\java\com\github\nalloc\impl\DirectBufferMmapAllocatorTest.java;C:\Users\cebec\.jnose_projects\nalloc\src\main\java\com\github\nalloc\impl\DirectBufferMmapAllocator.java;JUnit4;118;11;Magic Number Test;shoulMemoryMapAnonymousBuffer;85;85
nalloc;DirectBufferMmapAllocatorTest;C:\Users\cebec\.jnose_projects\nalloc\src\test\java\com\github\nalloc\impl\DirectBufferMmapAllocatorTest.java;C:\Users\cebec\.jnose_projects\nalloc\src\main\java\com\github\nalloc\impl\DirectBufferMmapAllocator.java;JUnit4;118;11;Magic Number Test;shoulMemoryMapAnonymousBuffer;86;86
nalloc;DirectBufferMmapAllocatorTest;C:\Users\cebec\.jnose_projects\nalloc\src\test\java\com\github\nalloc\impl\DirectBufferMmapAllocatorTest.java;C:\Users\cebec\.jnose_projects\nalloc\src\main\java\com\github\nalloc\impl\DirectBufferMmapAllocator.java;JUnit4;118;11;Assertion Roulette;shouldMemoryMapFile;51-51;51-51
nalloc;DirectBufferMmapAllocatorTest;C:\Users\cebec\.jnose_projects\nalloc\src\test\java\com\github\nalloc\impl\DirectBufferMmapAllocatorTest.java;C:\Users\cebec\.jnose_projects\nalloc\src\main\java\com\github\nalloc\impl\DirectBufferMmapAllocator.java;JUnit4;118;11;Assertion Roulette;shouldMemoryMapFile;52-52;52-52
nalloc;DirectBufferMmapAllocatorTest;C:\Users\cebec\.jnose_projects\nalloc\src\test\java\com\github\nalloc\impl\DirectBufferMmapAllocatorTest.java;C:\Users\cebec\.jnose_projects\nalloc\src\main\java\com\github\nalloc\impl\DirectBufferMmapAllocator.java;JUnit4;118;11;Assertion Roulette;shouldMemoryMapFile;53-53;53-53
nalloc;DirectBufferMmapAllocatorTest;C:\Users\cebec\.jnose_projects\nalloc\src\test\java\com\github\nalloc\impl\DirectBufferMmapAllocatorTest.java;C:\Users\cebec\.jnose_projects\nalloc\src\main\java\com\github\nalloc\impl\DirectBufferMmapAllocator.java;JUnit4;118;11;Assertion Roulette;shouldAccessStructAsByteBuffer;62-62;62-62
nalloc;DirectBufferMmapAllocatorTest;C:\Users\cebec\.jnose_projects\nalloc\src\test\java\com\github\nalloc\impl\DirectBufferMmapAllocatorTest.java;C:\Users\cebec\.jnose_projects\nalloc\src\main\java\com\github\nalloc\impl\DirectBufferMmapAllocator.java;JUnit4;118;11;Assertion Roulette;shouldAccessStructAsByteBuffer;65-65;65-65
nalloc;DirectBufferMmapAllocatorTest;C:\Users\cebec\.jnose_projects\nalloc\src\test\java\com\github\nalloc\impl\DirectBufferMmapAllocatorTest.java;C:\Users\cebec\.jnose_projects\nalloc\src\main\java\com\github\nalloc\impl\DirectBufferMmapAllocator.java;JUnit4;118;11;Assertion Roulette;shouldMemoryMapBuffer;76-76;76-76
nalloc;DirectBufferMmapAllocatorTest;C:\Users\cebec\.jnose_projects\nalloc\src\test\java\com\github\nalloc\impl\DirectBufferMmapAllocatorTest.java;C:\Users\cebec\.jnose_projects\nalloc\src\main\java\com\github\nalloc\impl\DirectBufferMmapAllocator.java;JUnit4;118;11;Assertion Roulette;shoulMemoryMapAnonymousBuffer;85-85;85-85
nalloc;DirectBufferMmapAllocatorTest;C:\Users\cebec\.jnose_projects\nalloc\src\test\java\com\github\nalloc\impl\DirectBufferMmapAllocatorTest.java;C:\Users\cebec\.jnose_projects\nalloc\src\main\java\com\github\nalloc\impl\DirectBufferMmapAllocator.java;JUnit4;118;11;Assertion Roulette;shoulMemoryMapAnonymousBuffer;86-86;86-86
nalloc;DirectBufferMmapAllocatorTest;C:\Users\cebec\.jnose_projects\nalloc\src\test\java\com\github\nalloc\impl\DirectBufferMmapAllocatorTest.java;C:\Users\cebec\.jnose_projects\nalloc\src\main\java\com\github\nalloc\impl\DirectBufferMmapAllocator.java;JUnit4;118;11;Exception Catching Throwing;shouldMemoryMapFile;47-54;47-54
nalloc;DirectBufferMmapAllocatorTest;C:\Users\cebec\.jnose_projects\nalloc\src\test\java\com\github\nalloc\impl\DirectBufferMmapAllocatorTest.java;C:\Users\cebec\.jnose_projects\nalloc\src\main\java\com\github\nalloc\impl\DirectBufferMmapAllocator.java;JUnit4;118;11;Exception Catching Throwing;shouldAccessStructAsByteBuffer;59-66;59-66
nalloc;DirectBufferMmapAllocatorTest;C:\Users\cebec\.jnose_projects\nalloc\src\test\java\com\github\nalloc\impl\DirectBufferMmapAllocatorTest.java;C:\Users\cebec\.jnose_projects\nalloc\src\main\java\com\github\nalloc\impl\DirectBufferMmapAllocator.java;JUnit4;118;11;Exception Catching Throwing;shoulMemoryMapAnonymousBuffer;81-87;81-87
nalloc;HeapArrayTest;C:\Users\cebec\.jnose_projects\nalloc\src\test\java\com\github\nalloc\impl\HeapArrayTest.java;C:\Users\cebec\.jnose_projects\nalloc\src\main\java\com\github\nalloc\impl\HeapArray.java;JUnit4;78;5;Magic Number Test;shouldSetArrayAddress;45;45
