projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
name-machine;NameGeneratorOptionsTest;C:\Users\cebec\.jnose_projects\name-machine\src\test\java\org\ajbrown\namemachine\NameGeneratorOptionsTest.java;C:\Users\cebec\.jnose_projects\name-machine\src\main\java\org\ajbrown\namemachine\NameGeneratorOptions.java;JUnit4;94;6;Magic Number Test;testGenderWeightField;37;37
name-machine;NameGeneratorOptionsTest;C:\Users\cebec\.jnose_projects\name-machine\src\test\java\org\ajbrown\namemachine\NameGeneratorOptionsTest.java;C:\Users\cebec\.jnose_projects\name-machine\src\main\java\org\ajbrown\namemachine\NameGeneratorOptions.java;JUnit4;94;6;Magic Number Test;testGenderWeightField;40;40
name-machine;NameGeneratorOptionsTest;C:\Users\cebec\.jnose_projects\name-machine\src\test\java\org\ajbrown\namemachine\NameGeneratorOptionsTest.java;C:\Users\cebec\.jnose_projects\name-machine\src\main\java\org\ajbrown\namemachine\NameGeneratorOptions.java;JUnit4;94;6;Magic Number Test;testGenderWeightDefault;52;52
name-machine;NameGeneratorOptionsTest;C:\Users\cebec\.jnose_projects\name-machine\src\test\java\org\ajbrown\namemachine\NameGeneratorOptionsTest.java;C:\Users\cebec\.jnose_projects\name-machine\src\main\java\org\ajbrown\namemachine\NameGeneratorOptions.java;JUnit4;94;6;Lazy Test;testEquals, testGenderWeightMustBePositive, testGenderWeightField;82, 79, 78, 46, 39, 36;82, 79, 78, 46, 39, 36
name-machine;NameGeneratorOptionsTest;C:\Users\cebec\.jnose_projects\name-machine\src\test\java\org\ajbrown\namemachine\NameGeneratorOptionsTest.java;C:\Users\cebec\.jnose_projects\name-machine\src\main\java\org\ajbrown\namemachine\NameGeneratorOptions.java;JUnit4;94;6;Lazy Test;testGenderWeightDefault, testGenderWeightField;52, 40, 37;52, 40, 37
name-machine;NameGeneratorOptionsTest;C:\Users\cebec\.jnose_projects\name-machine\src\test\java\org\ajbrown\namemachine\NameGeneratorOptionsTest.java;C:\Users\cebec\.jnose_projects\name-machine\src\main\java\org\ajbrown\namemachine\NameGeneratorOptions.java;JUnit4;94;6;Lazy Test;testRandomSeedDefault, testRandomSeedField;69, 63, 60;69, 63, 60
name-machine;NameGeneratorOptionsTest;C:\Users\cebec\.jnose_projects\name-machine\src\test\java\org\ajbrown\namemachine\NameGeneratorOptionsTest.java;C:\Users\cebec\.jnose_projects\name-machine\src\main\java\org\ajbrown\namemachine\NameGeneratorOptions.java;JUnit4;94;6;Lazy Test;testEquals, testRandomSeedField;91, 88, 85, 62, 59;91, 88, 85, 62, 59
name-machine;NameGeneratorOptionsTest;C:\Users\cebec\.jnose_projects\name-machine\src\test\java\org\ajbrown\namemachine\NameGeneratorOptionsTest.java;C:\Users\cebec\.jnose_projects\name-machine\src\main\java\org\ajbrown\namemachine\NameGeneratorOptions.java;JUnit4;94;6;Duplicate Assert;testEquals;76, 83, 92;76, 83, 92
name-machine;NameGeneratorOptionsTest;C:\Users\cebec\.jnose_projects\name-machine\src\test\java\org\ajbrown\namemachine\NameGeneratorOptionsTest.java;C:\Users\cebec\.jnose_projects\name-machine\src\main\java\org\ajbrown\namemachine\NameGeneratorOptions.java;JUnit4;94;6;Duplicate Assert;testEquals;80, 86, 89;80, 86, 89
name-machine;NameGeneratorOptionsTest;C:\Users\cebec\.jnose_projects\name-machine\src\test\java\org\ajbrown\namemachine\NameGeneratorOptionsTest.java;C:\Users\cebec\.jnose_projects\name-machine\src\main\java\org\ajbrown\namemachine\NameGeneratorOptions.java;JUnit4;94;6;Eager Test;testEquals;85, 91;85, 91
