projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
ninja-rythm;RoutesTest;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\test\java\conf\RoutesTest.java;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\main\java\conf\Routes.java;JUnit4;127;5;Unknown Test;testTestRoutesAreHiddenFromProduction;33-42;33-42
ninja-rythm;RoutesTest;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\test\java\conf\RoutesTest.java;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\main\java\conf\Routes.java;JUnit4;127;5;Unknown Test;testRoutes;44-53;44-53
ninja-rythm;RoutesTest;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\test\java\conf\RoutesTest.java;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\main\java\conf\Routes.java;JUnit4;127;5;Assertion Roulette;testReverseRoutingWithoutMap;65-65;65-65
ninja-rythm;RoutesTest;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\test\java\conf\RoutesTest.java;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\main\java\conf\Routes.java;JUnit4;127;5;Assertion Roulette;testReverseRoutingWithoutMap;73-73;73-73
ninja-rythm;RoutesTest;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\test\java\conf\RoutesTest.java;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\main\java\conf\Routes.java;JUnit4;127;5;Assertion Roulette;testReverseRoutingWithMap;89-89;89-89
ninja-rythm;RoutesTest;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\test\java\conf\RoutesTest.java;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\main\java\conf\Routes.java;JUnit4;127;5;Assertion Roulette;testReverseRoutingWithMap;99-99;99-99
ninja-rythm;RoutesTest;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\test\java\conf\RoutesTest.java;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\main\java\conf\Routes.java;JUnit4;127;5;Assertion Roulette;testReverseRoutingWithMapAndQueryParameter;120-120;120-120
ninja-rythm;ApplicationControllerTest;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\test\java\controllers\ApplicationControllerTest.java;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\main\java\controllers\ApplicationController.java;JUnit4;209;10;Magic Number Test;makeSureSessionsGetSentToClient;79;79
ninja-rythm;ApplicationControllerTest;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\test\java\controllers\ApplicationControllerTest.java;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\main\java\controllers\ApplicationController.java;JUnit4;209;10;Assertion Roulette;testThatRedirectWorks;46-46;46-46
ninja-rythm;ApplicationControllerTest;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\test\java\controllers\ApplicationControllerTest.java;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\main\java\controllers\ApplicationController.java;JUnit4;209;10;Assertion Roulette;testHtmlEscapingInTeamplateWorks;64-64;64-64
ninja-rythm;ApplicationControllerTest;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\test\java\controllers\ApplicationControllerTest.java;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\main\java\controllers\ApplicationController.java;JUnit4;209;10;Assertion Roulette;makeSureSessionsGetSentToClient;79-79;79-79
ninja-rythm;ApplicationControllerTest;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\test\java\controllers\ApplicationControllerTest.java;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\main\java\controllers\ApplicationController.java;JUnit4;209;10;Assertion Roulette;makeSureSessionsGetSentToClient;82-82;82-82
ninja-rythm;ApplicationControllerTest;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\test\java\controllers\ApplicationControllerTest.java;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\main\java\controllers\ApplicationController.java;JUnit4;209;10;Assertion Roulette;makeSureSessionsGetSentToClient;84-84;84-84
ninja-rythm;ApplicationControllerTest;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\test\java\controllers\ApplicationControllerTest.java;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\main\java\controllers\ApplicationController.java;JUnit4;209;10;Assertion Roulette;makeSureSessionsGetSentToClient;85-85;85-85
ninja-rythm;ApplicationControllerTest;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\test\java\controllers\ApplicationControllerTest.java;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\main\java\controllers\ApplicationController.java;JUnit4;209;10;Assertion Roulette;makeSureSessionsGetSentToClient;86-86;86-86
ninja-rythm;ApplicationControllerTest;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\test\java\controllers\ApplicationControllerTest.java;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\main\java\controllers\ApplicationController.java;JUnit4;209;10;Assertion Roulette;testThatPathParamParsingWorks;105-105;105-105
ninja-rythm;ApplicationControllerTest;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\test\java\controllers\ApplicationControllerTest.java;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\main\java\controllers\ApplicationController.java;JUnit4;209;10;Assertion Roulette;testThatPathParamParsingWorks;106-106;106-106
ninja-rythm;ApplicationControllerTest;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\test\java\controllers\ApplicationControllerTest.java;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\main\java\controllers\ApplicationController.java;JUnit4;209;10;Assertion Roulette;testThatPathParamParsingWorks;108-108;108-108
ninja-rythm;ApplicationControllerTest;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\test\java\controllers\ApplicationControllerTest.java;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\main\java\controllers\ApplicationController.java;JUnit4;209;10;Assertion Roulette;testThatValidationWorks;122-122;122-122
ninja-rythm;ApplicationControllerTest;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\test\java\controllers\ApplicationControllerTest.java;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\main\java\controllers\ApplicationController.java;JUnit4;209;10;Assertion Roulette;testThatValidationWorks;127-129;127-129
ninja-rythm;ApplicationControllerTest;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\test\java\controllers\ApplicationControllerTest.java;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\main\java\controllers\ApplicationController.java;JUnit4;209;10;Assertion Roulette;testPostFormParsingWorks;150-150;150-150
ninja-rythm;ApplicationControllerTest;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\test\java\controllers\ApplicationControllerTest.java;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\main\java\controllers\ApplicationController.java;JUnit4;209;10;Assertion Roulette;testPostFormParsingWorks;151-151;151-151
ninja-rythm;ApplicationControllerTest;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\test\java\controllers\ApplicationControllerTest.java;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\main\java\controllers\ApplicationController.java;JUnit4;209;10;Assertion Roulette;testPostFormParsingWorks;152-152;152-152
ninja-rythm;ApplicationControllerTest;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\test\java\controllers\ApplicationControllerTest.java;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\main\java\controllers\ApplicationController.java;JUnit4;209;10;Assertion Roulette;testFlashSuccessWorks;164-164;164-164
ninja-rythm;ApplicationControllerTest;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\test\java\controllers\ApplicationControllerTest.java;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\main\java\controllers\ApplicationController.java;JUnit4;209;10;Assertion Roulette;testFlashErrorWorks;175-175;175-175
ninja-rythm;ApplicationControllerTest;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\test\java\controllers\ApplicationControllerTest.java;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\main\java\controllers\ApplicationController.java;JUnit4;209;10;Assertion Roulette;testFlashAnyWorks;186-186;186-186
ninja-rythm;ApplicationControllerTest;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\test\java\controllers\ApplicationControllerTest.java;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\main\java\controllers\ApplicationController.java;JUnit4;209;10;Assertion Roulette;testCachingWorks;198-198;198-198
ninja-rythm;ApplicationControllerTest;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\test\java\controllers\ApplicationControllerTest.java;C:\Users\cebec\.jnose_projects\ninja-rythm\ninja-rythm-demo\src\main\java\controllers\ApplicationController.java;JUnit4;209;10;Assertion Roulette;testCachingWorks;205-205;205-205
