projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
nldi-services;HtmlControllerTest;C:\Users\cebec\.jnose_projects\nldi-services\src\test\java\gov\usgs\owi\nldi\controllers\HtmlControllerTest.java;C:\Users\cebec\.jnose_projects\nldi-services\src\main\java\gov\usgs\owi\nldi\controllers\HtmlController.java;JUnit5;35;2;Duplicate Assert;ensureIsHttpsTest;24, 28;24, 28
nldi-services;HtmlControllerTest;C:\Users\cebec\.jnose_projects\nldi-services\src\test\java\gov\usgs\owi\nldi\controllers\HtmlControllerTest.java;C:\Users\cebec\.jnose_projects\nldi-services\src\main\java\gov\usgs\owi\nldi\controllers\HtmlController.java;JUnit5;35;2;Assertion Roulette;ensureIsHttpsTest;24-24;24-24
nldi-services;HtmlControllerTest;C:\Users\cebec\.jnose_projects\nldi-services\src\test\java\gov\usgs\owi\nldi\controllers\HtmlControllerTest.java;C:\Users\cebec\.jnose_projects\nldi-services\src\main\java\gov\usgs\owi\nldi\controllers\HtmlController.java;JUnit5;35;2;Assertion Roulette;ensureIsHttpsTest;28-28;28-28
nldi-services;HtmlControllerTest;C:\Users\cebec\.jnose_projects\nldi-services\src\test\java\gov\usgs\owi\nldi\controllers\HtmlControllerTest.java;C:\Users\cebec\.jnose_projects\nldi-services\src\main\java\gov\usgs\owi\nldi\controllers\HtmlController.java;JUnit5;35;2;Assertion Roulette;ensureIsHttpsTest;32-32;32-32
nldi-services;LinkedDataControllerTest;C:\Users\cebec\.jnose_projects\nldi-services\src\test\java\gov\usgs\owi\nldi\controllers\LinkedDataControllerTest.java;C:\Users\cebec\.jnose_projects\nldi-services\src\main\java\gov\usgs\owi\nldi\controllers\LinkedDataController.java;JUnit5;471;22;Unknown Test;getDataSourcesTest;85-110;85-110
nldi-services;LinkedDataControllerTest;C:\Users\cebec\.jnose_projects\nldi-services\src\test\java\gov\usgs\owi\nldi\controllers\LinkedDataControllerTest.java;C:\Users\cebec\.jnose_projects\nldi-services\src\main\java\gov\usgs\owi\nldi\controllers\LinkedDataController.java;JUnit5;471;22;Unknown Test;getFeaturesTest;112-119;112-119
nldi-services;LinkedDataControllerTest;C:\Users\cebec\.jnose_projects\nldi-services\src\test\java\gov\usgs\owi\nldi\controllers\LinkedDataControllerTest.java;C:\Users\cebec\.jnose_projects\nldi-services\src\main\java\gov\usgs\owi\nldi\controllers\LinkedDataController.java;JUnit5;471;22;Unknown Test;getRegisteredFeatureTest;121-149;121-149
nldi-services;LinkedDataControllerTest;C:\Users\cebec\.jnose_projects\nldi-services\src\test\java\gov\usgs\owi\nldi\controllers\LinkedDataControllerTest.java;C:\Users\cebec\.jnose_projects\nldi-services\src\main\java\gov\usgs\owi\nldi\controllers\LinkedDataController.java;JUnit5;471;22;Unknown Test;getNavigateTypesTest;151-163;151-163
nldi-services;LinkedDataControllerTest;C:\Users\cebec\.jnose_projects\nldi-services\src\test\java\gov\usgs\owi\nldi\controllers\LinkedDataControllerTest.java;C:\Users\cebec\.jnose_projects\nldi-services\src\main\java\gov\usgs\owi\nldi\controllers\LinkedDataController.java;JUnit5;471;22;Unknown Test;getNavigationTypesTest;165-177;165-177
nldi-services;LinkedDataControllerTest;C:\Users\cebec\.jnose_projects\nldi-services\src\test\java\gov\usgs\owi\nldi\controllers\LinkedDataControllerTest.java;C:\Users\cebec\.jnose_projects\nldi-services\src\main\java\gov\usgs\owi\nldi\controllers\LinkedDataController.java;JUnit5;471;22;Unknown Test;getCharacteristicDataTest;179-193;179-193
