projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
oacc-core;BCryptPasswordEncryptorTest;C:\Users\cebec\.jnose_projects\oacc-core\src\test\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptorTest.java;C:\Users\cebec\.jnose_projects\oacc-core\src\main\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptor.java;JUnit4;162;13;Lazy Test;getEncryptorUsesSpecifiedCostFactor, getEncryptorDoesNotAcceptCostFactorAboveMax, getEncryptorDoesNotAcceptCostFactorBelowMin;60, 48, 37;60, 48, 37
oacc-core;BCryptPasswordEncryptorTest;C:\Users\cebec\.jnose_projects\oacc-core\src\test\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptorTest.java;C:\Users\cebec\.jnose_projects\oacc-core\src\main\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptor.java;JUnit4;162;13;Eager Test;getEncryptorUsesSpecifiedCostFactor;60, 62;60, 62
oacc-core;BCryptPasswordEncryptorTest;C:\Users\cebec\.jnose_projects\oacc-core\src\test\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptorTest.java;C:\Users\cebec\.jnose_projects\oacc-core\src\main\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptor.java;JUnit4;162;13;Assertion Roulette;getEncryptorDoesNotAcceptCostFactorBelowMin;41-41;41-41
oacc-core;BCryptPasswordEncryptorTest;C:\Users\cebec\.jnose_projects\oacc-core\src\test\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptorTest.java;C:\Users\cebec\.jnose_projects\oacc-core\src\main\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptor.java;JUnit4;162;13;Assertion Roulette;getEncryptorDoesNotAcceptCostFactorAboveMax;52-52;52-52
oacc-core;BCryptPasswordEncryptorTest;C:\Users\cebec\.jnose_projects\oacc-core\src\test\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptorTest.java;C:\Users\cebec\.jnose_projects\oacc-core\src\main\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptor.java;JUnit4;162;13;Assertion Roulette;getEncryptorUsesSpecifiedCostFactor;62-62;62-62
oacc-core;BCryptPasswordEncryptorTest;C:\Users\cebec\.jnose_projects\oacc-core\src\test\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptorTest.java;C:\Users\cebec\.jnose_projects\oacc-core\src\main\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptor.java;JUnit4;162;13;Assertion Roulette;encryptNullPassword;71-71;71-71
oacc-core;BCryptPasswordEncryptorTest;C:\Users\cebec\.jnose_projects\oacc-core\src\test\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptorTest.java;C:\Users\cebec\.jnose_projects\oacc-core\src\main\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptor.java;JUnit4;162;13;Assertion Roulette;encryptPasswordDifferentHashesForSamePassword;81-81;81-81
oacc-core;BCryptPasswordEncryptorTest;C:\Users\cebec\.jnose_projects\oacc-core\src\test\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptorTest.java;C:\Users\cebec\.jnose_projects\oacc-core\src\main\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptor.java;JUnit4;162;13;Assertion Roulette;encryptPasswordDifferentHashesForLongPasswords;107-107;107-107
oacc-core;BCryptPasswordEncryptorTest;C:\Users\cebec\.jnose_projects\oacc-core\src\test\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptorTest.java;C:\Users\cebec\.jnose_projects\oacc-core\src\main\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptor.java;JUnit4;162;13;Assertion Roulette;encryptPasswordHeaderMarkerPresent;116-116;116-116
oacc-core;BCryptPasswordEncryptorTest;C:\Users\cebec\.jnose_projects\oacc-core\src\test\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptorTest.java;C:\Users\cebec\.jnose_projects\oacc-core\src\main\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptor.java;JUnit4;162;13;Assertion Roulette;checkNullPasswords;125-125;125-125
oacc-core;BCryptPasswordEncryptorTest;C:\Users\cebec\.jnose_projects\oacc-core\src\test\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptorTest.java;C:\Users\cebec\.jnose_projects\oacc-core\src\main\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptor.java;JUnit4;162;13;Assertion Roulette;checkNullPassword;134-134;134-134
oacc-core;BCryptPasswordEncryptorTest;C:\Users\cebec\.jnose_projects\oacc-core\src\test\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptorTest.java;C:\Users\cebec\.jnose_projects\oacc-core\src\main\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptor.java;JUnit4;162;13;Assertion Roulette;checkNullStoredPassword;141-141;141-141
oacc-core;BCryptPasswordEncryptorTest;C:\Users\cebec\.jnose_projects\oacc-core\src\test\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptorTest.java;C:\Users\cebec\.jnose_projects\oacc-core\src\main\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptor.java;JUnit4;162;13;Assertion Roulette;checkPassword;150-150;150-150
oacc-core;BCryptPasswordEncryptorTest;C:\Users\cebec\.jnose_projects\oacc-core\src\test\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptorTest.java;C:\Users\cebec\.jnose_projects\oacc-core\src\main\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptor.java;JUnit4;162;13;Assertion Roulette;checkNormalizedPassword;160-160;160-160
oacc-core;BCryptPasswordEncryptorTest;C:\Users\cebec\.jnose_projects\oacc-core\src\test\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptorTest.java;C:\Users\cebec\.jnose_projects\oacc-core\src\main\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptor.java;JUnit4;162;13;Exception Catching Throwing;getEncryptorDoesNotAcceptCostFactorBelowMin;36-42;36-42
oacc-core;BCryptPasswordEncryptorTest;C:\Users\cebec\.jnose_projects\oacc-core\src\test\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptorTest.java;C:\Users\cebec\.jnose_projects\oacc-core\src\main\java\com\acciente\oacc\encryptor\bcrypt\BCryptPasswordEncryptor.java;JUnit4;162;13;Exception Catching Throwing;getEncryptorDoesNotAcceptCostFactorAboveMax;47-53;47-53
oacc-core;PasswordEncoderDecoderTest;C:\Users\cebec\.jnose_projects\oacc-core\src\test\java\com\acciente\oacc\encryptor\bcrypt\PasswordEncoderDecoderTest.java;C:\Users\cebec\.jnose_projects\oacc-core\src\main\java\com\acciente\oacc\encryptor\jasypt\PasswordEncoderDecoder.java;JUnit4;60;8;Assertion Roulette;encodePassword;40-40;40-40
oacc-core;PasswordEncoderDecoderTest;C:\Users\cebec\.jnose_projects\oacc-core\src\test\java\com\acciente\oacc\encryptor\bcrypt\PasswordEncoderDecoderTest.java;C:\Users\cebec\.jnose_projects\oacc-core\src\main\java\com\acciente\oacc\encryptor\jasypt\PasswordEncoderDecoder.java;JUnit4;60;8;Assertion Roulette;decodePassword;47-47;47-47
oacc-core;PasswordEncoderDecoderTest;C:\Users\cebec\.jnose_projects\oacc-core\src\test\java\com\acciente\oacc\encryptor\bcrypt\PasswordEncoderDecoderTest.java;C:\Users\cebec\.jnose_projects\oacc-core\src\main\java\com\acciente\oacc\encryptor\jasypt\PasswordEncoderDecoder.java;JUnit4;60;8;Assertion Roulette;decodePasswordCheckExceptionDoesNotContainFullEncodedPassword;57-57;57-57
oacc-core;PasswordEncoderDecoderTest;C:\Users\cebec\.jnose_projects\oacc-core\src\test\java\com\acciente\oacc\encryptor\bcrypt\PasswordEncoderDecoderTest.java;C:\Users\cebec\.jnose_projects\oacc-core\src\main\java\com\acciente\oacc\encryptor\jasypt\PasswordEncoderDecoder.java;JUnit4;60;8;Exception Catching Throwing;decodePasswordCheckExceptionDoesNotContainFullEncodedPassword;52-58;52-58
