projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
oakpal;EmbeddedPackageInstallableTest;C:\Users\cebec\.jnose_projects\oakpal\api\src\test\java\net\adamcin\oakpal\api\EmbeddedPackageInstallableTest.java;C:\Users\cebec\.jnose_projects\oakpal\api\src\main\java\net\adamcin\oakpal\api\EmbeddedPackageInstallable.java;JUnit4;103;3;Redundant Assertion;testEquals;48-48;48-48
oakpal;EmbeddedPackageInstallableTest;C:\Users\cebec\.jnose_projects\oakpal\api\src\test\java\net\adamcin\oakpal\api\EmbeddedPackageInstallableTest.java;C:\Users\cebec\.jnose_projects\oakpal\api\src\main\java\net\adamcin\oakpal\api\EmbeddedPackageInstallable.java;JUnit4;103;3;Redundant Assertion;testHashCode;80-80;80-80
oakpal;EmbeddedPackageInstallableTest;C:\Users\cebec\.jnose_projects\oakpal\api\src\test\java\net\adamcin\oakpal\api\EmbeddedPackageInstallableTest.java;C:\Users\cebec\.jnose_projects\oakpal\api\src\main\java\net\adamcin\oakpal\api\EmbeddedPackageInstallable.java;JUnit4;103;3;Lazy Test;testHashCode, testEquals, testConstructorAndGetters;96, 94, 91, 86, 65, 63, 60, 55, 38;96, 94, 91, 86, 65, 63, 60, 55, 38
oakpal;EmbeddedPackageInstallableTest;C:\Users\cebec\.jnose_projects\oakpal\api\src\test\java\net\adamcin\oakpal\api\EmbeddedPackageInstallableTest.java;C:\Users\cebec\.jnose_projects\oakpal\api\src\main\java\net\adamcin\oakpal\api\EmbeddedPackageInstallable.java;JUnit4;103;3;Lazy Test;testHashCode, testEquals, testConstructorAndGetters;100, 95, 85, 69, 64, 54, 37;100, 95, 85, 69, 64, 54, 37
oakpal;EmbeddedPackageInstallableTest;C:\Users\cebec\.jnose_projects\oakpal\api\src\test\java\net\adamcin\oakpal\api\EmbeddedPackageInstallableTest.java;C:\Users\cebec\.jnose_projects\oakpal\api\src\main\java\net\adamcin\oakpal\api\EmbeddedPackageInstallable.java;JUnit4;103;3;Lazy Test;testHashCode, testEquals, testConstructorAndGetters;98, 93, 88, 83, 75, 67, 62, 57, 52, 43, 34;98, 93, 88, 83, 75, 67, 62, 57, 52, 43, 34
oakpal;EmbeddedPackageInstallableTest;C:\Users\cebec\.jnose_projects\oakpal\api\src\test\java\net\adamcin\oakpal\api\EmbeddedPackageInstallableTest.java;C:\Users\cebec\.jnose_projects\oakpal\api\src\main\java\net\adamcin\oakpal\api\EmbeddedPackageInstallable.java;JUnit4;103;3;Lazy Test;testHashCode, testEquals, testConstructorAndGetters;101, 99, 89, 84, 70, 68, 58, 53, 36;101, 99, 89, 84, 70, 68, 58, 53, 36
oakpal;EmbeddedPackageInstallableTest;C:\Users\cebec\.jnose_projects\oakpal\api\src\test\java\net\adamcin\oakpal\api\EmbeddedPackageInstallableTest.java;C:\Users\cebec\.jnose_projects\oakpal\api\src\main\java\net\adamcin\oakpal\api\EmbeddedPackageInstallable.java;JUnit4;103;3;Eager Test;testConstructorAndGetters;34, 38;34, 38
oakpal;EmbeddedPackageInstallableTest;C:\Users\cebec\.jnose_projects\oakpal\api\src\test\java\net\adamcin\oakpal\api\EmbeddedPackageInstallableTest.java;C:\Users\cebec\.jnose_projects\oakpal\api\src\main\java\net\adamcin\oakpal\api\EmbeddedPackageInstallable.java;JUnit4;103;3;Eager Test;testEquals;43, 52, 57, 62, 67, 70;43, 52, 57, 62, 67, 70
oakpal;EmbeddedPackageInstallableTest;C:\Users\cebec\.jnose_projects\oakpal\api\src\test\java\net\adamcin\oakpal\api\EmbeddedPackageInstallableTest.java;C:\Users\cebec\.jnose_projects\oakpal\api\src\main\java\net\adamcin\oakpal\api\EmbeddedPackageInstallable.java;JUnit4;103;3;Eager Test;testHashCode;101, 75, 83, 88, 93, 98;101, 75, 83, 88, 93, 98
oakpal;FunTest;C:\Users\cebec\.jnose_projects\oakpal\api\src\test\java\net\adamcin\oakpal\api\FunTest.java;C:\Users\cebec\.jnose_projects\oakpal\core\src\main\java\net\adamcin\oakpal\core\Fun.java;JUnit4;1189;84;Unknown Test;testToVoid1;212-217;212-217
oakpal;FunTest;C:\Users\cebec\.jnose_projects\oakpal\api\src\test\java\net\adamcin\oakpal\api\FunTest.java;C:\Users\cebec\.jnose_projects\oakpal\core\src\main\java\net\adamcin\oakpal\core\Fun.java;JUnit4;1189;84;Unknown Test;testToVoid2;219-224;219-224
oakpal;FunTest;C:\Users\cebec\.jnose_projects\oakpal\api\src\test\java\net\adamcin\oakpal\api\FunTest.java;C:\Users\cebec\.jnose_projects\oakpal\core\src\main\java\net\adamcin\oakpal\core\Fun.java;JUnit4;1189;84;Magic Number Test;testComposeTest2BiFunction;207;207
oakpal;FunTest;C:\Users\cebec\.jnose_projects\oakpal\api\src\test\java\net\adamcin\oakpal\api\FunTest.java;C:\Users\cebec\.jnose_projects\oakpal\core\src\main\java\net\adamcin\oakpal\core\Fun.java;JUnit4;1189;84;Magic Number Test;testComposeTest2BiFunction;209;209
oakpal;FunTest;C:\Users\cebec\.jnose_projects\oakpal\api\src\test\java\net\adamcin\oakpal\api\FunTest.java;C:\Users\cebec\.jnose_projects\oakpal\core\src\main\java\net\adamcin\oakpal\core\Fun.java;JUnit4;1189;84;Magic Number Test;testThrowingVoidToNothing1;278;278
oakpal;FunTest;C:\Users\cebec\.jnose_projects\oakpal\api\src\test\java\net\adamcin\oakpal\api\FunTest.java;C:\Users\cebec\.jnose_projects\oakpal\core\src\main\java\net\adamcin\oakpal\core\Fun.java;JUnit4;1189;84;Magic Number Test;testThrowingVoidToNothing1;279;279
oakpal;FunTest;C:\Users\cebec\.jnose_projects\oakpal\api\src\test\java\net\adamcin\oakpal\api\FunTest.java;C:\Users\cebec\.jnose_projects\oakpal\core\src\main\java\net\adamcin\oakpal\core\Fun.java;JUnit4;1189;84;Magic Number Test;testThrowingVoidToNothing2;293;293
oakpal;FunTest;C:\Users\cebec\.jnose_projects\oakpal\api\src\test\java\net\adamcin\oakpal\api\FunTest.java;C:\Users\cebec\.jnose_projects\oakpal\core\src\main\java\net\adamcin\oakpal\core\Fun.java;JUnit4;1189;84;Magic Number Test;testThrowingVoidToNothing2;294;294
oakpal;FunTest;C:\Users\cebec\.jnose_projects\oakpal\api\src\test\java\net\adamcin\oakpal\api\FunTest.java;C:\Users\cebec\.jnose_projects\oakpal\core\src\main\java\net\adamcin\oakpal\core\Fun.java;JUnit4;1189;84;Magic Number Test;testZipKeysWithValueFunc;316;316
oakpal;FunTest;C:\Users\cebec\.jnose_projects\oakpal\api\src\test\java\net\adamcin\oakpal\api\FunTest.java;C:\Users\cebec\.jnose_projects\oakpal\core\src\main\java\net\adamcin\oakpal\core\Fun.java;JUnit4;1189;84;Magic Number Test;testZipValuesWithKeyFunc;326;326
