projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
oauth;OAuthCredentialHasherTest;C:\Users\cebec\.jnose_projects\oauth\oauth-client-jaas\src\test\java\de\adorsys\oauth\client\OAuthCredentialHasherTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-client-jaas\src\main\java\de\adorsys\oauth\client\OAuthCredentialHasher.java;JUnit4;21;2;Lazy Test;testHashCredentialNull, testHashCredential;17, 11;17, 11
oauth;OAuthCredentialHasherTest;C:\Users\cebec\.jnose_projects\oauth\oauth-client-jaas\src\test\java\de\adorsys\oauth\client\OAuthCredentialHasherTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-client-jaas\src\main\java\de\adorsys\oauth\client\OAuthCredentialHasher.java;JUnit4;21;2;Assertion Roulette;testHashCredential;12-12;12-12
oauth;OAuthCredentialHasherTest;C:\Users\cebec\.jnose_projects\oauth\oauth-client-jaas\src\test\java\de\adorsys\oauth\client\OAuthCredentialHasherTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-client-jaas\src\main\java\de\adorsys\oauth\client\OAuthCredentialHasher.java;JUnit4;21;2;Assertion Roulette;testHashCredentialNull;18-18;18-18
oauth;UserInfoResolverTest;C:\Users\cebec\.jnose_projects\oauth\oauth-client-jaas\src\test\java\de\adorsys\oauth\client\protocol\UserInfoResolverTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-client-jaas\src\main\java\de\adorsys\oauth\client\protocol\UserInfoResolver.java;JUnit4;87;7;Unknown Test;from_withContextParameters;13-27;13-27
oauth;UserInfoResolverTest;C:\Users\cebec\.jnose_projects\oauth\oauth-client-jaas\src\test\java\de\adorsys\oauth\client\protocol\UserInfoResolverTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-client-jaas\src\main\java\de\adorsys\oauth\client\protocol\UserInfoResolver.java;JUnit4;87;7;Lazy Test;initialize_withRequiredProperties, initialize_withDefaultParametersAndEmptyParametersMap, initialize_withDefaultParameters, setUserInfoEndpoint_shouldFailWithNull, from_shouldFailWithoutEnpointParameter, from_withContextParameters;74, 67, 60, 48, 41, 25;74, 67, 60, 48, 41, 25
oauth;UserInfoResolverTest;C:\Users\cebec\.jnose_projects\oauth\oauth-client-jaas\src\test\java\de\adorsys\oauth\client\protocol\UserInfoResolverTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-client-jaas\src\main\java\de\adorsys\oauth\client\protocol\UserInfoResolver.java;JUnit4;87;7;Lazy Test;from_shouldFailWithoutEnpointParameter, from_withContextParameters;40, 24;40, 24
oauth;UserInfoResolverTest;C:\Users\cebec\.jnose_projects\oauth\oauth-client-jaas\src\test\java\de\adorsys\oauth\client\protocol\UserInfoResolverTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-client-jaas\src\main\java\de\adorsys\oauth\client\protocol\UserInfoResolver.java;JUnit4;87;7;Lazy Test;initialize_withRequiredProperties, initialize_withDefaultParametersAndEmptyParametersMap, initialize_withDefaultParameters, initialize_shouldFailWithoutEndpoint, from_shouldFailWithoutEnpointParameter, from_withContextParameters;84, 68, 61, 54, 42, 26;84, 68, 61, 54, 42, 26
oauth;UserInfoResolverTest;C:\Users\cebec\.jnose_projects\oauth\oauth-client-jaas\src\test\java\de\adorsys\oauth\client\protocol\UserInfoResolverTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-client-jaas\src\main\java\de\adorsys\oauth\client\protocol\UserInfoResolver.java;JUnit4;87;7;Eager Test;from_withContextParameters;24, 26;24, 26
oauth;UserInfoResolverTest;C:\Users\cebec\.jnose_projects\oauth\oauth-client-jaas\src\test\java\de\adorsys\oauth\client\protocol\UserInfoResolverTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-client-jaas\src\main\java\de\adorsys\oauth\client\protocol\UserInfoResolver.java;JUnit4;87;7;Eager Test;from_shouldFailWithoutEnpointParameter;40, 42;40, 42
oauth;EncryptedTokenSerializerTest;C:\Users\cebec\.jnose_projects\oauth\oauth-server\src\test\java\de\adorsys\oauth\server\EncryptedTokenSerializerTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-server\src\main\java\de\adorsys\oauth\server\EncryptedTokenSerializer.java;JUnit4;31;1;Assertion Roulette;testSerialite;25-25;25-25
oauth;EncryptedTokenSerializerTest;C:\Users\cebec\.jnose_projects\oauth\oauth-server\src\test\java\de\adorsys\oauth\server\EncryptedTokenSerializerTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-server\src\main\java\de\adorsys\oauth\server\EncryptedTokenSerializer.java;JUnit4;31;1;Print Statement;testSerialite;26;26
oauth;EncryptedTokenSerializerTest;C:\Users\cebec\.jnose_projects\oauth\oauth-server\src\test\java\de\adorsys\oauth\server\EncryptedTokenSerializerTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-server\src\main\java\de\adorsys\oauth\server\EncryptedTokenSerializer.java;JUnit4;31;1;Print Statement;testSerialite;27;27
oauth;RememberMeTokenUtilTest;C:\Users\cebec\.jnose_projects\oauth\oauth-server\src\test\java\de\adorsys\oauth\server\RememberMeTokenUtilTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-server\src\main\java\de\adorsys\oauth\server\RememberMeTokenUtil.java;JUnit4;43;4;Magic Number Test;testSerializeDeserialize;30;30
oauth;RememberMeTokenUtilTest;C:\Users\cebec\.jnose_projects\oauth\oauth-server\src\test\java\de\adorsys\oauth\server\RememberMeTokenUtilTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-server\src\main\java\de\adorsys\oauth\server\RememberMeTokenUtil.java;JUnit4;43;4;Lazy Test;testGetLoginSession, testSerializeDeserialize;36, 28;36, 28
oauth;RememberMeTokenUtilTest;C:\Users\cebec\.jnose_projects\oauth\oauth-server\src\test\java\de\adorsys\oauth\server\RememberMeTokenUtilTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-server\src\main\java\de\adorsys\oauth\server\RememberMeTokenUtil.java;JUnit4;43;4;Assertion Roulette;testSerializeDeserialize;30-30;30-30
oauth;RememberMeTokenUtilTest;C:\Users\cebec\.jnose_projects\oauth\oauth-server\src\test\java\de\adorsys\oauth\server\RememberMeTokenUtilTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-server\src\main\java\de\adorsys\oauth\server\RememberMeTokenUtil.java;JUnit4;43;4;Assertion Roulette;testGetLoginSession;38-38;38-38
oauth;TokenDocumentTest;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\test\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocumentTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\main\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocument.java;JUnit4;82;4;Magic Number Test;testAsDocumentAuthToken;38;38
oauth;TokenDocumentTest;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\test\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocumentTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\main\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocument.java;JUnit4;82;4;Assertion Roulette;testAsDocumentAuthToken;32-32;32-32
oauth;TokenDocumentTest;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\test\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocumentTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\main\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocument.java;JUnit4;82;4;Assertion Roulette;testAsDocumentAuthToken;33-33;33-33
oauth;TokenDocumentTest;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\test\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocumentTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\main\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocument.java;JUnit4;82;4;Assertion Roulette;testAsDocumentAuthToken;34-34;34-34
oauth;TokenDocumentTest;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\test\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocumentTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\main\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocument.java;JUnit4;82;4;Assertion Roulette;testAsDocumentAuthToken;35-35;35-35
oauth;TokenDocumentTest;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\test\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocumentTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\main\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocument.java;JUnit4;82;4;Assertion Roulette;testAsDocumentAuthToken;36-36;36-36
oauth;TokenDocumentTest;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\test\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocumentTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\main\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocument.java;JUnit4;82;4;Assertion Roulette;testAsDocumentAuthToken;37-37;37-37
oauth;TokenDocumentTest;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\test\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocumentTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\main\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocument.java;JUnit4;82;4;Assertion Roulette;testAsDocumentAuthToken;38-38;38-38
oauth;TokenDocumentTest;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\test\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocumentTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\main\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocument.java;JUnit4;82;4;Assertion Roulette;testAsDocumentAuthToken;39-39;39-39
oauth;TokenDocumentTest;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\test\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocumentTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\main\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocument.java;JUnit4;82;4;Assertion Roulette;testAsDocumentRefreshToken;52-52;52-52
oauth;TokenDocumentTest;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\test\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocumentTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\main\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocument.java;JUnit4;82;4;Assertion Roulette;testAsDocumentRefreshToken;53-53;53-53
oauth;TokenDocumentTest;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\test\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocumentTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\main\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocument.java;JUnit4;82;4;Assertion Roulette;testAsDocumentRefreshToken;54-54;54-54
oauth;TokenDocumentTest;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\test\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocumentTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\main\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocument.java;JUnit4;82;4;Assertion Roulette;testAsDocumentRefreshToken;55-55;55-55
oauth;TokenDocumentTest;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\test\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocumentTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\main\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocument.java;JUnit4;82;4;Assertion Roulette;testAsDocumentRefreshToken;56-56;56-56
oauth;TokenDocumentTest;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\test\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocumentTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\main\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocument.java;JUnit4;82;4;Assertion Roulette;testAsDocumentRefreshToken;57-57;57-57
oauth;TokenDocumentTest;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\test\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocumentTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\main\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocument.java;JUnit4;82;4;Assertion Roulette;testAsDocumentRefreshToken;58-58;58-58
oauth;TokenDocumentTest;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\test\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocumentTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\main\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocument.java;JUnit4;82;4;Assertion Roulette;testFromAuthToken;65-65;65-65
oauth;TokenDocumentTest;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\test\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocumentTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\main\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocument.java;JUnit4;82;4;Assertion Roulette;testFromAuthToken;67-67;67-67
oauth;TokenDocumentTest;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\test\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocumentTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\main\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocument.java;JUnit4;82;4;Assertion Roulette;testFromAuthToken;68-68;68-68
oauth;TokenDocumentTest;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\test\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocumentTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\main\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocument.java;JUnit4;82;4;Assertion Roulette;testFromAuthToken;69-69;69-69
oauth;TokenDocumentTest;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\test\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocumentTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\main\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocument.java;JUnit4;82;4;Assertion Roulette;testFromAuthToken;70-70;70-70
oauth;TokenDocumentTest;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\test\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocumentTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\main\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocument.java;JUnit4;82;4;Assertion Roulette;testFromRefreshToken;77-77;77-77
oauth;TokenDocumentTest;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\test\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocumentTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\main\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocument.java;JUnit4;82;4;Assertion Roulette;testFromRefreshToken;78-78;78-78
oauth;TokenDocumentTest;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\test\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocumentTest.java;C:\Users\cebec\.jnose_projects\oauth\oauth-tokenstore-mongodb\src\main\java\de\adorsys\oauth\tokenstore\mongodb\TokenDocument.java;JUnit4;82;4;Assertion Roulette;testFromRefreshToken;79-79;79-79
