projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
openssp;BidRequestBuilderTest;C:\Users\cebec\.jnose_projects\openssp\open-ssp-parent\core\src\test\java\request\BidRequestBuilderTest.java;C:\Users\cebec\.jnose_projects\openssp\open-ssp-parent\core\src\main\java\com\atg\openssp\core\exchange\BidRequestBuilder.java;JUnit4;105;7;Magic Number Test;testBidRequest;56;56
openssp;BidRequestBuilderTest;C:\Users\cebec\.jnose_projects\openssp\open-ssp-parent\core\src\test\java\request\BidRequestBuilderTest.java;C:\Users\cebec\.jnose_projects\openssp\open-ssp-parent\core\src\main\java\com\atg\openssp\core\exchange\BidRequestBuilder.java;JUnit4;105;7;Magic Number Test;testBidRequest;57;57
openssp;BidRequestBuilderTest;C:\Users\cebec\.jnose_projects\openssp\open-ssp-parent\core\src\test\java\request\BidRequestBuilderTest.java;C:\Users\cebec\.jnose_projects\openssp\open-ssp-parent\core\src\main\java\com\atg\openssp\core\exchange\BidRequestBuilder.java;JUnit4;105;7;Magic Number Test;testBidRequest;58;58
openssp;BidRequestBuilderTest;C:\Users\cebec\.jnose_projects\openssp\open-ssp-parent\core\src\test\java\request\BidRequestBuilderTest.java;C:\Users\cebec\.jnose_projects\openssp\open-ssp-parent\core\src\main\java\com\atg\openssp\core\exchange\BidRequestBuilder.java;JUnit4;105;7;Magic Number Test;testBidRequest;66;66
openssp;BidRequestBuilderTest;C:\Users\cebec\.jnose_projects\openssp\open-ssp-parent\core\src\test\java\request\BidRequestBuilderTest.java;C:\Users\cebec\.jnose_projects\openssp\open-ssp-parent\core\src\main\java\com\atg\openssp\core\exchange\BidRequestBuilder.java;JUnit4;105;7;Magic Number Test;testBidRequest;67;67
openssp;BidRequestBuilderTest;C:\Users\cebec\.jnose_projects\openssp\open-ssp-parent\core\src\test\java\request\BidRequestBuilderTest.java;C:\Users\cebec\.jnose_projects\openssp\open-ssp-parent\core\src\main\java\com\atg\openssp\core\exchange\BidRequestBuilder.java;JUnit4;105;7;Magic Number Test;testBidRequest;71;71
openssp;BidRequestBuilderTest;C:\Users\cebec\.jnose_projects\openssp\open-ssp-parent\core\src\test\java\request\BidRequestBuilderTest.java;C:\Users\cebec\.jnose_projects\openssp\open-ssp-parent\core\src\main\java\com\atg\openssp\core\exchange\BidRequestBuilder.java;JUnit4;105;7;Magic Number Test;testBidRequest;72;72
openssp;BidRequestBuilderTest;C:\Users\cebec\.jnose_projects\openssp\open-ssp-parent\core\src\test\java\request\BidRequestBuilderTest.java;C:\Users\cebec\.jnose_projects\openssp\open-ssp-parent\core\src\main\java\com\atg\openssp\core\exchange\BidRequestBuilder.java;JUnit4;105;7;Magic Number Test;testBidRequest;75;75
openssp;BidRequestBuilderTest;C:\Users\cebec\.jnose_projects\openssp\open-ssp-parent\core\src\test\java\request\BidRequestBuilderTest.java;C:\Users\cebec\.jnose_projects\openssp\open-ssp-parent\core\src\main\java\com\atg\openssp\core\exchange\BidRequestBuilder.java;JUnit4;105;7;Magic Number Test;testBidRequest;76;76
openssp;BidRequestBuilderTest;C:\Users\cebec\.jnose_projects\openssp\open-ssp-parent\core\src\test\java\request\BidRequestBuilderTest.java;C:\Users\cebec\.jnose_projects\openssp\open-ssp-parent\core\src\main\java\com\atg\openssp\core\exchange\BidRequestBuilder.java;JUnit4;105;7;Magic Number Test;testBidRequest;77;77
