projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
perceptor;InvocationMonitoringTest;C:\Users\cebec\.jnose_projects\perceptor\perceptor\src\test\java\com\airhacks\interceptor\monitoring\control\InvocationMonitoringTest.java;C:\Users\cebec\.jnose_projects\perceptor\perceptor\src\main\java\com\airhacks\interceptor\monitoring\control\InvocationMonitoring.java;JUnit4;112;6;Magic Number Test;exceptional;85;85
perceptor;InvocationMonitoringTest;C:\Users\cebec\.jnose_projects\perceptor\perceptor\src\test\java\com\airhacks\interceptor\monitoring\control\InvocationMonitoringTest.java;C:\Users\cebec\.jnose_projects\perceptor\perceptor\src\main\java\com\airhacks\interceptor\monitoring\control\InvocationMonitoring.java;JUnit4;112;6;Magic Number Test;reset;106;106
perceptor;InvocationMonitoringTest;C:\Users\cebec\.jnose_projects\perceptor\perceptor\src\test\java\com\airhacks\interceptor\monitoring\control\InvocationMonitoringTest.java;C:\Users\cebec\.jnose_projects\perceptor\perceptor\src\main\java\com\airhacks\interceptor\monitoring\control\InvocationMonitoring.java;JUnit4;112;6;Assertion Roulette;lastCreatedComesFirst;57-57;57-57
perceptor;InvocationMonitoringTest;C:\Users\cebec\.jnose_projects\perceptor\perceptor\src\test\java\com\airhacks\interceptor\monitoring\control\InvocationMonitoringTest.java;C:\Users\cebec\.jnose_projects\perceptor\perceptor\src\main\java\com\airhacks\interceptor\monitoring\control\InvocationMonitoring.java;JUnit4;112;6;Assertion Roulette;lastCreatedComesFirst;59-59;59-59
perceptor;InvocationMonitoringTest;C:\Users\cebec\.jnose_projects\perceptor\perceptor\src\test\java\com\airhacks\interceptor\monitoring\control\InvocationMonitoringTest.java;C:\Users\cebec\.jnose_projects\perceptor\perceptor\src\main\java\com\airhacks\interceptor\monitoring\control\InvocationMonitoring.java;JUnit4;112;6;Assertion Roulette;slowestComesFirst;71-71;71-71
perceptor;InvocationMonitoringTest;C:\Users\cebec\.jnose_projects\perceptor\perceptor\src\test\java\com\airhacks\interceptor\monitoring\control\InvocationMonitoringTest.java;C:\Users\cebec\.jnose_projects\perceptor\perceptor\src\main\java\com\airhacks\interceptor\monitoring\control\InvocationMonitoring.java;JUnit4;112;6;Assertion Roulette;slowestComesFirst;73-73;73-73
perceptor;InvocationMonitoringTest;C:\Users\cebec\.jnose_projects\perceptor\perceptor\src\test\java\com\airhacks\interceptor\monitoring\control\InvocationMonitoringTest.java;C:\Users\cebec\.jnose_projects\perceptor\perceptor\src\main\java\com\airhacks\interceptor\monitoring\control\InvocationMonitoring.java;JUnit4;112;6;Assertion Roulette;exceptional;85-85;85-85
perceptor;InvocationMonitoringTest;C:\Users\cebec\.jnose_projects\perceptor\perceptor\src\test\java\com\airhacks\interceptor\monitoring\control\InvocationMonitoringTest.java;C:\Users\cebec\.jnose_projects\perceptor\perceptor\src\main\java\com\airhacks\interceptor\monitoring\control\InvocationMonitoring.java;JUnit4;112;6;Assertion Roulette;exceptional;90-90;90-90
perceptor;InvocationMonitoringTest;C:\Users\cebec\.jnose_projects\perceptor\perceptor\src\test\java\com\airhacks\interceptor\monitoring\control\InvocationMonitoringTest.java;C:\Users\cebec\.jnose_projects\perceptor\perceptor\src\main\java\com\airhacks\interceptor\monitoring\control\InvocationMonitoring.java;JUnit4;112;6;Assertion Roulette;exceptional;96-96;96-96
perceptor;InvocationMonitoringTest;C:\Users\cebec\.jnose_projects\perceptor\perceptor\src\test\java\com\airhacks\interceptor\monitoring\control\InvocationMonitoringTest.java;C:\Users\cebec\.jnose_projects\perceptor\perceptor\src\main\java\com\airhacks\interceptor\monitoring\control\InvocationMonitoring.java;JUnit4;112;6;Assertion Roulette;reset;106-106;106-106
perceptor;InvocationMonitoringTest;C:\Users\cebec\.jnose_projects\perceptor\perceptor\src\test\java\com\airhacks\interceptor\monitoring\control\InvocationMonitoringTest.java;C:\Users\cebec\.jnose_projects\perceptor\perceptor\src\main\java\com\airhacks\interceptor\monitoring\control\InvocationMonitoring.java;JUnit4;112;6;Assertion Roulette;reset;109-109;109-109
