projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
phoebe;StartupCommandTest;C:\Users\cebec\.jnose_projects\phoebe\phoebe-client\src\test\java\com\eightkdata\phoebe\client\api\StartupCommandTest.java;C:\Users\cebec\.jnose_projects\phoebe\phoebe-client\src\main\java\com\eightkdata\phoebe\client\api\StartupCommand.java;JUnit4;42;1;Magic Number Test;testNothingInParticular;39;39
phoebe;StartupCommandTest;C:\Users\cebec\.jnose_projects\phoebe\phoebe-client\src\test\java\com\eightkdata\phoebe\client\api\StartupCommandTest.java;C:\Users\cebec\.jnose_projects\phoebe\phoebe-client\src\main\java\com\eightkdata\phoebe\client\api\StartupCommand.java;JUnit4;42;1;Assertion Roulette;testNothingInParticular;39-39;39-39
phoebe;HeaderOnlyMessagesTest;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\test\java\com\eightkdata\phoebe\common\messages\HeaderOnlyMessagesTest.java;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\main\java\com\eightkdata\phoebe\common\message\HeaderOnlyMessages.java;JUnit4;57;2;Conditional Test Logic;everyInstanceIsHeaderOnlyMessage;37-42;37-42
phoebe;HeaderOnlyMessagesTest;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\test\java\com\eightkdata\phoebe\common\messages\HeaderOnlyMessagesTest.java;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\main\java\com\eightkdata\phoebe\common\message\HeaderOnlyMessages.java;JUnit4;57;2;Conditional Test Logic;allHeaderOnlyMessagesArePresent;48-54;48-54
phoebe;HeaderOnlyMessagesTest;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\test\java\com\eightkdata\phoebe\common\messages\HeaderOnlyMessagesTest.java;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\main\java\com\eightkdata\phoebe\common\message\HeaderOnlyMessages.java;JUnit4;57;2;Conditional Test Logic;allHeaderOnlyMessagesArePresent;47-55;47-55
phoebe;EitherTest;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\test\java\com\eightkdata\phoebe\common\util\EitherTest.java;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\main\java\com\eightkdata\phoebe\common\util\Either.java;JUnit4;78;6;Magic Number Test;leftReturnsCorrectValue;38;38
phoebe;EitherTest;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\test\java\com\eightkdata\phoebe\common\util\EitherTest.java;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\main\java\com\eightkdata\phoebe\common\util\Either.java;JUnit4;78;6;Lazy Test;hashCodeDoesNotCollide, equalBehavesAsExpected, leftValueCannotBeNull, leftReturnsCorrectValue;76, 66, 65, 55, 37;76, 66, 65, 55, 37
phoebe;EitherTest;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\test\java\com\eightkdata\phoebe\common\util\EitherTest.java;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\main\java\com\eightkdata\phoebe\common\util\Either.java;JUnit4;78;6;Lazy Test;hashCodeDoesNotCollide, equalBehavesAsExpected, rightValueCannotBeNull, rightReturnsCorrectValue;76, 68, 67, 60, 46;76, 68, 67, 60, 46
phoebe;EitherTest;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\test\java\com\eightkdata\phoebe\common\util\EitherTest.java;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\main\java\com\eightkdata\phoebe\common\util\Either.java;JUnit4;78;6;Assertion Roulette;leftReturnsCorrectValue;38-38;38-38
phoebe;EitherTest;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\test\java\com\eightkdata\phoebe\common\util\EitherTest.java;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\main\java\com\eightkdata\phoebe\common\util\Either.java;JUnit4;78;6;Assertion Roulette;leftReturnsCorrectValue;39-39;39-39
phoebe;EitherTest;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\test\java\com\eightkdata\phoebe\common\util\EitherTest.java;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\main\java\com\eightkdata\phoebe\common\util\Either.java;JUnit4;78;6;Assertion Roulette;leftReturnsCorrectValue;40-40;40-40
phoebe;EitherTest;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\test\java\com\eightkdata\phoebe\common\util\EitherTest.java;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\main\java\com\eightkdata\phoebe\common\util\Either.java;JUnit4;78;6;Assertion Roulette;leftReturnsCorrectValue;41-41;41-41
phoebe;EitherTest;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\test\java\com\eightkdata\phoebe\common\util\EitherTest.java;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\main\java\com\eightkdata\phoebe\common\util\Either.java;JUnit4;78;6;Assertion Roulette;rightReturnsCorrectValue;47-47;47-47
phoebe;EitherTest;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\test\java\com\eightkdata\phoebe\common\util\EitherTest.java;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\main\java\com\eightkdata\phoebe\common\util\Either.java;JUnit4;78;6;Assertion Roulette;rightReturnsCorrectValue;48-48;48-48
phoebe;EitherTest;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\test\java\com\eightkdata\phoebe\common\util\EitherTest.java;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\main\java\com\eightkdata\phoebe\common\util\Either.java;JUnit4;78;6;Assertion Roulette;rightReturnsCorrectValue;49-49;49-49
phoebe;EitherTest;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\test\java\com\eightkdata\phoebe\common\util\EitherTest.java;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\main\java\com\eightkdata\phoebe\common\util\Either.java;JUnit4;78;6;Assertion Roulette;rightReturnsCorrectValue;50-50;50-50
phoebe;EitherTest;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\test\java\com\eightkdata\phoebe\common\util\EitherTest.java;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\main\java\com\eightkdata\phoebe\common\util\Either.java;JUnit4;78;6;Assertion Roulette;equalBehavesAsExpected;70-70;70-70
phoebe;EitherTest;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\test\java\com\eightkdata\phoebe\common\util\EitherTest.java;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\main\java\com\eightkdata\phoebe\common\util\Either.java;JUnit4;78;6;Assertion Roulette;equalBehavesAsExpected;71-71;71-71
phoebe;EitherTest;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\test\java\com\eightkdata\phoebe\common\util\EitherTest.java;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\main\java\com\eightkdata\phoebe\common\util\Either.java;JUnit4;78;6;Assertion Roulette;hashCodeDoesNotCollide;76-76;76-76
phoebe;TryTest;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\test\java\com\eightkdata\phoebe\common\util\TryTest.java;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\main\java\com\eightkdata\phoebe\common\util\Try.java;JUnit4;77;7;Magic Number Test;leftReturnsCorrectValue;41;41
phoebe;TryTest;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\test\java\com\eightkdata\phoebe\common\util\TryTest.java;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\main\java\com\eightkdata\phoebe\common\util\Try.java;JUnit4;77;7;Lazy Test;hashCodeDoesNotCollide, equalBehavesAsExpected, leftValueCannotBeNull, leftReturnsCorrectValue;75, 68, 58, 40;75, 68, 58, 40
phoebe;TryTest;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\test\java\com\eightkdata\phoebe\common\util\TryTest.java;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\main\java\com\eightkdata\phoebe\common\util\Try.java;JUnit4;77;7;Lazy Test;hashCodeDoesNotCollide, equalBehavesAsExpected, rightValueCannotBeNull, rightReturnsCorrectValue;75, 69, 63, 49;75, 69, 63, 49
phoebe;TryTest;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\test\java\com\eightkdata\phoebe\common\util\TryTest.java;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\main\java\com\eightkdata\phoebe\common\util\Try.java;JUnit4;77;7;Assertion Roulette;leftReturnsCorrectValue;41-41;41-41
phoebe;TryTest;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\test\java\com\eightkdata\phoebe\common\util\TryTest.java;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\main\java\com\eightkdata\phoebe\common\util\Try.java;JUnit4;77;7;Assertion Roulette;leftReturnsCorrectValue;42-42;42-42
phoebe;TryTest;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\test\java\com\eightkdata\phoebe\common\util\TryTest.java;C:\Users\cebec\.jnose_projects\phoebe\phoebe-common\src\main\java\com\eightkdata\phoebe\common\util\Try.java;JUnit4;77;7;Assertion Roulette;leftReturnsCorrectValue;43-43;43-43
