projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
photon-core;PhotoResourceTest;C:\Users\cebec\.jnose_projects\photon-core\src\test\java\com\thousandmemories\photon\core\PhotoResourceTest.java;C:\Users\cebec\.jnose_projects\photon-core\src\main\java\com\thousandmemories\photon\core\PhotoResource.java;JUnit4;122;11;Magic Number Test;test404;60;60
photon-core;PhotoResourceTest;C:\Users\cebec\.jnose_projects\photon-core\src\test\java\com\thousandmemories\photon\core\PhotoResourceTest.java;C:\Users\cebec\.jnose_projects\photon-core\src\main\java\com\thousandmemories\photon\core\PhotoResource.java;JUnit4;122;11;Magic Number Test;testFitWidth;70;70
photon-core;PhotoResourceTest;C:\Users\cebec\.jnose_projects\photon-core\src\test\java\com\thousandmemories\photon\core\PhotoResourceTest.java;C:\Users\cebec\.jnose_projects\photon-core\src\main\java\com\thousandmemories\photon\core\PhotoResource.java;JUnit4;122;11;Magic Number Test;testPNG;111;111
photon-core;PhotoResourceTest;C:\Users\cebec\.jnose_projects\photon-core\src\test\java\com\thousandmemories\photon\core\PhotoResourceTest.java;C:\Users\cebec\.jnose_projects\photon-core\src\main\java\com\thousandmemories\photon\core\PhotoResource.java;JUnit4;122;11;Magic Number Test;testUnsupportedType;119;119
photon-core;PhotoResourceTest;C:\Users\cebec\.jnose_projects\photon-core\src\test\java\com\thousandmemories\photon\core\PhotoResourceTest.java;C:\Users\cebec\.jnose_projects\photon-core\src\main\java\com\thousandmemories\photon\core\PhotoResource.java;JUnit4;122;11;Sensitive Equality;testNoModifications;52-52;52-52
photon-core;PhotoResourceTest;C:\Users\cebec\.jnose_projects\photon-core\src\test\java\com\thousandmemories\photon\core\PhotoResourceTest.java;C:\Users\cebec\.jnose_projects\photon-core\src\main\java\com\thousandmemories\photon\core\PhotoResource.java;JUnit4;122;11;Sensitive Equality;testFitWidth;68-68;68-68
photon-core;PhotoResourceTest;C:\Users\cebec\.jnose_projects\photon-core\src\test\java\com\thousandmemories\photon\core\PhotoResourceTest.java;C:\Users\cebec\.jnose_projects\photon-core\src\main\java\com\thousandmemories\photon\core\PhotoResource.java;JUnit4;122;11;Sensitive Equality;testRotate;82-82;82-82
photon-core;PhotoResourceTest;C:\Users\cebec\.jnose_projects\photon-core\src\test\java\com\thousandmemories\photon\core\PhotoResourceTest.java;C:\Users\cebec\.jnose_projects\photon-core\src\main\java\com\thousandmemories\photon\core\PhotoResource.java;JUnit4;122;11;Sensitive Equality;testCropping;98-98;98-98
photon-core;PhotoResourceTest;C:\Users\cebec\.jnose_projects\photon-core\src\test\java\com\thousandmemories\photon\core\PhotoResourceTest.java;C:\Users\cebec\.jnose_projects\photon-core\src\main\java\com\thousandmemories\photon\core\PhotoResource.java;JUnit4;122;11;Sensitive Equality;testPNG;109-109;109-109
photon-core;PhotoResourceTest;C:\Users\cebec\.jnose_projects\photon-core\src\test\java\com\thousandmemories\photon\core\PhotoResourceTest.java;C:\Users\cebec\.jnose_projects\photon-core\src\main\java\com\thousandmemories\photon\core\PhotoResource.java;JUnit4;122;11;Assertion Roulette;testNoModifications;51-51;51-51
photon-core;PhotoResourceTest;C:\Users\cebec\.jnose_projects\photon-core\src\test\java\com\thousandmemories\photon\core\PhotoResourceTest.java;C:\Users\cebec\.jnose_projects\photon-core\src\main\java\com\thousandmemories\photon\core\PhotoResource.java;JUnit4;122;11;Assertion Roulette;testNoModifications;52-52;52-52
photon-core;PhotoResourceTest;C:\Users\cebec\.jnose_projects\photon-core\src\test\java\com\thousandmemories\photon\core\PhotoResourceTest.java;C:\Users\cebec\.jnose_projects\photon-core\src\main\java\com\thousandmemories\photon\core\PhotoResource.java;JUnit4;122;11;Assertion Roulette;test404;60-60;60-60
photon-core;PhotoResourceTest;C:\Users\cebec\.jnose_projects\photon-core\src\test\java\com\thousandmemories\photon\core\PhotoResourceTest.java;C:\Users\cebec\.jnose_projects\photon-core\src\main\java\com\thousandmemories\photon\core\PhotoResource.java;JUnit4;122;11;Assertion Roulette;testFitWidth;68-68;68-68
photon-core;PhotoResourceTest;C:\Users\cebec\.jnose_projects\photon-core\src\test\java\com\thousandmemories\photon\core\PhotoResourceTest.java;C:\Users\cebec\.jnose_projects\photon-core\src\main\java\com\thousandmemories\photon\core\PhotoResource.java;JUnit4;122;11;Assertion Roulette;testFitWidth;70-70;70-70
photon-core;PhotoResourceTest;C:\Users\cebec\.jnose_projects\photon-core\src\test\java\com\thousandmemories\photon\core\PhotoResourceTest.java;C:\Users\cebec\.jnose_projects\photon-core\src\main\java\com\thousandmemories\photon\core\PhotoResource.java;JUnit4;122;11;Assertion Roulette;testRotate;82-82;82-82
photon-core;PhotoResourceTest;C:\Users\cebec\.jnose_projects\photon-core\src\test\java\com\thousandmemories\photon\core\PhotoResourceTest.java;C:\Users\cebec\.jnose_projects\photon-core\src\main\java\com\thousandmemories\photon\core\PhotoResource.java;JUnit4;122;11;Assertion Roulette;testRotate;84-84;84-84
photon-core;PhotoResourceTest;C:\Users\cebec\.jnose_projects\photon-core\src\test\java\com\thousandmemories\photon\core\PhotoResourceTest.java;C:\Users\cebec\.jnose_projects\photon-core\src\main\java\com\thousandmemories\photon\core\PhotoResource.java;JUnit4;122;11;Assertion Roulette;testRotate;85-85;85-85
photon-core;PhotoResourceTest;C:\Users\cebec\.jnose_projects\photon-core\src\test\java\com\thousandmemories\photon\core\PhotoResourceTest.java;C:\Users\cebec\.jnose_projects\photon-core\src\main\java\com\thousandmemories\photon\core\PhotoResource.java;JUnit4;122;11;Assertion Roulette;testCropping;98-98;98-98
photon-core;PhotoResourceTest;C:\Users\cebec\.jnose_projects\photon-core\src\test\java\com\thousandmemories\photon\core\PhotoResourceTest.java;C:\Users\cebec\.jnose_projects\photon-core\src\main\java\com\thousandmemories\photon\core\PhotoResource.java;JUnit4;122;11;Assertion Roulette;testCropping;100-100;100-100
photon-core;PhotoResourceTest;C:\Users\cebec\.jnose_projects\photon-core\src\test\java\com\thousandmemories\photon\core\PhotoResourceTest.java;C:\Users\cebec\.jnose_projects\photon-core\src\main\java\com\thousandmemories\photon\core\PhotoResource.java;JUnit4;122;11;Assertion Roulette;testCropping;101-101;101-101
photon-core;PhotoResourceTest;C:\Users\cebec\.jnose_projects\photon-core\src\test\java\com\thousandmemories\photon\core\PhotoResourceTest.java;C:\Users\cebec\.jnose_projects\photon-core\src\main\java\com\thousandmemories\photon\core\PhotoResource.java;JUnit4;122;11;Assertion Roulette;testPNG;109-109;109-109
