projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
pkts;AbstractBufferTest;C:\Users\cebec\.jnose_projects\pkts\pkts-buffers\src\test\java\io\pkts\buffer\AbstractBufferTest.java;C:\Users\cebec\.jnose_projects\pkts\pkts-buffers\src\main\java\io\pkts\buffer\AbstractBuffer.java;JUnit4;533;20;Magic Number Test;testIndexOf;154;154
pkts;AbstractBufferTest;C:\Users\cebec\.jnose_projects\pkts\pkts-buffers\src\test\java\io\pkts\buffer\AbstractBufferTest.java;C:\Users\cebec\.jnose_projects\pkts\pkts-buffers\src\main\java\io\pkts\buffer\AbstractBuffer.java;JUnit4;533;20;Magic Number Test;testIndexOf;155;155
pkts;AbstractBufferTest;C:\Users\cebec\.jnose_projects\pkts\pkts-buffers\src\test\java\io\pkts\buffer\AbstractBufferTest.java;C:\Users\cebec\.jnose_projects\pkts\pkts-buffers\src\main\java\io\pkts\buffer\AbstractBuffer.java;JUnit4;533;20;Magic Number Test;testIndexOf;156;156
pkts;AbstractBufferTest;C:\Users\cebec\.jnose_projects\pkts\pkts-buffers\src\test\java\io\pkts\buffer\AbstractBufferTest.java;C:\Users\cebec\.jnose_projects\pkts\pkts-buffers\src\main\java\io\pkts\buffer\AbstractBuffer.java;JUnit4;533;20;Magic Number Test;testIndexOf;157;157
pkts;AbstractBufferTest;C:\Users\cebec\.jnose_projects\pkts\pkts-buffers\src\test\java\io\pkts\buffer\AbstractBufferTest.java;C:\Users\cebec\.jnose_projects\pkts\pkts-buffers\src\main\java\io\pkts\buffer\AbstractBuffer.java;JUnit4;533;20;Magic Number Test;testIndexOf;158;158
pkts;AbstractBufferTest;C:\Users\cebec\.jnose_projects\pkts\pkts-buffers\src\test\java\io\pkts\buffer\AbstractBufferTest.java;C:\Users\cebec\.jnose_projects\pkts\pkts-buffers\src\main\java\io\pkts\buffer\AbstractBuffer.java;JUnit4;533;20;Magic Number Test;testIndexOf;159;159
pkts;AbstractBufferTest;C:\Users\cebec\.jnose_projects\pkts\pkts-buffers\src\test\java\io\pkts\buffer\AbstractBufferTest.java;C:\Users\cebec\.jnose_projects\pkts\pkts-buffers\src\main\java\io\pkts\buffer\AbstractBuffer.java;JUnit4;533;20;Magic Number Test;testIndexOf;160;160
pkts;AbstractBufferTest;C:\Users\cebec\.jnose_projects\pkts\pkts-buffers\src\test\java\io\pkts\buffer\AbstractBufferTest.java;C:\Users\cebec\.jnose_projects\pkts\pkts-buffers\src\main\java\io\pkts\buffer\AbstractBuffer.java;JUnit4;533;20;Magic Number Test;testIndexOf;169;169
pkts;AbstractBufferTest;C:\Users\cebec\.jnose_projects\pkts\pkts-buffers\src\test\java\io\pkts\buffer\AbstractBufferTest.java;C:\Users\cebec\.jnose_projects\pkts\pkts-buffers\src\main\java\io\pkts\buffer\AbstractBuffer.java;JUnit4;533;20;Magic Number Test;testIndexOf;173;173
pkts;AbstractBufferTest;C:\Users\cebec\.jnose_projects\pkts\pkts-buffers\src\test\java\io\pkts\buffer\AbstractBufferTest.java;C:\Users\cebec\.jnose_projects\pkts\pkts-buffers\src\main\java\io\pkts\buffer\AbstractBuffer.java;JUnit4;533;20;Magic Number Test;testRead;283;283
