projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
plog;MultipartMessageTest;C:\Users\cebec\.jnose_projects\plog\plog-client\src\test\groovy\com\airbnb\plog\client\MultipartMessageTest.java;C:\Users\cebec\.jnose_projects\plog\plog-client\src\main\java\com\airbnb\plog\client\MultipartMessage.java;JUnit4;21;1;Assertion Roulette;testEncode;19-19;19-19
plog;PlogClientTest;C:\Users\cebec\.jnose_projects\plog\plog-client\src\test\groovy\com\airbnb\plog\client\PlogClientTest.java;C:\Users\cebec\.jnose_projects\plog\plog-client\src\main\java\com\airbnb\plog\client\PlogClient.java;JUnit4;36;2;Magic Number Test;testChunkMessage_NoSplit;22;22
plog;PlogClientTest;C:\Users\cebec\.jnose_projects\plog\plog-client\src\test\groovy\com\airbnb\plog\client\PlogClientTest.java;C:\Users\cebec\.jnose_projects\plog\plog-client\src\main\java\com\airbnb\plog\client\PlogClient.java;JUnit4;36;2;Magic Number Test;testChunkMessage_NoSplit;23;23
plog;PlogClientTest;C:\Users\cebec\.jnose_projects\plog\plog-client\src\test\groovy\com\airbnb\plog\client\PlogClientTest.java;C:\Users\cebec\.jnose_projects\plog\plog-client\src\main\java\com\airbnb\plog\client\PlogClient.java;JUnit4;36;2;Magic Number Test;testChunkMessage_UnevenSplit;32;32
plog;PlogClientTest;C:\Users\cebec\.jnose_projects\plog\plog-client\src\test\groovy\com\airbnb\plog\client\PlogClientTest.java;C:\Users\cebec\.jnose_projects\plog\plog-client\src\main\java\com\airbnb\plog\client\PlogClient.java;JUnit4;36;2;Magic Number Test;testChunkMessage_UnevenSplit;33;33
plog;PlogClientTest;C:\Users\cebec\.jnose_projects\plog\plog-client\src\test\groovy\com\airbnb\plog\client\PlogClientTest.java;C:\Users\cebec\.jnose_projects\plog\plog-client\src\main\java\com\airbnb\plog\client\PlogClient.java;JUnit4;36;2;Magic Number Test;testChunkMessage_UnevenSplit;34;34
plog;PlogClientTest;C:\Users\cebec\.jnose_projects\plog\plog-client\src\test\groovy\com\airbnb\plog\client\PlogClientTest.java;C:\Users\cebec\.jnose_projects\plog\plog-client\src\main\java\com\airbnb\plog\client\PlogClient.java;JUnit4;36;2;Lazy Test;testChunkMessage_UnevenSplit, testChunkMessage_NoSplit;30, 20;30, 20
plog;PlogClientTest;C:\Users\cebec\.jnose_projects\plog\plog-client\src\test\groovy\com\airbnb\plog\client\PlogClientTest.java;C:\Users\cebec\.jnose_projects\plog\plog-client\src\main\java\com\airbnb\plog\client\PlogClient.java;JUnit4;36;2;Assertion Roulette;testChunkMessage_NoSplit;22-22;22-22
plog;PlogClientTest;C:\Users\cebec\.jnose_projects\plog\plog-client\src\test\groovy\com\airbnb\plog\client\PlogClientTest.java;C:\Users\cebec\.jnose_projects\plog\plog-client\src\main\java\com\airbnb\plog\client\PlogClient.java;JUnit4;36;2;Assertion Roulette;testChunkMessage_NoSplit;23-23;23-23
plog;PlogClientTest;C:\Users\cebec\.jnose_projects\plog\plog-client\src\test\groovy\com\airbnb\plog\client\PlogClientTest.java;C:\Users\cebec\.jnose_projects\plog\plog-client\src\main\java\com\airbnb\plog\client\PlogClient.java;JUnit4;36;2;Assertion Roulette;testChunkMessage_UnevenSplit;32-32;32-32
plog;PlogClientTest;C:\Users\cebec\.jnose_projects\plog\plog-client\src\test\groovy\com\airbnb\plog\client\PlogClientTest.java;C:\Users\cebec\.jnose_projects\plog\plog-client\src\main\java\com\airbnb\plog\client\PlogClient.java;JUnit4;36;2;Assertion Roulette;testChunkMessage_UnevenSplit;33-33;33-33
plog;PlogClientTest;C:\Users\cebec\.jnose_projects\plog\plog-client\src\test\groovy\com\airbnb\plog\client\PlogClientTest.java;C:\Users\cebec\.jnose_projects\plog\plog-client\src\main\java\com\airbnb\plog\client\PlogClient.java;JUnit4;36;2;Assertion Roulette;testChunkMessage_UnevenSplit;34-34;34-34
plog;FlinkPartitionerTest;C:\Users\cebec\.jnose_projects\plog\plog-kafka\src\test\java\com\airbnb\plog\kafka\partitioner\FlinkPartitionerTest.java;C:\Users\cebec\.jnose_projects\plog\plog-kafka\src\main\java\com\airbnb\plog\kafka\partitioner\FlinkPartitioner.java;JUnit4;29;1;Assertion Roulette;computePartition;26-26;26-26
plog;FlinkPartitionerTest;C:\Users\cebec\.jnose_projects\plog\plog-kafka\src\test\java\com\airbnb\plog\kafka\partitioner\FlinkPartitionerTest.java;C:\Users\cebec\.jnose_projects\plog\plog-kafka\src\main\java\com\airbnb\plog\kafka\partitioner\FlinkPartitioner.java;JUnit4;29;1;Conditional Test Logic;computePartition;20-27;20-27
