projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
porcupine;CustomThreadFactoryExposerTest;C:\Users\cebec\.jnose_projects\porcupine\porcupine\src\test\java\com\airhacks\porcupine\execution\boundary\CustomThreadFactoryExposerTest.java;C:\Users\cebec\.jnose_projects\porcupine\porcupine\src\test\java\com\airhacks\porcupine\execution\boundary\CustomThreadFactoryExposer.java;JUnit4;56;3;Assertion Roulette;customThreadInjected;53-53;53-53
porcupine;ExecutorServiceExposerTest;C:\Users\cebec\.jnose_projects\porcupine\porcupine\src\test\java\com\airhacks\porcupine\execution\boundary\ExecutorServiceExposerTest.java;C:\Users\cebec\.jnose_projects\porcupine\porcupine\src\main\java\com\airhacks\porcupine\execution\boundary\ExecutorServiceExposer.java;JUnit4;168;13;Magic Number Test;numberOfPipelines;90;90
porcupine;ExecutorServiceExposerTest;C:\Users\cebec\.jnose_projects\porcupine\porcupine\src\test\java\com\airhacks\porcupine\execution\boundary\ExecutorServiceExposerTest.java;C:\Users\cebec\.jnose_projects\porcupine\porcupine\src\main\java\com\airhacks\porcupine\execution\boundary\ExecutorServiceExposer.java;JUnit4;168;13;Magic Number Test;numberOfStatistics;99;99
porcupine;ExecutorServiceExposerTest;C:\Users\cebec\.jnose_projects\porcupine\porcupine\src\test\java\com\airhacks\porcupine\execution\boundary\ExecutorServiceExposerTest.java;C:\Users\cebec\.jnose_projects\porcupine\porcupine\src\main\java\com\airhacks\porcupine\execution\boundary\ExecutorServiceExposer.java;JUnit4;168;13;Magic Number Test;allStatistics;150;150
porcupine;ExecutorServiceExposerTest;C:\Users\cebec\.jnose_projects\porcupine\porcupine\src\test\java\com\airhacks\porcupine\execution\boundary\ExecutorServiceExposerTest.java;C:\Users\cebec\.jnose_projects\porcupine\porcupine\src\main\java\com\airhacks\porcupine\execution\boundary\ExecutorServiceExposer.java;JUnit4;168;13;Magic Number Test;allStatistics;151;151
porcupine;ExecutorServiceExposerTest;C:\Users\cebec\.jnose_projects\porcupine\porcupine\src\test\java\com\airhacks\porcupine\execution\boundary\ExecutorServiceExposerTest.java;C:\Users\cebec\.jnose_projects\porcupine\porcupine\src\main\java\com\airhacks\porcupine\execution\boundary\ExecutorServiceExposer.java;JUnit4;168;13;Magic Number Test;allStatistics;152;152
porcupine;ExecutorServiceExposerTest;C:\Users\cebec\.jnose_projects\porcupine\porcupine\src\test\java\com\airhacks\porcupine\execution\boundary\ExecutorServiceExposerTest.java;C:\Users\cebec\.jnose_projects\porcupine\porcupine\src\main\java\com\airhacks\porcupine\execution\boundary\ExecutorServiceExposer.java;JUnit4;168;13;Magic Number Test;allStatistics;153;153
porcupine;ExecutorServiceExposerTest;C:\Users\cebec\.jnose_projects\porcupine\porcupine\src\test\java\com\airhacks\porcupine\execution\boundary\ExecutorServiceExposerTest.java;C:\Users\cebec\.jnose_projects\porcupine\porcupine\src\main\java\com\airhacks\porcupine\execution\boundary\ExecutorServiceExposer.java;JUnit4;168;13;Magic Number Test;allStatistics;154;154
porcupine;ExecutorServiceExposerTest;C:\Users\cebec\.jnose_projects\porcupine\porcupine\src\test\java\com\airhacks\porcupine\execution\boundary\ExecutorServiceExposerTest.java;C:\Users\cebec\.jnose_projects\porcupine\porcupine\src\main\java\com\airhacks\porcupine\execution\boundary\ExecutorServiceExposer.java;JUnit4;168;13;Duplicate Assert;injectionOfDedicatedPipelines;127, 135;127, 135
porcupine;ExecutorServiceExposerTest;C:\Users\cebec\.jnose_projects\porcupine\porcupine\src\test\java\com\airhacks\porcupine\execution\boundary\ExecutorServiceExposerTest.java;C:\Users\cebec\.jnose_projects\porcupine\porcupine\src\main\java\com\airhacks\porcupine\execution\boundary\ExecutorServiceExposer.java;JUnit4;168;13;Assertion Roulette;multipleExecutorsAreDistinct;81-81;81-81
