projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
project-board;RepositoryUserAccessServiceTest;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\test\java\de\adesso\projectboard\ad\access\RepositoryUserAccessServiceTest.java;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\main\java\de\adesso\projectboard\ad\access\RepositoryUserAccessService.java;JUnit4;322;21;Verbose Test;giveUserAccessUntilCreatesAccessWhenUserHasNoActiveAccess;115-147;115-147
project-board;RepositoryUserAccessServiceTest;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\test\java\de\adesso\projectboard\ad\access\RepositoryUserAccessServiceTest.java;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\main\java\de\adesso\projectboard\ad\access\RepositoryUserAccessService.java;JUnit4;322;21;Assertion Roulette;giveUserAccessUntilDoesNotUpdateAccessWhenOldEndEqualsNewEnd;85-85;85-85
project-board;RepositoryUserAccessServiceTest;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\test\java\de\adesso\projectboard\ad\access\RepositoryUserAccessServiceTest.java;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\main\java\de\adesso\projectboard\ad\access\RepositoryUserAccessService.java;JUnit4;322;21;Assertion Roulette;giveUserAccessUntilSetsEndTimeWhenUserHasActiveAccess;108-108;108-108
project-board;RepositoryUserAccessServiceTest;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\test\java\de\adesso\projectboard\ad\access\RepositoryUserAccessServiceTest.java;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\main\java\de\adesso\projectboard\ad\access\RepositoryUserAccessService.java;JUnit4;322;21;Assertion Roulette;giveUserAccessUntilCreatesAccessWhenUserHasNoActiveAccess;133-133;133-133
project-board;RepositoryUserAccessServiceTest;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\test\java\de\adesso\projectboard\ad\access\RepositoryUserAccessServiceTest.java;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\main\java\de\adesso\projectboard\ad\access\RepositoryUserAccessService.java;JUnit4;322;21;Assertion Roulette;giveUserAccessUntilCreatesAccessWhenUserHasNoActiveAccess;140-140;140-140
project-board;RepositoryUserAccessServiceTest;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\test\java\de\adesso\projectboard\ad\access\RepositoryUserAccessServiceTest.java;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\main\java\de\adesso\projectboard\ad\access\RepositoryUserAccessService.java;JUnit4;322;21;Assertion Roulette;giveUserAccessUntilCreatesAccessWhenUserHasNoActiveAccess;141-141;141-141
project-board;RepositoryUserAccessServiceTest;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\test\java\de\adesso\projectboard\ad\access\RepositoryUserAccessServiceTest.java;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\main\java\de\adesso\projectboard\ad\access\RepositoryUserAccessService.java;JUnit4;322;21;Assertion Roulette;giveUserAccessUntilCreatesAccessWhenUserHasNoActiveAccess;142-142;142-142
project-board;RepositoryUserAccessServiceTest;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\test\java\de\adesso\projectboard\ad\access\RepositoryUserAccessServiceTest.java;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\main\java\de\adesso\projectboard\ad\access\RepositoryUserAccessService.java;JUnit4;322;21;Assertion Roulette;giveUserAccessUntilCreatesAccessWhenUserHasNoAccessInstance;162-162;162-162
project-board;RepositoryUserAccessServiceTest;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\test\java\de\adesso\projectboard\ad\access\RepositoryUserAccessServiceTest.java;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\main\java\de\adesso\projectboard\ad\access\RepositoryUserAccessService.java;JUnit4;322;21;Assertion Roulette;giveUserAccessUntilCreatesAccessWhenUserHasNoAccessInstance;169-169;169-169
project-board;RepositoryUserAccessServiceTest;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\test\java\de\adesso\projectboard\ad\access\RepositoryUserAccessServiceTest.java;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\main\java\de\adesso\projectboard\ad\access\RepositoryUserAccessService.java;JUnit4;322;21;Assertion Roulette;giveUserAccessUntilCreatesAccessWhenUserHasNoAccessInstance;170-170;170-170
project-board;RepositoryUserAccessServiceTest;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\test\java\de\adesso\projectboard\ad\access\RepositoryUserAccessServiceTest.java;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\main\java\de\adesso\projectboard\ad\access\RepositoryUserAccessService.java;JUnit4;322;21;Assertion Roulette;giveUserAccessUntilCreatesAccessWhenUserHasNoAccessInstance;171-171;171-171
project-board;RepositoryUserAccessServiceTest;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\test\java\de\adesso\projectboard\ad\access\RepositoryUserAccessServiceTest.java;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\main\java\de\adesso\projectboard\ad\access\RepositoryUserAccessService.java;JUnit4;322;21;Assertion Roulette;removeAccessFromUserNoActiveAccessIntervalPresent;192-192;192-192
project-board;RepositoryUserAccessServiceTest;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\test\java\de\adesso\projectboard\ad\access\RepositoryUserAccessServiceTest.java;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\main\java\de\adesso\projectboard\ad\access\RepositoryUserAccessService.java;JUnit4;322;21;Assertion Roulette;removeAccessFromUserActiveAccessIntervalPresent;213-213;213-213
project-board;RepositoryUserAccessServiceTest;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\test\java\de\adesso\projectboard\ad\access\RepositoryUserAccessServiceTest.java;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\main\java\de\adesso\projectboard\ad\access\RepositoryUserAccessService.java;JUnit4;322;21;Assertion Roulette;userHasActiveAccessIntervalReturnsTrueWhenStartDateBeforeAndEndDateAfterToday;235-235;235-235
project-board;RepositoryUserAccessServiceTest;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\test\java\de\adesso\projectboard\ad\access\RepositoryUserAccessServiceTest.java;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\main\java\de\adesso\projectboard\ad\access\RepositoryUserAccessService.java;JUnit4;322;21;Assertion Roulette;userHasActiveAccessIntervalReturnsTrueWhenStartDateBeforeEndDateEqualToToday;253-253;253-253
project-board;RepositoryUserAccessServiceTest;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\test\java\de\adesso\projectboard\ad\access\RepositoryUserAccessServiceTest.java;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\main\java\de\adesso\projectboard\ad\access\RepositoryUserAccessService.java;JUnit4;322;21;Assertion Roulette;userHasActiveAccessIntervalReturnsTrueWhenStartDateEqualToAndEndDateAfterToday;271-271;271-271
project-board;RepositoryUserAccessServiceTest;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\test\java\de\adesso\projectboard\ad\access\RepositoryUserAccessServiceTest.java;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\main\java\de\adesso\projectboard\ad\access\RepositoryUserAccessService.java;JUnit4;322;21;Assertion Roulette;userHasActiveAccessIntervalReturnsFalseWhenStartDateAndEndDateBeforeToday;289-289;289-289
project-board;RepositoryUserAccessServiceTest;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\test\java\de\adesso\projectboard\ad\access\RepositoryUserAccessServiceTest.java;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\main\java\de\adesso\projectboard\ad\access\RepositoryUserAccessService.java;JUnit4;322;21;Assertion Roulette;userHasActiveAccessReturnsFalseWhenNoAccessIntervalPresent;301-301;301-301
project-board;RepositoryUserAccessServiceTest;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\test\java\de\adesso\projectboard\ad\access\RepositoryUserAccessServiceTest.java;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\main\java\de\adesso\projectboard\ad\access\RepositoryUserAccessService.java;JUnit4;322;21;Assertion Roulette;userHasActiveAccessIntervalReturnsFalseWhenStartDateAfterToday;319-319;319-319
project-board;RepositoryApplicationServiceTest;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\test\java\de\adesso\projectboard\ad\application\service\RepositoryApplicationServiceTest.java;C:\Users\cebec\.jnose_projects\project-board\backend\project-board\src\main\java\de\adesso\projectboard\ad\application\service\RepositoryApplicationService.java;JUnit4;215;21;Assertion Roulette;userHasAppliedForProjectReturnsTrueWhenApplicationIsPresent;87-87;87-87
