projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
psd2-accelerator;CertificateServiceTest;C:\Users\cebec\.jnose_projects\psd2-accelerator\service\certificate-generator\src\test\java\de\adorsys\psd2\sandbox\certificate\service\CertificateServiceTest.java;C:\Users\cebec\.jnose_projects\psd2-accelerator\service\certificate-generator\src\main\java\de\adorsys\psd2\sandbox\certificate\service\CertificateService.java;JUnit4;88;4;Verbose Test;checkRolesWithinQcStatement;55-87;55-87
psd2-accelerator;CertificateServiceTest;C:\Users\cebec\.jnose_projects\psd2-accelerator\service\certificate-generator\src\test\java\de\adorsys\psd2\sandbox\certificate\service\CertificateServiceTest.java;C:\Users\cebec\.jnose_projects\psd2-accelerator\service\certificate-generator\src\main\java\de\adorsys\psd2\sandbox\certificate\service\CertificateService.java;JUnit4;88;4;Lazy Test;checkRolesWithinQcStatement, newCertificateCreatesCertAndKey;57, 26;57, 26
psd2-accelerator;CertificateServiceTest;C:\Users\cebec\.jnose_projects\psd2-accelerator\service\certificate-generator\src\test\java\de\adorsys\psd2\sandbox\certificate\service\CertificateServiceTest.java;C:\Users\cebec\.jnose_projects\psd2-accelerator\service\certificate-generator\src\main\java\de\adorsys\psd2\sandbox\certificate\service\CertificateService.java;JUnit4;88;4;Assertion Roulette;newCertificateCreatesCertAndKey;34-34;34-34
psd2-accelerator;CertificateServiceTest;C:\Users\cebec\.jnose_projects\psd2-accelerator\service\certificate-generator\src\test\java\de\adorsys\psd2\sandbox\certificate\service\CertificateServiceTest.java;C:\Users\cebec\.jnose_projects\psd2-accelerator\service\certificate-generator\src\main\java\de\adorsys\psd2\sandbox\certificate\service\CertificateService.java;JUnit4;88;4;Assertion Roulette;newCertificateCreatesCertAndKey;35-35;35-35
psd2-accelerator;CertificateServiceTest;C:\Users\cebec\.jnose_projects\psd2-accelerator\service\certificate-generator\src\test\java\de\adorsys\psd2\sandbox\certificate\service\CertificateServiceTest.java;C:\Users\cebec\.jnose_projects\psd2-accelerator\service\certificate-generator\src\main\java\de\adorsys\psd2\sandbox\certificate\service\CertificateService.java;JUnit4;88;4;Assertion Roulette;exportPrivateKeyToStringResultsInSingleLinePrimaryKey;42-42;42-42
psd2-accelerator;CertificateServiceTest;C:\Users\cebec\.jnose_projects\psd2-accelerator\service\certificate-generator\src\test\java\de\adorsys\psd2\sandbox\certificate\service\CertificateServiceTest.java;C:\Users\cebec\.jnose_projects\psd2-accelerator\service\certificate-generator\src\main\java\de\adorsys\psd2\sandbox\certificate\service\CertificateService.java;JUnit4;88;4;Assertion Roulette;exportPrivateKeyToStringResultsInSingleLinePrimaryKey;43-43;43-43
psd2-accelerator;CertificateServiceTest;C:\Users\cebec\.jnose_projects\psd2-accelerator\service\certificate-generator\src\test\java\de\adorsys\psd2\sandbox\certificate\service\CertificateServiceTest.java;C:\Users\cebec\.jnose_projects\psd2-accelerator\service\certificate-generator\src\main\java\de\adorsys\psd2\sandbox\certificate\service\CertificateService.java;JUnit4;88;4;Assertion Roulette;exportCertificateToStringResultsInSingleLineCertificate;51-51;51-51
psd2-accelerator;CertificateServiceTest;C:\Users\cebec\.jnose_projects\psd2-accelerator\service\certificate-generator\src\test\java\de\adorsys\psd2\sandbox\certificate\service\CertificateServiceTest.java;C:\Users\cebec\.jnose_projects\psd2-accelerator\service\certificate-generator\src\main\java\de\adorsys\psd2\sandbox\certificate\service\CertificateService.java;JUnit4;88;4;Assertion Roulette;exportCertificateToStringResultsInSingleLineCertificate;52-52;52-52
psd2-accelerator;CertificateServiceTest;C:\Users\cebec\.jnose_projects\psd2-accelerator\service\certificate-generator\src\test\java\de\adorsys\psd2\sandbox\certificate\service\CertificateServiceTest.java;C:\Users\cebec\.jnose_projects\psd2-accelerator\service\certificate-generator\src\main\java\de\adorsys\psd2\sandbox\certificate\service\CertificateService.java;JUnit4;88;4;Assertion Roulette;checkRolesWithinQcStatement;81-81;81-81
psd2-accelerator;CertificateServiceTest;C:\Users\cebec\.jnose_projects\psd2-accelerator\service\certificate-generator\src\test\java\de\adorsys\psd2\sandbox\certificate\service\CertificateServiceTest.java;C:\Users\cebec\.jnose_projects\psd2-accelerator\service\certificate-generator\src\main\java\de\adorsys\psd2\sandbox\certificate\service\CertificateService.java;JUnit4;88;4;Assertion Roulette;checkRolesWithinQcStatement;82-82;82-82
psd2-accelerator;CertificateServiceTest;C:\Users\cebec\.jnose_projects\psd2-accelerator\service\certificate-generator\src\test\java\de\adorsys\psd2\sandbox\certificate\service\CertificateServiceTest.java;C:\Users\cebec\.jnose_projects\psd2-accelerator\service\certificate-generator\src\main\java\de\adorsys\psd2\sandbox\certificate\service\CertificateService.java;JUnit4;88;4;Assertion Roulette;checkRolesWithinQcStatement;83-83;83-83
psd2-accelerator;CertificateServiceTest;C:\Users\cebec\.jnose_projects\psd2-accelerator\service\certificate-generator\src\test\java\de\adorsys\psd2\sandbox\certificate\service\CertificateServiceTest.java;C:\Users\cebec\.jnose_projects\psd2-accelerator\service\certificate-generator\src\main\java\de\adorsys\psd2\sandbox\certificate\service\CertificateService.java;JUnit4;88;4;Assertion Roulette;checkRolesWithinQcStatement;84-84;84-84
psd2-accelerator;CertificateServiceTest;C:\Users\cebec\.jnose_projects\psd2-accelerator\service\certificate-generator\src\test\java\de\adorsys\psd2\sandbox\certificate\service\CertificateServiceTest.java;C:\Users\cebec\.jnose_projects\psd2-accelerator\service\certificate-generator\src\main\java\de\adorsys\psd2\sandbox\certificate\service\CertificateService.java;JUnit4;88;4;Assertion Roulette;checkRolesWithinQcStatement;85-85;85-85
psd2-accelerator;CertificateServiceTest;C:\Users\cebec\.jnose_projects\psd2-accelerator\service\certificate-generator\src\test\java\de\adorsys\psd2\sandbox\certificate\service\CertificateServiceTest.java;C:\Users\cebec\.jnose_projects\psd2-accelerator\service\certificate-generator\src\main\java\de\adorsys\psd2\sandbox\certificate\service\CertificateService.java;JUnit4;88;4;Assertion Roulette;checkRolesWithinQcStatement;86-86;86-86
