projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
qbit;AdminTest;C:\Users\cebec\.jnose_projects\qbit\qbit\admin\src\test\java\io\advantageous\qbit\admin\AdminTest.java;C:\Users\cebec\.jnose_projects\qbit\qbit\admin\src\main\java\io\advantageous\qbit\admin\Admin.java;JUnit4;95;8;Magic Number Test;testOk;64;64
qbit;AdminTest;C:\Users\cebec\.jnose_projects\qbit\qbit\admin\src\test\java\io\advantageous\qbit\admin\AdminTest.java;C:\Users\cebec\.jnose_projects\qbit\qbit\admin\src\main\java\io\advantageous\qbit\admin\Admin.java;JUnit4;95;8;Magic Number Test;testFindAllNodes;75;75
qbit;AdminTest;C:\Users\cebec\.jnose_projects\qbit\qbit\admin\src\test\java\io\advantageous\qbit\admin\AdminTest.java;C:\Users\cebec\.jnose_projects\qbit\qbit\admin\src\main\java\io\advantageous\qbit\admin\Admin.java;JUnit4;95;8;Magic Number Test;testFindAllHealthyNodes;91;91
qbit;AdminTest;C:\Users\cebec\.jnose_projects\qbit\qbit\admin\src\test\java\io\advantageous\qbit\admin\AdminTest.java;C:\Users\cebec\.jnose_projects\qbit\qbit\admin\src\main\java\io\advantageous\qbit\admin\Admin.java;JUnit4;95;8;Assertion Roulette;testOk;64-64;64-64
qbit;AdminTest;C:\Users\cebec\.jnose_projects\qbit\qbit\admin\src\test\java\io\advantageous\qbit\admin\AdminTest.java;C:\Users\cebec\.jnose_projects\qbit\qbit\admin\src\main\java\io\advantageous\qbit\admin\Admin.java;JUnit4;95;8;Assertion Roulette;testOk;66-66;66-66
qbit;AdminTest;C:\Users\cebec\.jnose_projects\qbit\qbit\admin\src\test\java\io\advantageous\qbit\admin\AdminTest.java;C:\Users\cebec\.jnose_projects\qbit\qbit\admin\src\main\java\io\advantageous\qbit\admin\Admin.java;JUnit4;95;8;Assertion Roulette;testFindAllNodes;75-75;75-75
qbit;AdminTest;C:\Users\cebec\.jnose_projects\qbit\qbit\admin\src\test\java\io\advantageous\qbit\admin\AdminTest.java;C:\Users\cebec\.jnose_projects\qbit\qbit\admin\src\main\java\io\advantageous\qbit\admin\Admin.java;JUnit4;95;8;Assertion Roulette;testFindAllNodes;77-77;77-77
qbit;AdminTest;C:\Users\cebec\.jnose_projects\qbit\qbit\admin\src\test\java\io\advantageous\qbit\admin\AdminTest.java;C:\Users\cebec\.jnose_projects\qbit\qbit\admin\src\main\java\io\advantageous\qbit\admin\Admin.java;JUnit4;95;8;Assertion Roulette;testFindAllHealthyNodes;91-91;91-91
qbit;AdminTest;C:\Users\cebec\.jnose_projects\qbit\qbit\admin\src\test\java\io\advantageous\qbit\admin\AdminTest.java;C:\Users\cebec\.jnose_projects\qbit\qbit\admin\src\main\java\io\advantageous\qbit\admin\Admin.java;JUnit4;95;8;Assertion Roulette;testFindAllHealthyNodes;93-93;93-93
qbit;AdminTest;C:\Users\cebec\.jnose_projects\qbit\qbit\admin\src\test\java\io\advantageous\qbit\admin\AdminTest.java;C:\Users\cebec\.jnose_projects\qbit\qbit\admin\src\main\java\io\advantageous\qbit\admin\Admin.java;JUnit4;95;8;General Fixture;setUp;30;30
