projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
raml-converter;Raml2HtmlConverterTest;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter\src\test\java\raml\tools\Raml2HtmlConverterTest.java;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter\src\main\java\raml\tools\html\Raml2HtmlConverter.java;JUnit4;50;4;Duplicate Assert;shouldProcessExampleWithOutErrors;20, 21;20, 21
raml-converter;Raml2HtmlConverterTest;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter\src\test\java\raml\tools\Raml2HtmlConverterTest.java;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter\src\main\java\raml\tools\html\Raml2HtmlConverter.java;JUnit4;50;4;Duplicate Assert;generatedHtmlContainsBaseUri;28, 29;28, 29
raml-converter;Raml2HtmlConverterTest;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter\src\test\java\raml\tools\Raml2HtmlConverterTest.java;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter\src\main\java\raml\tools\html\Raml2HtmlConverter.java;JUnit4;50;4;Assertion Roulette;shouldProcessExampleWithOutErrors;20-20;20-20
raml-converter;Raml2HtmlConverterTest;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter\src\test\java\raml\tools\Raml2HtmlConverterTest.java;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter\src\main\java\raml\tools\html\Raml2HtmlConverter.java;JUnit4;50;4;Assertion Roulette;shouldProcessExampleWithOutErrors;21-21;21-21
raml-converter;Raml2HtmlConverterTest;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter\src\test\java\raml\tools\Raml2HtmlConverterTest.java;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter\src\main\java\raml\tools\html\Raml2HtmlConverter.java;JUnit4;50;4;Assertion Roulette;generatedHtmlContainsBaseUri;28-28;28-28
raml-converter;Raml2HtmlConverterTest;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter\src\test\java\raml\tools\Raml2HtmlConverterTest.java;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter\src\main\java\raml\tools\html\Raml2HtmlConverter.java;JUnit4;50;4;Assertion Roulette;generatedHtmlContainsBaseUri;29-29;29-29
raml-converter;Raml2HtmlConverterTest;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter\src\test\java\raml\tools\Raml2HtmlConverterTest.java;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter\src\main\java\raml\tools\html\Raml2HtmlConverter.java;JUnit4;50;4;Assertion Roulette;requiredAttributesAreParsedCorrectly;38-38;38-38
raml-converter;Raml2HtmlConverterTest;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter\src\test\java\raml\tools\Raml2HtmlConverterTest.java;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter\src\main\java\raml\tools\html\Raml2HtmlConverter.java;JUnit4;50;4;Assertion Roulette;requiredAttributesAreParsedCorrectly;41-41;41-41
raml-converter;RamlAsciiDocTest;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter\src\test\java\raml\tools\RamlAsciiDocTest.java;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter\src\main\java\raml\tools\ascii\RamlAsciiDoc.java;JUnit4;38;3;Assertion Roulette;shouldConvertAsciiDocWithRamlResource;15-15;15-15
raml-converter;RamlAsciiDocTest;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter\src\test\java\raml\tools\RamlAsciiDocTest.java;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter\src\main\java\raml\tools\ascii\RamlAsciiDoc.java;JUnit4;38;3;Assertion Roulette;shouldConvertAsciiDocWithRamlHeaders;23-23;23-23
raml-converter;RamlAsciiDocTest;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter\src\test\java\raml\tools\RamlAsciiDocTest.java;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter\src\main\java\raml\tools\ascii\RamlAsciiDoc.java;JUnit4;38;3;Assertion Roulette;shouldConvertAsciiDocWithRamlHeadersForResponse;33-33;33-33
raml-converter;RamlHtmlMojoTest;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter-maven-plugin\src\test\java\raml\converter\maven\RamlHtmlMojoTest.java;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter-maven-plugin\src\main\java\raml\converter\maven\RamlHtmlMojo.java;JUnit4;29;2;Resource Optimism;returnsProperOutputFileForUrl;16-27;16-27
raml-converter;RamlHtmlMojoTest;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter-maven-plugin\src\test\java\raml\converter\maven\RamlHtmlMojoTest.java;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter-maven-plugin\src\main\java\raml\converter\maven\RamlHtmlMojo.java;JUnit4;29;2;Assertion Roulette;returnsProperOutputFileForUrl;24-24;24-24
raml-converter;RamlHtmlMojoTest;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter-maven-plugin\src\test\java\raml\converter\maven\RamlHtmlMojoTest.java;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter-maven-plugin\src\main\java\raml\converter\maven\RamlHtmlMojo.java;JUnit4;29;2;Assertion Roulette;returnsProperOutputFileForUrl;25-25;25-25
raml-converter;RamlHtmlMojoTest;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter-maven-plugin\src\test\java\raml\converter\maven\RamlHtmlMojoTest.java;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter-maven-plugin\src\main\java\raml\converter\maven\RamlHtmlMojo.java;JUnit4;29;2;Assertion Roulette;returnsProperOutputFileForUrl;26-26;26-26
raml-converter;RamlHtmlMojoTest;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter-maven-plugin\src\test\java\raml\converter\maven\RamlHtmlMojoTest.java;C:\Users\cebec\.jnose_projects\raml-converter\raml-converter-maven-plugin\src\main\java\raml\converter\maven\RamlHtmlMojo.java;JUnit4;29;2;Mystery Guest;returnsProperOutputFileForUrl;16-27;16-27
