projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
reair;CliAuditLogHookTest;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\test\java\com\airbnb\hive\CliAuditLogHookTest.java;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\main\java\com\airbnb\reair\hive\hooks\CliAuditLogHook.java;JUnit4;345;12;Verbose Test;testAuditLogTable;84-210;84-210
reair;CliAuditLogHookTest;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\test\java\com\airbnb\hive\CliAuditLogHookTest.java;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\main\java\com\airbnb\reair\hive\hooks\CliAuditLogHook.java;JUnit4;345;12;Verbose Test;testAuditLogPartition;212-344;212-344
reair;CliAuditLogHookTest;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\test\java\com\airbnb\hive\CliAuditLogHookTest.java;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\main\java\com\airbnb\reair\hive\hooks\CliAuditLogHook.java;JUnit4;345;12;Lazy Test;testAuditLogPartition, testAuditLogTable;220, 92;220, 92
reair;CliAuditLogHookTest;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\test\java\com\airbnb\hive\CliAuditLogHookTest.java;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\main\java\com\airbnb\reair\hive\hooks\CliAuditLogHook.java;JUnit4;345;12;Duplicate Assert;testAuditLogPartition;312, 343;312, 343
reair;CliAuditLogHookTest;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\test\java\com\airbnb\hive\CliAuditLogHookTest.java;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\main\java\com\airbnb\reair\hive\hooks\CliAuditLogHook.java;JUnit4;345;12;Assertion Roulette;testAuditLogTable;154-154;154-154
reair;CliAuditLogHookTest;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\test\java\com\airbnb\hive\CliAuditLogHookTest.java;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\main\java\com\airbnb\reair\hive\hooks\CliAuditLogHook.java;JUnit4;345;12;Assertion Roulette;testAuditLogTable;189-189;189-189
reair;CliAuditLogHookTest;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\test\java\com\airbnb\hive\CliAuditLogHookTest.java;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\main\java\com\airbnb\reair\hive\hooks\CliAuditLogHook.java;JUnit4;345;12;Assertion Roulette;testAuditLogTable;209-209;209-209
reair;CliAuditLogHookTest;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\test\java\com\airbnb\hive\CliAuditLogHookTest.java;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\main\java\com\airbnb\reair\hive\hooks\CliAuditLogHook.java;JUnit4;345;12;Assertion Roulette;testAuditLogPartition;278-278;278-278
reair;CliAuditLogHookTest;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\test\java\com\airbnb\hive\CliAuditLogHookTest.java;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\main\java\com\airbnb\reair\hive\hooks\CliAuditLogHook.java;JUnit4;345;12;Assertion Roulette;testAuditLogPartition;312-312;312-312
reair;CliAuditLogHookTest;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\test\java\com\airbnb\hive\CliAuditLogHookTest.java;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\main\java\com\airbnb\reair\hive\hooks\CliAuditLogHook.java;JUnit4;345;12;Assertion Roulette;testAuditLogPartition;343-343;343-343
reair;MetastoreAuditLogListenerTest;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\test\java\com\airbnb\hive\MetastoreAuditLogListenerTest.java;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\main\java\com\airbnb\reair\hive\hooks\MetastoreAuditLogListener.java;JUnit4;1045;19;Verbose Test;testCreateDatabase;132-224;132-224
reair;MetastoreAuditLogListenerTest;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\test\java\com\airbnb\hive\MetastoreAuditLogListenerTest.java;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\main\java\com\airbnb\reair\hive\hooks\MetastoreAuditLogListener.java;JUnit4;1045;19;Verbose Test;testDropDatabase;226-318;226-318
reair;MetastoreAuditLogListenerTest;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\test\java\com\airbnb\hive\MetastoreAuditLogListenerTest.java;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\main\java\com\airbnb\reair\hive\hooks\MetastoreAuditLogListener.java;JUnit4;1045;19;Verbose Test;testCreateTable;320-413;320-413
reair;MetastoreAuditLogListenerTest;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\test\java\com\airbnb\hive\MetastoreAuditLogListenerTest.java;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\main\java\com\airbnb\reair\hive\hooks\MetastoreAuditLogListener.java;JUnit4;1045;19;Verbose Test;testDropTable;415-508;415-508
reair;MetastoreAuditLogListenerTest;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\test\java\com\airbnb\hive\MetastoreAuditLogListenerTest.java;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\main\java\com\airbnb\reair\hive\hooks\MetastoreAuditLogListener.java;JUnit4;1045;19;Verbose Test;testAlterTable;510-628;510-628
reair;MetastoreAuditLogListenerTest;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\test\java\com\airbnb\hive\MetastoreAuditLogListenerTest.java;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\main\java\com\airbnb\reair\hive\hooks\MetastoreAuditLogListener.java;JUnit4;1045;19;Verbose Test;testAddPartition;630-763;630-763
reair;MetastoreAuditLogListenerTest;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\test\java\com\airbnb\hive\MetastoreAuditLogListenerTest.java;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\main\java\com\airbnb\reair\hive\hooks\MetastoreAuditLogListener.java;JUnit4;1045;19;Verbose Test;testDropPartition;765-899;765-899
reair;MetastoreAuditLogListenerTest;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\test\java\com\airbnb\hive\MetastoreAuditLogListenerTest.java;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\main\java\com\airbnb\reair\hive\hooks\MetastoreAuditLogListener.java;JUnit4;1045;19;Verbose Test;testAlterPartition;901-1044;901-1044
reair;MetastoreAuditLogListenerTest;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\test\java\com\airbnb\hive\MetastoreAuditLogListenerTest.java;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\main\java\com\airbnb\reair\hive\hooks\MetastoreAuditLogListener.java;JUnit4;1045;19;Lazy Test;testAlterPartition, testDropPartition, testAddPartition, testAlterTable, testDropTable, testCreateTable, testDropDatabase, testCreateDatabase;911, 775, 640, 520, 425, 330, 236, 142;911, 775, 640, 520, 425, 330, 236, 142
reair;MetastoreAuditLogListenerTest;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\test\java\com\airbnb\hive\MetastoreAuditLogListenerTest.java;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\main\java\com\airbnb\reair\hive\hooks\MetastoreAuditLogListener.java;JUnit4;1045;19;Duplicate Assert;testAddPartition;743, 762;743, 762
reair;MetastoreAuditLogListenerTest;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\test\java\com\airbnb\hive\MetastoreAuditLogListenerTest.java;C:\Users\cebec\.jnose_projects\reair\hive-hooks\src\main\java\com\airbnb\reair\hive\hooks\MetastoreAuditLogListener.java;JUnit4;1045;19;Duplicate Assert;testDropPartition;862, 881;862, 881
