projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
reakt;BreakerTest;C:\Users\cebec\.jnose_projects\reakt\src\test\java\io\advantageous\reakt\BreakerTest.java;C:\Users\cebec\.jnose_projects\reakt\src\main\java\io\advantageous\reakt\Breaker.java;JUnit4;153;6;Magic Number Test;testOK;89;89
reakt;BreakerTest;C:\Users\cebec\.jnose_projects\reakt\src\test\java\io\advantageous\reakt\BreakerTest.java;C:\Users\cebec\.jnose_projects\reakt\src\main\java\io\advantageous\reakt\Breaker.java;JUnit4;153;6;Magic Number Test;testOK;103;103
reakt;BreakerTest;C:\Users\cebec\.jnose_projects\reakt\src\test\java\io\advantageous\reakt\BreakerTest.java;C:\Users\cebec\.jnose_projects\reakt\src\main\java\io\advantageous\reakt\Breaker.java;JUnit4;153;6;Magic Number Test;testOKWithErrorCount;117;117
reakt;BreakerTest;C:\Users\cebec\.jnose_projects\reakt\src\test\java\io\advantageous\reakt\BreakerTest.java;C:\Users\cebec\.jnose_projects\reakt\src\main\java\io\advantageous\reakt\Breaker.java;JUnit4;153;6;Magic Number Test;testOKWithErrorCount;131;131
reakt;BreakerTest;C:\Users\cebec\.jnose_projects\reakt\src\test\java\io\advantageous\reakt\BreakerTest.java;C:\Users\cebec\.jnose_projects\reakt\src\main\java\io\advantageous\reakt\Breaker.java;JUnit4;153;6;Magic Number Test;testOKWithErrorCount;146;146
reakt;BreakerTest;C:\Users\cebec\.jnose_projects\reakt\src\test\java\io\advantageous\reakt\BreakerTest.java;C:\Users\cebec\.jnose_projects\reakt\src\main\java\io\advantageous\reakt\Breaker.java;JUnit4;153;6;Verbose Test;testOKWithErrorCount;107-150;107-150
reakt;BreakerTest;C:\Users\cebec\.jnose_projects\reakt\src\test\java\io\advantageous\reakt\BreakerTest.java;C:\Users\cebec\.jnose_projects\reakt\src\main\java\io\advantageous\reakt\Breaker.java;JUnit4;153;6;Lazy Test;testOKWithErrorCount, testOK, testSupplierOkThenBroken, testSupplierBroken, testSupplierNotBroken;112, 84, 69, 60, 54;112, 84, 69, 60, 54
reakt;BreakerTest;C:\Users\cebec\.jnose_projects\reakt\src\test\java\io\advantageous\reakt\BreakerTest.java;C:\Users\cebec\.jnose_projects\reakt\src\main\java\io\advantageous\reakt\Breaker.java;JUnit4;153;6;Duplicate Assert;testOKWithErrorCount;119, 133;119, 133
reakt;BreakerTest;C:\Users\cebec\.jnose_projects\reakt\src\test\java\io\advantageous\reakt\BreakerTest.java;C:\Users\cebec\.jnose_projects\reakt\src\main\java\io\advantageous\reakt\Breaker.java;JUnit4;153;6;Assertion Roulette;testBroken;42-42;42-42
reakt;BreakerTest;C:\Users\cebec\.jnose_projects\reakt\src\test\java\io\advantageous\reakt\BreakerTest.java;C:\Users\cebec\.jnose_projects\reakt\src\main\java\io\advantageous\reakt\Breaker.java;JUnit4;153;6;Assertion Roulette;testBroken;43-43;43-43
