projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
recall;ByteSequenceMapTest;C:\Users\cebec\.jnose_projects\recall\recall-store\src\test\java\com\aitusoftware\recall\map\ByteSequenceMapTest.java;C:\Users\cebec\.jnose_projects\recall\recall-store\src\main\java\com\aitusoftware\recall\map\ByteSequenceMap.java;JUnit5;219;19;Verbose Test;comparisonTest;139-197;139-197
recall;ByteSequenceMapTest;C:\Users\cebec\.jnose_projects\recall\recall-store\src\test\java\com\aitusoftware\recall\map\ByteSequenceMapTest.java;C:\Users\cebec\.jnose_projects\recall\recall-store\src\main\java\com\aitusoftware\recall\map\ByteSequenceMap.java;JUnit5;219;19;Lazy Test;shouldWrapBuffer, shouldRetrieveMultipleValuesWhenHashesCollide;115, 70;115, 70
recall;ByteSequenceMapTest;C:\Users\cebec\.jnose_projects\recall\recall-store\src\test\java\com\aitusoftware\recall\map\ByteSequenceMapTest.java;C:\Users\cebec\.jnose_projects\recall\recall-store\src\main\java\com\aitusoftware\recall\map\ByteSequenceMap.java;JUnit5;219;19;Duplicate Assert;shouldRemoveValue;133, 134;133, 134
recall;ByteSequenceMapTest;C:\Users\cebec\.jnose_projects\recall\recall-store\src\test\java\com\aitusoftware\recall\map\ByteSequenceMapTest.java;C:\Users\cebec\.jnose_projects\recall\recall-store\src\main\java\com\aitusoftware\recall\map\ByteSequenceMap.java;JUnit5;219;19;Duplicate Assert;comparisonTest;156, 169;156, 169
recall;ByteSequenceMapTest;C:\Users\cebec\.jnose_projects\recall\recall-store\src\test\java\com\aitusoftware\recall\map\ByteSequenceMapTest.java;C:\Users\cebec\.jnose_projects\recall\recall-store\src\main\java\com\aitusoftware\recall\map\ByteSequenceMap.java;JUnit5;219;19;Duplicate Assert;comparisonTest;174, 188, 195;174, 188, 195
recall;ByteSequenceMapTest;C:\Users\cebec\.jnose_projects\recall\recall-store\src\test\java\com\aitusoftware\recall\map\ByteSequenceMapTest.java;C:\Users\cebec\.jnose_projects\recall\recall-store\src\main\java\com\aitusoftware\recall\map\ByteSequenceMap.java;JUnit5;219;19;Assertion Roulette;shouldNotRetrieveUnknownValue;63-63;63-63
recall;ByteSequenceMapTest;C:\Users\cebec\.jnose_projects\recall\recall-store\src\test\java\com\aitusoftware\recall\map\ByteSequenceMapTest.java;C:\Users\cebec\.jnose_projects\recall\recall-store\src\main\java\com\aitusoftware\recall\map\ByteSequenceMap.java;JUnit5;219;19;Assertion Roulette;shouldWrapBuffer;124-124;124-124
recall;ByteSequenceMapTest;C:\Users\cebec\.jnose_projects\recall\recall-store\src\test\java\com\aitusoftware\recall\map\ByteSequenceMapTest.java;C:\Users\cebec\.jnose_projects\recall\recall-store\src\main\java\com\aitusoftware\recall\map\ByteSequenceMap.java;JUnit5;219;19;Assertion Roulette;shouldRemoveValue;133-133;133-133
recall;ByteSequenceMapTest;C:\Users\cebec\.jnose_projects\recall\recall-store\src\test\java\com\aitusoftware\recall\map\ByteSequenceMapTest.java;C:\Users\cebec\.jnose_projects\recall\recall-store\src\main\java\com\aitusoftware\recall\map\ByteSequenceMap.java;JUnit5;219;19;Assertion Roulette;shouldRemoveValue;134-134;134-134
recall;ByteSequenceMapTest;C:\Users\cebec\.jnose_projects\recall\recall-store\src\test\java\com\aitusoftware\recall\map\ByteSequenceMapTest.java;C:\Users\cebec\.jnose_projects\recall\recall-store\src\main\java\com\aitusoftware\recall\map\ByteSequenceMap.java;JUnit5;219;19;Assertion Roulette;shouldRemoveValue;135-135;135-135
