projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
relic-recovery;RingBufferTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\drive\RingBufferTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\util\RingBuffer.java;JUnit4;30;4;Magic Number Test;testSize;23;23
relic-recovery;RingBufferTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\drive\RingBufferTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\util\RingBuffer.java;JUnit4;30;4;Magic Number Test;testGet;28;28
relic-recovery;RingBufferTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\drive\RingBufferTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\util\RingBuffer.java;JUnit4;30;4;Assertion Roulette;testSize;23-23;23-23
relic-recovery;RingBufferTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\drive\RingBufferTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\util\RingBuffer.java;JUnit4;30;4;Assertion Roulette;testGet;28-28;28-28
relic-recovery;Vector2dTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\localization\Vector2dTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\localization\Vector2d.java;JUnit4;45;5;Magic Number Test;testNorm;29;29
relic-recovery;Vector2dTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\localization\Vector2dTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\localization\Vector2d.java;JUnit4;45;5;Magic Number Test;testDotProduct;36;36
relic-recovery;Vector2dTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\localization\Vector2dTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\localization\Vector2d.java;JUnit4;45;5;Lazy Test;testEqualReflexivity, testDotProduct, testNorm, testScalarMultiply, testVectorAdd;41, 35, 34, 28, 23, 21, 16, 15, 14;41, 35, 34, 28, 23, 21, 16, 15, 14
relic-recovery;Vector2dTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\localization\Vector2dTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\localization\Vector2d.java;JUnit4;45;5;Lazy Test;testEqualReflexivity, testScalarMultiply, testVectorAdd;42, 23, 16;42, 23, 16
relic-recovery;Vector2dTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\localization\Vector2dTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\localization\Vector2d.java;JUnit4;45;5;Eager Test;testVectorAdd;14, 15, 16;14, 15, 16
relic-recovery;Vector2dTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\localization\Vector2dTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\localization\Vector2d.java;JUnit4;45;5;Eager Test;testScalarMultiply;21, 23;21, 23
relic-recovery;Vector2dTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\localization\Vector2dTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\localization\Vector2d.java;JUnit4;45;5;Eager Test;testNorm;28, 29;28, 29
relic-recovery;Vector2dTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\localization\Vector2dTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\localization\Vector2d.java;JUnit4;45;5;Eager Test;testDotProduct;34, 35, 36;34, 35, 36
relic-recovery;Vector2dTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\localization\Vector2dTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\localization\Vector2d.java;JUnit4;45;5;Eager Test;testEqualReflexivity;41, 42;41, 42
relic-recovery;Vector2dTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\localization\Vector2dTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\localization\Vector2d.java;JUnit4;45;5;Assertion Roulette;testVectorAdd;16-16;16-16
relic-recovery;Vector2dTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\localization\Vector2dTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\localization\Vector2d.java;JUnit4;45;5;Assertion Roulette;testScalarMultiply;23-23;23-23
relic-recovery;Vector2dTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\localization\Vector2dTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\localization\Vector2d.java;JUnit4;45;5;Assertion Roulette;testNorm;29-29;29-29
relic-recovery;Vector2dTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\localization\Vector2dTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\localization\Vector2d.java;JUnit4;45;5;Assertion Roulette;testDotProduct;36-36;36-36
relic-recovery;Vector2dTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\localization\Vector2dTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\localization\Vector2d.java;JUnit4;45;5;Assertion Roulette;testEqualReflexivity;42-42;42-42
relic-recovery;PIDControllerTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\motion\PIDControllerTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\motion\PIDController.java;JUnit4;52;5;Magic Number Test;testProportional;14;14
relic-recovery;PIDControllerTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\motion\PIDControllerTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\motion\PIDController.java;JUnit4;52;5;Magic Number Test;testIntegral;24;24
relic-recovery;PIDControllerTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\motion\PIDControllerTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\motion\PIDController.java;JUnit4;52;5;Magic Number Test;testDerivative;32;32
relic-recovery;PIDControllerTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\motion\PIDControllerTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\motion\PIDController.java;JUnit4;52;5;Magic Number Test;testIntegralWindup;40;40
relic-recovery;PIDControllerTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\motion\PIDControllerTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\motion\PIDController.java;JUnit4;52;5;Magic Number Test;testBoundedError;49;49
relic-recovery;PIDControllerTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\motion\PIDControllerTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\motion\PIDController.java;JUnit4;52;5;Lazy Test;testIntegralWindup, testDerivative, testIntegral, testProportional;40, 39, 31, 30, 22, 14;40, 39, 31, 30, 22, 14
relic-recovery;PIDControllerTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\motion\PIDControllerTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\motion\PIDController.java;JUnit4;52;5;Lazy Test;testBoundedError, testIntegralWindup, testDerivative, testIntegral, testProportional;45, 37, 29, 19, 13;45, 37, 29, 19, 13
relic-recovery;PIDControllerTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\motion\PIDControllerTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\motion\PIDController.java;JUnit4;52;5;Eager Test;testProportional;13, 14;13, 14
relic-recovery;PIDControllerTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\motion\PIDControllerTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\motion\PIDController.java;JUnit4;52;5;Eager Test;testIntegral;19, 24;19, 24
relic-recovery;PIDControllerTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\motion\PIDControllerTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\motion\PIDController.java;JUnit4;52;5;Eager Test;testDerivative;29, 32;29, 32
relic-recovery;PIDControllerTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\motion\PIDControllerTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\motion\PIDController.java;JUnit4;52;5;Eager Test;testIntegralWindup;37, 40;37, 40
relic-recovery;PIDControllerTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\motion\PIDControllerTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\motion\PIDController.java;JUnit4;52;5;Eager Test;testBoundedError;45, 48;45, 48
relic-recovery;PIDControllerTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\motion\PIDControllerTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\motion\PIDController.java;JUnit4;52;5;Assertion Roulette;testProportional;14-14;14-14
relic-recovery;PIDControllerTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\motion\PIDControllerTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\motion\PIDController.java;JUnit4;52;5;Assertion Roulette;testIntegral;24-24;24-24
relic-recovery;PIDControllerTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\motion\PIDControllerTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\motion\PIDController.java;JUnit4;52;5;Assertion Roulette;testDerivative;32-32;32-32
relic-recovery;PIDControllerTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\motion\PIDControllerTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\motion\PIDController.java;JUnit4;52;5;Assertion Roulette;testIntegralWindup;40-40;40-40
relic-recovery;PIDControllerTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\motion\PIDControllerTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\motion\PIDController.java;JUnit4;52;5;Assertion Roulette;testBoundedError;49-49;49-49
relic-recovery;PIDControllerTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\motion\PIDControllerTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\motion\PIDController.java;JUnit4;52;5;Conditional Test Logic;testIntegral;21-23;21-23
relic-recovery;SplinePathTest;C:\Users\cebec\.jnose_projects\relic-recovery\TeamCode\src\test\java\com\acmerobotics\relicrecovery\path\SplinePathTest.java;C:\Users\cebec\.jnose_projects\relic-recovery\RobotLib\src\main\java\com\acmerobotics\library\path\parametric\SplinePath.java;JUnit4;29;1;IgnoredTest;testSplineGeneration;18-28;18-28
