projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
reprint;MarshmallowReprintModuleTest;C:\Users\cebec\.jnose_projects\reprint\tests\src\test\java\com\github\ajalt\reprint\core\module\marshmallow\MarshmallowReprintModuleTest.java;C:\Users\cebec\.jnose_projects\reprint\core\src\main\java\com\github\ajalt\reprint\module\marshmallow\MarshmallowReprintModule.java;JUnit4;102;12;Assertion Roulette;fingerprintManager_null;61-61;61-61
reprint;MarshmallowReprintModuleTest;C:\Users\cebec\.jnose_projects\reprint\tests\src\test\java\com\github\ajalt\reprint\core\module\marshmallow\MarshmallowReprintModuleTest.java;C:\Users\cebec\.jnose_projects\reprint\core\src\main\java\com\github\ajalt\reprint\module\marshmallow\MarshmallowReprintModule.java;JUnit4;102;12;Assertion Roulette;fingerprintManager_null;62-62;62-62
reprint;MarshmallowReprintModuleTest;C:\Users\cebec\.jnose_projects\reprint\tests\src\test\java\com\github\ajalt\reprint\core\module\marshmallow\MarshmallowReprintModuleTest.java;C:\Users\cebec\.jnose_projects\reprint\core\src\main\java\com\github\ajalt\reprint\module\marshmallow\MarshmallowReprintModule.java;JUnit4;102;12;Assertion Roulette;fingerprintManager_noHardware;70-70;70-70
reprint;MarshmallowReprintModuleTest;C:\Users\cebec\.jnose_projects\reprint\tests\src\test\java\com\github\ajalt\reprint\core\module\marshmallow\MarshmallowReprintModuleTest.java;C:\Users\cebec\.jnose_projects\reprint\core\src\main\java\com\github\ajalt\reprint\module\marshmallow\MarshmallowReprintModule.java;JUnit4;102;12;Assertion Roulette;fingerprintManager_noHardware;71-71;71-71
reprint;MarshmallowReprintModuleTest;C:\Users\cebec\.jnose_projects\reprint\tests\src\test\java\com\github\ajalt\reprint\core\module\marshmallow\MarshmallowReprintModuleTest.java;C:\Users\cebec\.jnose_projects\reprint\core\src\main\java\com\github\ajalt\reprint\module\marshmallow\MarshmallowReprintModule.java;JUnit4;102;12;Assertion Roulette;fingerprintManager_noFingerprints;79-79;79-79
reprint;MarshmallowReprintModuleTest;C:\Users\cebec\.jnose_projects\reprint\tests\src\test\java\com\github\ajalt\reprint\core\module\marshmallow\MarshmallowReprintModuleTest.java;C:\Users\cebec\.jnose_projects\reprint\core\src\main\java\com\github\ajalt\reprint\module\marshmallow\MarshmallowReprintModule.java;JUnit4;102;12;Assertion Roulette;fingerprintManager_noFingerprints;80-80;80-80
reprint;MarshmallowReprintModuleTest;C:\Users\cebec\.jnose_projects\reprint\tests\src\test\java\com\github\ajalt\reprint\core\module\marshmallow\MarshmallowReprintModuleTest.java;C:\Users\cebec\.jnose_projects\reprint\core\src\main\java\com\github\ajalt\reprint\module\marshmallow\MarshmallowReprintModule.java;JUnit4;102;12;Assertion Roulette;fingerprintManager_enrolledFingerprintError;92-92;92-92
reprint;MarshmallowReprintModuleTest;C:\Users\cebec\.jnose_projects\reprint\tests\src\test\java\com\github\ajalt\reprint\core\module\marshmallow\MarshmallowReprintModuleTest.java;C:\Users\cebec\.jnose_projects\reprint\core\src\main\java\com\github\ajalt\reprint\module\marshmallow\MarshmallowReprintModule.java;JUnit4;102;12;Assertion Roulette;fingerprintManager_enrolledFingerprintError;93-93;93-93
reprint;MarshmallowReprintModuleTest;C:\Users\cebec\.jnose_projects\reprint\tests\src\test\java\com\github\ajalt\reprint\core\module\marshmallow\MarshmallowReprintModuleTest.java;C:\Users\cebec\.jnose_projects\reprint\core\src\main\java\com\github\ajalt\reprint\module\marshmallow\MarshmallowReprintModule.java;JUnit4;102;12;Assertion Roulette;fingerprintManager_fingerprints;99-99;99-99
reprint;MarshmallowReprintModuleTest;C:\Users\cebec\.jnose_projects\reprint\tests\src\test\java\com\github\ajalt\reprint\core\module\marshmallow\MarshmallowReprintModuleTest.java;C:\Users\cebec\.jnose_projects\reprint\core\src\main\java\com\github\ajalt\reprint\module\marshmallow\MarshmallowReprintModule.java;JUnit4;102;12;Assertion Roulette;fingerprintManager_fingerprints;100-100;100-100
reprint;ReprintTest;C:\Users\cebec\.jnose_projects\reprint\tests\src\test\java\com\github\ajalt\reprint\core\ReprintTest.java;C:\Users\cebec\.jnose_projects\reprint\core\src\main\java\com\github\ajalt\reprint\core\Reprint.java;JUnit4;49;5;Unknown Test;successfulRequest;36-41;36-41
reprint;ReprintTest;C:\Users\cebec\.jnose_projects\reprint\tests\src\test\java\com\github\ajalt\reprint\core\ReprintTest.java;C:\Users\cebec\.jnose_projects\reprint\core\src\main\java\com\github\ajalt\reprint\core\Reprint.java;JUnit4;49;5;Unknown Test;failedRequest;43-48;43-48
reprint;RxReprintTest;C:\Users\cebec\.jnose_projects\reprint\tests\src\test\java\com\github\ajalt\reprint\rxjava\RxReprintTest.java;C:\Users\cebec\.jnose_projects\reprint\rxjava2\src\main\java\com\github\ajalt\reprint\rxjava2\RxReprint.java;JUnit4;85;8;Magic Number Test;successfulRequest;45;45
reprint;RxReprintTest;C:\Users\cebec\.jnose_projects\reprint\tests\src\test\java\com\github\ajalt\reprint\rxjava\RxReprintTest.java;C:\Users\cebec\.jnose_projects\reprint\rxjava2\src\main\java\com\github\ajalt\reprint\rxjava2\RxReprint.java;JUnit4;85;8;Magic Number Test;successfulRequestBackpressure;55;55
reprint;RxReprintTest;C:\Users\cebec\.jnose_projects\reprint\tests\src\test\java\com\github\ajalt\reprint\rxjava\RxReprintTest.java;C:\Users\cebec\.jnose_projects\reprint\rxjava2\src\main\java\com\github\ajalt\reprint\rxjava2\RxReprint.java;JUnit4;85;8;Magic Number Test;nonFatalFailure;64;64
reprint;RxReprintTest;C:\Users\cebec\.jnose_projects\reprint\tests\src\test\java\com\github\ajalt\reprint\rxjava\RxReprintTest.java;C:\Users\cebec\.jnose_projects\reprint\rxjava2\src\main\java\com\github\ajalt\reprint\rxjava2\RxReprint.java;JUnit4;85;8;Magic Number Test;fatalFailure;74;74
reprint;RxReprintTest;C:\Users\cebec\.jnose_projects\reprint\tests\src\test\java\com\github\ajalt\reprint\rxjava\RxReprintTest.java;C:\Users\cebec\.jnose_projects\reprint\rxjava2\src\main\java\com\github\ajalt\reprint\rxjava2\RxReprint.java;JUnit4;85;8;Assertion Roulette;successfulRequest;45-45;45-45
reprint;RxReprintTest;C:\Users\cebec\.jnose_projects\reprint\tests\src\test\java\com\github\ajalt\reprint\rxjava\RxReprintTest.java;C:\Users\cebec\.jnose_projects\reprint\rxjava2\src\main\java\com\github\ajalt\reprint\rxjava2\RxReprint.java;JUnit4;85;8;Assertion Roulette;successfulRequest;46-46;46-46
reprint;RxReprintTest;C:\Users\cebec\.jnose_projects\reprint\tests\src\test\java\com\github\ajalt\reprint\rxjava\RxReprintTest.java;C:\Users\cebec\.jnose_projects\reprint\rxjava2\src\main\java\com\github\ajalt\reprint\rxjava2\RxReprint.java;JUnit4;85;8;Assertion Roulette;nonFatalFailure;64-64;64-64
reprint;RxReprintTest;C:\Users\cebec\.jnose_projects\reprint\tests\src\test\java\com\github\ajalt\reprint\rxjava\RxReprintTest.java;C:\Users\cebec\.jnose_projects\reprint\rxjava2\src\main\java\com\github\ajalt\reprint\rxjava2\RxReprint.java;JUnit4;85;8;Assertion Roulette;nonFatalFailure;65-65;65-65
reprint;RxReprintTest;C:\Users\cebec\.jnose_projects\reprint\tests\src\test\java\com\github\ajalt\reprint\rxjava\RxReprintTest.java;C:\Users\cebec\.jnose_projects\reprint\rxjava2\src\main\java\com\github\ajalt\reprint\rxjava2\RxReprint.java;JUnit4;85;8;Assertion Roulette;fatalFailure;74-74;74-74
reprint;RxReprintTest;C:\Users\cebec\.jnose_projects\reprint\tests\src\test\java\com\github\ajalt\reprint\rxjava\RxReprintTest.java;C:\Users\cebec\.jnose_projects\reprint\rxjava2\src\main\java\com\github\ajalt\reprint\rxjava2\RxReprint.java;JUnit4;85;8;Assertion Roulette;fatalFailure;75-75;75-75
reprint;RxReprintTest;C:\Users\cebec\.jnose_projects\reprint\tests\src\test\java\com\github\ajalt\reprint\rxjava\RxReprintTest.java;C:\Users\cebec\.jnose_projects\reprint\rxjava2\src\main\java\com\github\ajalt\reprint\rxjava2\RxReprint.java;JUnit4;85;8;Assertion Roulette;unsubscribe_cancels;81-81;81-81
reprint;RxReprintTest;C:\Users\cebec\.jnose_projects\reprint\tests\src\test\java\com\github\ajalt\reprint\rxjava\RxReprintTest.java;C:\Users\cebec\.jnose_projects\reprint\rxjava2\src\main\java\com\github\ajalt\reprint\rxjava2\RxReprint.java;JUnit4;85;8;Assertion Roulette;unsubscribe_cancels;83-83;83-83
