projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
resa;FileClientTest;C:\Users\cebec\.jnose_projects\resa\resa-core\src\test\java\resa\migrate\FileClientTest.java;C:\Users\cebec\.jnose_projects\resa\resa-core\src\main\java\resa\migrate\FileClient.java;JUnit4;16;1;Unknown Test;testOpenInputStream;11-15;11-15
resa;RedisInputStreamTest;C:\Users\cebec\.jnose_projects\resa\resa-core\src\test\java\resa\migrate\RedisInputStreamTest.java;C:\Users\cebec\.jnose_projects\resa\resa-core\src\main\java\resa\migrate\RedisInputStream.java;JUnit3;36;2;Unknown Test;testCreate;7-31;7-31
resa;RedisInputStreamTest;C:\Users\cebec\.jnose_projects\resa\resa-core\src\test\java\resa\migrate\RedisInputStreamTest.java;C:\Users\cebec\.jnose_projects\resa\resa-core\src\main\java\resa\migrate\RedisInputStream.java;JUnit3;36;2;Eager Test;testCreate;15, 17;15, 17
resa;RedisInputStreamTest;C:\Users\cebec\.jnose_projects\resa\resa-core\src\test\java\resa\migrate\RedisInputStreamTest.java;C:\Users\cebec\.jnose_projects\resa\resa-core\src\main\java\resa\migrate\RedisInputStream.java;JUnit3;36;2;Conditional Test Logic;testCreate;21-23;21-23
resa;RedisInputStreamTest;C:\Users\cebec\.jnose_projects\resa\resa-core\src\test\java\resa\migrate\RedisInputStreamTest.java;C:\Users\cebec\.jnose_projects\resa\resa-core\src\main\java\resa\migrate\RedisInputStream.java;JUnit3;36;2;EmptyTest;testRead;33-35;33-35
resa;RedisInputStreamTest;C:\Users\cebec\.jnose_projects\resa\resa-core\src\test\java\resa\migrate\RedisInputStreamTest.java;C:\Users\cebec\.jnose_projects\resa\resa-core\src\main\java\resa\migrate\RedisInputStream.java;JUnit3;36;2;Exception Catching Throwing;testCreate;15-28;15-28
resa;RedisInputStreamTest;C:\Users\cebec\.jnose_projects\resa\resa-core\src\test\java\resa\migrate\RedisInputStreamTest.java;C:\Users\cebec\.jnose_projects\resa\resa-core\src\main\java\resa\migrate\RedisInputStream.java;JUnit3;36;2;Print Statement;testCreate;27;27
resa;RedisOutputStreamTest;C:\Users\cebec\.jnose_projects\resa\resa-core\src\test\java\resa\migrate\RedisOutputStreamTest.java;C:\Users\cebec\.jnose_projects\resa\resa-core\src\main\java\resa\migrate\RedisOutputStream.java;JUnit4;40;2;Unknown Test;testWrite;11-27;11-27
resa;RedisOutputStreamTest;C:\Users\cebec\.jnose_projects\resa\resa-core\src\test\java\resa\migrate\RedisOutputStreamTest.java;C:\Users\cebec\.jnose_projects\resa\resa-core\src\main\java\resa\migrate\RedisOutputStream.java;JUnit4;40;2;Unknown Test;writeBigFile;29-39;29-39
resa;RedisOutputStreamTest;C:\Users\cebec\.jnose_projects\resa\resa-core\src\test\java\resa\migrate\RedisOutputStreamTest.java;C:\Users\cebec\.jnose_projects\resa\resa-core\src\main\java\resa\migrate\RedisOutputStream.java;JUnit4;40;2;Lazy Test;writeBigFile, testWrite;34, 24;34, 24
resa;RedisOutputStreamTest;C:\Users\cebec\.jnose_projects\resa\resa-core\src\test\java\resa\migrate\RedisOutputStreamTest.java;C:\Users\cebec\.jnose_projects\resa\resa-core\src\main\java\resa\migrate\RedisOutputStream.java;JUnit4;40;2;Eager Test;testWrite;24, 25;24, 25
resa;RedisOutputStreamTest;C:\Users\cebec\.jnose_projects\resa\resa-core\src\test\java\resa\migrate\RedisOutputStreamTest.java;C:\Users\cebec\.jnose_projects\resa\resa-core\src\main\java\resa\migrate\RedisOutputStream.java;JUnit4;40;2;Exception Catching Throwing;testWrite;24-26;24-26
