projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
rulz;WorkshopTest;C:\Users\cebec\.jnose_projects\rulz\em\src\test\java\com\airhacks\rulz\em\WorkshopTest.java;C:\Users\cebec\.jnose_projects\rulz\em\src\test\java\com\airhacks\rulz\em\Workshop.java;JUnit4;48;2;Assertion Roulette;crud;41-41;41-41
rulz;WorkshopTest;C:\Users\cebec\.jnose_projects\rulz\em\src\test\java\com\airhacks\rulz\em\WorkshopTest.java;C:\Users\cebec\.jnose_projects\rulz\em\src\test\java\com\airhacks\rulz\em\Workshop.java;JUnit4;48;2;Assertion Roulette;crud;43-43;43-43
rulz;HttpMatchersTest;C:\Users\cebec\.jnose_projects\rulz\jaxrsclient\src\test\java\com\airhacks\rulz\jaxrsclient\HttpMatchersTest.java;C:\Users\cebec\.jnose_projects\rulz\jaxrsclient\src\main\java\com\airhacks\rulz\jaxrsclient\HttpMatchers.java;JUnit4;93;6;Assertion Roulette;successfulMatcher;43-43;43-43
rulz;HttpMatchersTest;C:\Users\cebec\.jnose_projects\rulz\jaxrsclient\src\test\java\com\airhacks\rulz\jaxrsclient\HttpMatchersTest.java;C:\Users\cebec\.jnose_projects\rulz\jaxrsclient\src\main\java\com\airhacks\rulz\jaxrsclient\HttpMatchers.java;JUnit4;93;6;Assertion Roulette;clientErrorMatcher;53-53;53-53
rulz;HttpMatchersTest;C:\Users\cebec\.jnose_projects\rulz\jaxrsclient\src\test\java\com\airhacks\rulz\jaxrsclient\HttpMatchersTest.java;C:\Users\cebec\.jnose_projects\rulz\jaxrsclient\src\main\java\com\airhacks\rulz\jaxrsclient\HttpMatchers.java;JUnit4;93;6;Assertion Roulette;redirectionErrorMatcher;63-63;63-63
rulz;HttpMatchersTest;C:\Users\cebec\.jnose_projects\rulz\jaxrsclient\src\test\java\com\airhacks\rulz\jaxrsclient\HttpMatchersTest.java;C:\Users\cebec\.jnose_projects\rulz\jaxrsclient\src\main\java\com\airhacks\rulz\jaxrsclient\HttpMatchers.java;JUnit4;93;6;Assertion Roulette;informationalErrorMatcher;73-73;73-73
rulz;HttpMatchersTest;C:\Users\cebec\.jnose_projects\rulz\jaxrsclient\src\test\java\com\airhacks\rulz\jaxrsclient\HttpMatchersTest.java;C:\Users\cebec\.jnose_projects\rulz\jaxrsclient\src\main\java\com\airhacks\rulz\jaxrsclient\HttpMatchers.java;JUnit4;93;6;Assertion Roulette;createdMatcher;82-82;82-82
rulz;HttpMatchersTest;C:\Users\cebec\.jnose_projects\rulz\jaxrsclient\src\test\java\com\airhacks\rulz\jaxrsclient\HttpMatchersTest.java;C:\Users\cebec\.jnose_projects\rulz\jaxrsclient\src\main\java\com\airhacks\rulz\jaxrsclient\HttpMatchers.java;JUnit4;93;6;Assertion Roulette;noContentMatcher;90-90;90-90
rulz;JAXRSClientProviderTest;C:\Users\cebec\.jnose_projects\rulz\jaxrsclient\src\test\java\com\airhacks\rulz\jaxrsclient\JAXRSClientProviderTest.java;C:\Users\cebec\.jnose_projects\rulz\jaxrsclient\src\main\java\com\airhacks\rulz\jaxrsclient\JAXRSClientProvider.java;JUnit4;89;5;Magic Number Test;pingJava;52;52
rulz;JAXRSClientProviderTest;C:\Users\cebec\.jnose_projects\rulz\jaxrsclient\src\test\java\com\airhacks\rulz\jaxrsclient\JAXRSClientProviderTest.java;C:\Users\cebec\.jnose_projects\rulz\jaxrsclient\src\main\java\com\airhacks\rulz\jaxrsclient\JAXRSClientProvider.java;JUnit4;89;5;Lazy Test;buildWithExistingSystemProperty, buildWithNonExistingSystemProperty;83, 71;83, 71
