projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
russianmorphology;EnglishLetterDecoderEncoderTest;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\test\java\org\apache\lucene\morphology\english\EnglishLetterDecoderEncoderTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\main\java\org\apache\lucene\morphology\english\EnglishLetterDecoderEncoder.java;JUnit4;41;3;Assertion Roulette;testDecodeEncodeToArray;34-34;34-34
russianmorphology;EnglishLetterDecoderEncoderTest;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\test\java\org\apache\lucene\morphology\english\EnglishLetterDecoderEncoderTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\main\java\org\apache\lucene\morphology\english\EnglishLetterDecoderEncoder.java;JUnit4;41;3;Assertion Roulette;testDecodeEncodeToArray;35-35;35-35
russianmorphology;EnglishLetterDecoderEncoderTest;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\test\java\org\apache\lucene\morphology\english\EnglishLetterDecoderEncoderTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\main\java\org\apache\lucene\morphology\english\EnglishLetterDecoderEncoder.java;JUnit4;41;3;Assertion Roulette;testDecodeEncodeToArray;36-36;36-36
russianmorphology;EnglishLetterDecoderEncoderTest;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\test\java\org\apache\lucene\morphology\english\EnglishLetterDecoderEncoderTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\main\java\org\apache\lucene\morphology\english\EnglishLetterDecoderEncoder.java;JUnit4;41;3;Assertion Roulette;testDecodeEncodeToArray;37-37;37-37
russianmorphology;EnglishLetterDecoderEncoderTest;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\test\java\org\apache\lucene\morphology\english\EnglishLetterDecoderEncoderTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\main\java\org\apache\lucene\morphology\english\EnglishLetterDecoderEncoder.java;JUnit4;41;3;Assertion Roulette;testDecodeEncodeToArray;38-38;38-38
russianmorphology;EnglishStemmerTest;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\test\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmerTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\main\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmer.java;JUnit4;49;1;Eager Test;testGetStemmedWord;28, 47;28, 47
russianmorphology;EnglishStemmerTest;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\test\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmerTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\main\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmer.java;JUnit4;49;1;Assertion Roulette;testGetStemmedWord;29-29;29-29
russianmorphology;EnglishStemmerTest;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\test\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmerTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\main\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmer.java;JUnit4;49;1;Assertion Roulette;testGetStemmedWord;30-30;30-30
russianmorphology;EnglishStemmerTest;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\test\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmerTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\main\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmer.java;JUnit4;49;1;Assertion Roulette;testGetStemmedWord;31-31;31-31
russianmorphology;EnglishStemmerTest;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\test\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmerTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\main\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmer.java;JUnit4;49;1;Assertion Roulette;testGetStemmedWord;32-32;32-32
russianmorphology;EnglishStemmerTest;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\test\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmerTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\main\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmer.java;JUnit4;49;1;Assertion Roulette;testGetStemmedWord;33-33;33-33
russianmorphology;EnglishStemmerTest;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\test\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmerTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\main\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmer.java;JUnit4;49;1;Assertion Roulette;testGetStemmedWord;34-34;34-34
russianmorphology;EnglishStemmerTest;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\test\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmerTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\main\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmer.java;JUnit4;49;1;Assertion Roulette;testGetStemmedWord;35-35;35-35
russianmorphology;EnglishStemmerTest;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\test\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmerTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\main\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmer.java;JUnit4;49;1;Assertion Roulette;testGetStemmedWord;36-36;36-36
russianmorphology;EnglishStemmerTest;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\test\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmerTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\main\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmer.java;JUnit4;49;1;Assertion Roulette;testGetStemmedWord;37-37;37-37
russianmorphology;EnglishStemmerTest;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\test\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmerTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\main\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmer.java;JUnit4;49;1;Assertion Roulette;testGetStemmedWord;38-38;38-38
russianmorphology;EnglishStemmerTest;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\test\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmerTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\main\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmer.java;JUnit4;49;1;Assertion Roulette;testGetStemmedWord;39-39;39-39
russianmorphology;EnglishStemmerTest;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\test\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmerTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\main\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmer.java;JUnit4;49;1;Assertion Roulette;testGetStemmedWord;40-40;40-40
russianmorphology;EnglishStemmerTest;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\test\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmerTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\main\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmer.java;JUnit4;49;1;Assertion Roulette;testGetStemmedWord;41-41;41-41
russianmorphology;EnglishStemmerTest;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\test\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmerTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\main\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmer.java;JUnit4;49;1;Assertion Roulette;testGetStemmedWord;42-42;42-42
russianmorphology;EnglishStemmerTest;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\test\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmerTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\main\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmer.java;JUnit4;49;1;Assertion Roulette;testGetStemmedWord;43-43;43-43
russianmorphology;EnglishStemmerTest;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\test\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmerTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\main\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmer.java;JUnit4;49;1;Assertion Roulette;testGetStemmedWord;44-44;44-44
russianmorphology;EnglishStemmerTest;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\test\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmerTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\main\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmer.java;JUnit4;49;1;Assertion Roulette;testGetStemmedWord;45-45;45-45
russianmorphology;EnglishStemmerTest;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\test\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmerTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\main\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmer.java;JUnit4;49;1;Assertion Roulette;testGetStemmedWord;46-46;46-46
russianmorphology;EnglishStemmerTest;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\test\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmerTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\english\src\main\java\org\apache\lucene\morphology\english\stemmer\EnglishStemmer.java;JUnit4;49;1;Assertion Roulette;testGetStemmedWord;47-47;47-47
russianmorphology;RussianLetterDecoderEncoderTest;C:\Users\cebec\.jnose_projects\russianmorphology\russian\src\test\java\org\apache\lucene\morphology\russian\RussianLetterDecoderEncoderTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\russian\src\main\java\org\apache\lucene\morphology\russian\RussianLetterDecoderEncoder.java;JUnit4;93;7;Assertion Roulette;testShouldPreserverStringComporision;49-49;49-49
russianmorphology;RussianLetterDecoderEncoderTest;C:\Users\cebec\.jnose_projects\russianmorphology\russian\src\test\java\org\apache\lucene\morphology\russian\RussianLetterDecoderEncoderTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\russian\src\main\java\org\apache\lucene\morphology\russian\RussianLetterDecoderEncoder.java;JUnit4;93;7;Assertion Roulette;testShouldCorrectDecodeEncode;65-65;65-65
russianmorphology;RussianLetterDecoderEncoderTest;C:\Users\cebec\.jnose_projects\russianmorphology\russian\src\test\java\org\apache\lucene\morphology\russian\RussianLetterDecoderEncoderTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\russian\src\main\java\org\apache\lucene\morphology\russian\RussianLetterDecoderEncoder.java;JUnit4;93;7;Assertion Roulette;testShouldCorrectDecodeEncodeStringToArray;79-79;79-79
russianmorphology;RussianLetterDecoderEncoderTest;C:\Users\cebec\.jnose_projects\russianmorphology\russian\src\test\java\org\apache\lucene\morphology\russian\RussianLetterDecoderEncoderTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\russian\src\main\java\org\apache\lucene\morphology\russian\RussianLetterDecoderEncoder.java;JUnit4;93;7;Conditional Test Logic;testShouldPreserverStringComporision;48-50;48-50
russianmorphology;RussianLetterDecoderEncoderTest;C:\Users\cebec\.jnose_projects\russianmorphology\russian\src\test\java\org\apache\lucene\morphology\russian\RussianLetterDecoderEncoderTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\russian\src\main\java\org\apache\lucene\morphology\russian\RussianLetterDecoderEncoder.java;JUnit4;93;7;Conditional Test Logic;testShouldPreserverStringComporision;46-52;46-52
russianmorphology;RussianLetterDecoderEncoderTest;C:\Users\cebec\.jnose_projects\russianmorphology\russian\src\test\java\org\apache\lucene\morphology\russian\RussianLetterDecoderEncoderTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\russian\src\main\java\org\apache\lucene\morphology\russian\RussianLetterDecoderEncoder.java;JUnit4;93;7;Conditional Test Logic;testShouldCorrectDecodeEncode;63-66;63-66
russianmorphology;RussianLetterDecoderEncoderTest;C:\Users\cebec\.jnose_projects\russianmorphology\russian\src\test\java\org\apache\lucene\morphology\russian\RussianLetterDecoderEncoderTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\russian\src\main\java\org\apache\lucene\morphology\russian\RussianLetterDecoderEncoder.java;JUnit4;93;7;Conditional Test Logic;testShouldCorrectDecodeEncode;61-68;61-68
russianmorphology;RussianLetterDecoderEncoderTest;C:\Users\cebec\.jnose_projects\russianmorphology\russian\src\test\java\org\apache\lucene\morphology\russian\RussianLetterDecoderEncoderTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\russian\src\main\java\org\apache\lucene\morphology\russian\RussianLetterDecoderEncoder.java;JUnit4;93;7;Conditional Test Logic;testShouldCorrectDecodeEncodeStringToArray;76-81;76-81
russianmorphology;MorphologyFilterFactoryTest;C:\Users\cebec\.jnose_projects\russianmorphology\solr-morphology-analysis\src\test\java\org\apache\lucene\analysis\morphology\MorphologyFilterFactoryTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\solr-morphology-analysis\src\main\java\org\apache\lucene\analysis\morphology\MorphologyFilterFactory.java;JUnit4;75;7;Lazy Test;if_NoLanguageKey_then_CreateEnglishMorphologyFilter, if_EnglishLanguageKey_then_CreateEnglishMorphologyFilter, if_RussianLanguageKey_then_CreateRussianMorphologyFilter;69, 58, 46;69, 58, 46
russianmorphology;MorphologyFilterFactoryTest;C:\Users\cebec\.jnose_projects\russianmorphology\solr-morphology-analysis\src\test\java\org\apache\lucene\analysis\morphology\MorphologyFilterFactoryTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\solr-morphology-analysis\src\main\java\org\apache\lucene\analysis\morphology\MorphologyFilterFactory.java;JUnit4;75;7;Lazy Test;if_NoLanguageKey_then_CreateEnglishMorphologyFilter, if_EnglishLanguageKey_then_CreateEnglishMorphologyFilter, if_RussianLanguageKey_then_CreateRussianMorphologyFilter;68, 57, 45;68, 57, 45
russianmorphology;MorphologyFilterFactoryTest;C:\Users\cebec\.jnose_projects\russianmorphology\solr-morphology-analysis\src\test\java\org\apache\lucene\analysis\morphology\MorphologyFilterFactoryTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\solr-morphology-analysis\src\main\java\org\apache\lucene\analysis\morphology\MorphologyFilterFactory.java;JUnit4;75;7;Lazy Test;if_NoLanguageKey_then_CreateEnglishMorphologyFilter, if_EnglishLanguageKey_then_CreateEnglishMorphologyFilter, if_RussianLanguageKey_then_CreateRussianMorphologyFilter;71, 60, 48;71, 60, 48
russianmorphology;MorphologyFilterFactoryTest;C:\Users\cebec\.jnose_projects\russianmorphology\solr-morphology-analysis\src\test\java\org\apache\lucene\analysis\morphology\MorphologyFilterFactoryTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\solr-morphology-analysis\src\main\java\org\apache\lucene\analysis\morphology\MorphologyFilterFactory.java;JUnit4;75;7;Eager Test;if_RussianLanguageKey_then_CreateRussianMorphologyFilter;45, 48;45, 48
russianmorphology;MorphologyFilterFactoryTest;C:\Users\cebec\.jnose_projects\russianmorphology\solr-morphology-analysis\src\test\java\org\apache\lucene\analysis\morphology\MorphologyFilterFactoryTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\solr-morphology-analysis\src\main\java\org\apache\lucene\analysis\morphology\MorphologyFilterFactory.java;JUnit4;75;7;Eager Test;if_EnglishLanguageKey_then_CreateEnglishMorphologyFilter;57, 60;57, 60
russianmorphology;MorphologyFilterFactoryTest;C:\Users\cebec\.jnose_projects\russianmorphology\solr-morphology-analysis\src\test\java\org\apache\lucene\analysis\morphology\MorphologyFilterFactoryTest.java;C:\Users\cebec\.jnose_projects\russianmorphology\solr-morphology-analysis\src\main\java\org\apache\lucene\analysis\morphology\MorphologyFilterFactory.java;JUnit4;75;7;Eager Test;if_NoLanguageKey_then_CreateEnglishMorphologyFilter;68, 71;68, 71
