projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
seezoon-framework-all;PropertyUtilTest;C:\Users\cebec\.jnose_projects\seezoon-framework-all\src\test\java\com\seezoon\framework\common\context\support\PropertyUtilTest.java;C:\Users\cebec\.jnose_projects\seezoon-framework-all\src\main\java\com\seezoon\framework\common\context\utils\PropertyUtil.java;JUnit4;14;1;Unknown Test;t1;9-13;9-13
seezoon-framework-all;PropertyUtilTest;C:\Users\cebec\.jnose_projects\seezoon-framework-all\src\test\java\com\seezoon\framework\common\context\support\PropertyUtilTest.java;C:\Users\cebec\.jnose_projects\seezoon-framework-all\src\main\java\com\seezoon\framework\common\context\utils\PropertyUtil.java;JUnit4;14;1;Print Statement;t1;11;11
seezoon-framework-all;PropertyUtilTest;C:\Users\cebec\.jnose_projects\seezoon-framework-all\src\test\java\com\seezoon\framework\common\context\support\PropertyUtilTest.java;C:\Users\cebec\.jnose_projects\seezoon-framework-all\src\main\java\com\seezoon\framework\common\context\utils\PropertyUtil.java;JUnit4;14;1;Print Statement;t1;12;12
seezoon-framework-all;FreeMarkerUtilsTest;C:\Users\cebec\.jnose_projects\seezoon-framework-all\src\test\java\com\seezoon\framework\common\utils\FreeMarkerUtilsTest.java;C:\Users\cebec\.jnose_projects\seezoon-framework-all\src\main\java\com\seezoon\framework\common\utils\FreeMarkerUtils.java;JUnit4;30;1;Unknown Test;t1;12-27;12-27
seezoon-framework-all;FreeMarkerUtilsTest;C:\Users\cebec\.jnose_projects\seezoon-framework-all\src\test\java\com\seezoon\framework\common\utils\FreeMarkerUtilsTest.java;C:\Users\cebec\.jnose_projects\seezoon-framework-all\src\main\java\com\seezoon\framework\common\utils\FreeMarkerUtils.java;JUnit4;30;1;Print Statement;t1;26;26
seezoon-framework-all;KaptchaHelperTest;C:\Users\cebec\.jnose_projects\seezoon-framework-all\src\test\java\com\seezoon\framework\common\utils\KaptchaHelperTest.java;C:\Users\cebec\.jnose_projects\seezoon-framework-all\src\main\java\com\seezoon\framework\common\utils\KaptchaHelper.java;JUnit4;16;1;Unknown Test;test;10-14;10-14
seezoon-framework-all;KaptchaHelperTest;C:\Users\cebec\.jnose_projects\seezoon-framework-all\src\test\java\com\seezoon\framework\common\utils\KaptchaHelperTest.java;C:\Users\cebec\.jnose_projects\seezoon-framework-all\src\main\java\com\seezoon\framework\common\utils\KaptchaHelper.java;JUnit4;16;1;Eager Test;test;12, 13;12, 13
seezoon-framework-all;ZxingHelperTest;C:\Users\cebec\.jnose_projects\seezoon-framework-all\src\test\java\com\seezoon\framework\common\utils\ZxingHelperTest.java;C:\Users\cebec\.jnose_projects\seezoon-framework-all\src\main\java\com\seezoon\framework\common\utils\ZxingHelper.java;JUnit4;26;2;Unknown Test;test;12-23;12-23
seezoon-framework-all;ZxingHelperTest;C:\Users\cebec\.jnose_projects\seezoon-framework-all\src\test\java\com\seezoon\framework\common\utils\ZxingHelperTest.java;C:\Users\cebec\.jnose_projects\seezoon-framework-all\src\main\java\com\seezoon\framework\common\utils\ZxingHelper.java;JUnit4;26;2;Resource Optimism;test;12-23;12-23
seezoon-framework-all;ZxingHelperTest;C:\Users\cebec\.jnose_projects\seezoon-framework-all\src\test\java\com\seezoon\framework\common\utils\ZxingHelperTest.java;C:\Users\cebec\.jnose_projects\seezoon-framework-all\src\main\java\com\seezoon\framework\common\utils\ZxingHelper.java;JUnit4;26;2;Eager Test;test;14, 18;14, 18
seezoon-framework-all;ZxingHelperTest;C:\Users\cebec\.jnose_projects\seezoon-framework-all\src\test\java\com\seezoon\framework\common\utils\ZxingHelperTest.java;C:\Users\cebec\.jnose_projects\seezoon-framework-all\src\main\java\com\seezoon\framework\common\utils\ZxingHelper.java;JUnit4;26;2;Exception Catching Throwing;test;15-22;15-22
seezoon-framework-all;ZxingHelperTest;C:\Users\cebec\.jnose_projects\seezoon-framework-all\src\test\java\com\seezoon\framework\common\utils\ZxingHelperTest.java;C:\Users\cebec\.jnose_projects\seezoon-framework-all\src\main\java\com\seezoon\framework\common\utils\ZxingHelper.java;JUnit4;26;2;Mystery Guest;test;12-23;12-23
seezoon-framework-all;ZxingHelperTest;C:\Users\cebec\.jnose_projects\seezoon-framework-all\src\test\java\com\seezoon\framework\common\utils\ZxingHelperTest.java;C:\Users\cebec\.jnose_projects\seezoon-framework-all\src\main\java\com\seezoon\framework\common\utils\ZxingHelper.java;JUnit4;26;2;Print Statement;test;18;18
