projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
service-4ncov;FileControllerTest;C:\Users\cebec\.jnose_projects\service-4ncov\src\test\java\com\ncov\module\controller\FileControllerTest.java;C:\Users\cebec\.jnose_projects\service-4ncov\src\main\java\com\ncov\module\controller\FileController.java;JUnit5;53;4;Assertion Roulette;should_return_date_and_image_url_and_message_when_upload_image;49-49;49-49
service-4ncov;FileControllerTest;C:\Users\cebec\.jnose_projects\service-4ncov\src\test\java\com\ncov\module\controller\FileControllerTest.java;C:\Users\cebec\.jnose_projects\service-4ncov\src\main\java\com\ncov\module\controller\FileController.java;JUnit5;53;4;Assertion Roulette;should_return_date_and_image_url_and_message_when_upload_image;50-50;50-50
service-4ncov;FileControllerTest;C:\Users\cebec\.jnose_projects\service-4ncov\src\test\java\com\ncov\module\controller\FileControllerTest.java;C:\Users\cebec\.jnose_projects\service-4ncov\src\main\java\com\ncov\module\controller\FileController.java;JUnit5;53;4;Assertion Roulette;should_return_date_and_image_url_and_message_when_upload_image;51-51;51-51
service-4ncov;FileServiceTest;C:\Users\cebec\.jnose_projects\service-4ncov\src\test\java\com\ncov\module\service\FileServiceTest.java;C:\Users\cebec\.jnose_projects\service-4ncov\src\main\java\com\ncov\module\service\FileService.java;JUnit5;59;6;Assertion Roulette;should_return_image_url_when_upload_image_given_category_and_image_file;39-39;39-39
service-4ncov;FileServiceTest;C:\Users\cebec\.jnose_projects\service-4ncov\src\test\java\com\ncov\module\service\FileServiceTest.java;C:\Users\cebec\.jnose_projects\service-4ncov\src\main\java\com\ncov\module\service\FileService.java;JUnit5;59;6;Assertion Roulette;should_upload_the_image_with_correct_name_when_upload_image;49-49;49-49
service-4ncov;FileServiceTest;C:\Users\cebec\.jnose_projects\service-4ncov\src\test\java\com\ncov\module\service\FileServiceTest.java;C:\Users\cebec\.jnose_projects\service-4ncov\src\main\java\com\ncov\module\service\FileService.java;JUnit5;59;6;Assertion Roulette;should_upload_the_image_with_correct_name_when_upload_image;50-50;50-50
service-4ncov;HospitalServiceTest;C:\Users\cebec\.jnose_projects\service-4ncov\src\test\java\com\ncov\module\service\HospitalServiceTest.java;C:\Users\cebec\.jnose_projects\service-4ncov\src\main\java\com\ncov\module\service\HospitalService.java;JUnit5;99;7;Assertion Roulette;should_return_hospital_response_when_sign_up_given_sign_up_request;51-51;51-51
service-4ncov;HospitalServiceTest;C:\Users\cebec\.jnose_projects\service-4ncov\src\test\java\com\ncov\module\service\HospitalServiceTest.java;C:\Users\cebec\.jnose_projects\service-4ncov\src\main\java\com\ncov\module\service\HospitalService.java;JUnit5;99;7;Assertion Roulette;should_return_hospital_response_when_sign_up_given_sign_up_request;52-52;52-52
service-4ncov;HospitalServiceTest;C:\Users\cebec\.jnose_projects\service-4ncov\src\test\java\com\ncov\module\service\HospitalServiceTest.java;C:\Users\cebec\.jnose_projects\service-4ncov\src\main\java\com\ncov\module\service\HospitalService.java;JUnit5;99;7;Assertion Roulette;should_return_hospital_response_when_sign_up_given_sign_up_request;53-53;53-53
service-4ncov;HospitalServiceTest;C:\Users\cebec\.jnose_projects\service-4ncov\src\test\java\com\ncov\module\service\HospitalServiceTest.java;C:\Users\cebec\.jnose_projects\service-4ncov\src\main\java\com\ncov\module\service\HospitalService.java;JUnit5;99;7;Assertion Roulette;should_return_hospital_response_when_sign_up_given_sign_up_request;54-54;54-54
