projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
simm-lib;ScheduleTest;C:\Users\cebec\.jnose_projects\simm-lib\schedule\src\test\java\com\acadiasoft\im\ScheduleTest.java;C:\Users\cebec\.jnose_projects\simm-lib\schedule\src\main\java\com\acadiasoft\im\schedule\engine\Schedule.java;JUnit4;77;4;Magic Number Test;testNettingWorksAsExpected;49;49
simm-lib;ScheduleTest;C:\Users\cebec\.jnose_projects\simm-lib\schedule\src\test\java\com\acadiasoft\im\ScheduleTest.java;C:\Users\cebec\.jnose_projects\simm-lib\schedule\src\main\java\com\acadiasoft\im\schedule\engine\Schedule.java;JUnit4;77;4;Magic Number Test;testNettingWorksAsExpectedPv;57;57
simm-lib;ScheduleTest;C:\Users\cebec\.jnose_projects\simm-lib\schedule\src\test\java\com\acadiasoft\im\ScheduleTest.java;C:\Users\cebec\.jnose_projects\simm-lib\schedule\src\main\java\com\acadiasoft\im\schedule\engine\Schedule.java;JUnit4;77;4;Magic Number Test;testNotionalBeingGottenFromTradeFields;64;64
simm-lib;ScheduleTest;C:\Users\cebec\.jnose_projects\simm-lib\schedule\src\test\java\com\acadiasoft\im\ScheduleTest.java;C:\Users\cebec\.jnose_projects\simm-lib\schedule\src\main\java\com\acadiasoft\im\schedule\engine\Schedule.java;JUnit4;77;4;Magic Number Test;testNettingAndAbsoluteNotional;74;74
simm-lib;ScheduleTest;C:\Users\cebec\.jnose_projects\simm-lib\schedule\src\test\java\com\acadiasoft\im\ScheduleTest.java;C:\Users\cebec\.jnose_projects\simm-lib\schedule\src\main\java\com\acadiasoft\im\schedule\engine\Schedule.java;JUnit4;77;4;Lazy Test;testNettingAndAbsoluteNotional, testNotionalBeingGottenFromTradeFields, testNettingWorksAsExpectedPv, testNettingWorksAsExpected;74, 64, 57, 49;74, 64, 57, 49
simm-lib;ScheduleTest;C:\Users\cebec\.jnose_projects\simm-lib\schedule\src\test\java\com\acadiasoft\im\ScheduleTest.java;C:\Users\cebec\.jnose_projects\simm-lib\schedule\src\main\java\com\acadiasoft\im\schedule\engine\Schedule.java;JUnit4;77;4;Assertion Roulette;testNettingWorksAsExpected;49-49;49-49
simm-lib;ScheduleTest;C:\Users\cebec\.jnose_projects\simm-lib\schedule\src\test\java\com\acadiasoft\im\ScheduleTest.java;C:\Users\cebec\.jnose_projects\simm-lib\schedule\src\main\java\com\acadiasoft\im\schedule\engine\Schedule.java;JUnit4;77;4;Assertion Roulette;testNettingWorksAsExpectedPv;57-57;57-57
simm-lib;ScheduleTest;C:\Users\cebec\.jnose_projects\simm-lib\schedule\src\test\java\com\acadiasoft\im\ScheduleTest.java;C:\Users\cebec\.jnose_projects\simm-lib\schedule\src\main\java\com\acadiasoft\im\schedule\engine\Schedule.java;JUnit4;77;4;Assertion Roulette;testNotionalBeingGottenFromTradeFields;64-64;64-64
simm-lib;ScheduleTest;C:\Users\cebec\.jnose_projects\simm-lib\schedule\src\test\java\com\acadiasoft\im\ScheduleTest.java;C:\Users\cebec\.jnose_projects\simm-lib\schedule\src\main\java\com\acadiasoft\im\schedule\engine\Schedule.java;JUnit4;77;4;Assertion Roulette;testNettingAndAbsoluteNotional;74-74;74-74
simm-lib;AddOnSubTypeTest;C:\Users\cebec\.jnose_projects\simm-lib\simm\src\test\java\com\acadiasoft\im\simm\model\imtree\identifier\AddOnSubTypeTest.java;C:\Users\cebec\.jnose_projects\simm-lib\simm\src\main\java\com\acadiasoft\im\simm\model\imtree\identifiers\AddOnSubType.java;JUnit4;39;1;Assertion Roulette;testAddOnType1;36-36;36-36
simm-lib;RiskClassTest;C:\Users\cebec\.jnose_projects\simm-lib\simm\src\test\java\com\acadiasoft\im\simm\model\param\RiskClassTest.java;C:\Users\cebec\.jnose_projects\simm-lib\simm\src\main\java\com\acadiasoft\im\simm\model\imtree\identifiers\RiskClass.java;JUnit4;52;2;Lazy Test;testGetByLabelUnknown, testRiskType;50, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33;50, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33
