projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
slice;TestBasicSliceInput;C:\Users\cebec\.jnose_projects\slice\src\test\java\io\airlift\slice\TestBasicSliceInput.java;C:\Users\cebec\.jnose_projects\slice\src\main\java\io\airlift\slice\BasicSliceInput.java;JUnit5;37;2;Assertion Roulette;testRetainedSize;35-35;35-35
slice;TestFnvHash;C:\Users\cebec\.jnose_projects\slice\src\test\java\io\airlift\slice\TestFnvHash.java;C:\Users\cebec\.jnose_projects\slice\src\main\java\io\airlift\slice\FnvHash.java;JUnit5;84;2;Assertion Roulette;testFNVHash32;46-46;46-46
slice;TestFnvHash;C:\Users\cebec\.jnose_projects\slice\src\test\java\io\airlift\slice\TestFnvHash.java;C:\Users\cebec\.jnose_projects\slice\src\main\java\io\airlift\slice\FnvHash.java;JUnit5;84;2;Assertion Roulette;testFNVHash32;50-50;50-50
slice;TestFnvHash;C:\Users\cebec\.jnose_projects\slice\src\test\java\io\airlift\slice\TestFnvHash.java;C:\Users\cebec\.jnose_projects\slice\src\main\java\io\airlift\slice\FnvHash.java;JUnit5;84;2;Assertion Roulette;testFNVHash64;77-77;77-77
slice;TestFnvHash;C:\Users\cebec\.jnose_projects\slice\src\test\java\io\airlift\slice\TestFnvHash.java;C:\Users\cebec\.jnose_projects\slice\src\main\java\io\airlift\slice\FnvHash.java;JUnit5;84;2;Assertion Roulette;testFNVHash64;81-81;81-81
slice;TestFnvHash;C:\Users\cebec\.jnose_projects\slice\src\test\java\io\airlift\slice\TestFnvHash.java;C:\Users\cebec\.jnose_projects\slice\src\main\java\io\airlift\slice\FnvHash.java;JUnit5;84;2;Conditional Test Logic;testFNVHash32;48-51;48-51
slice;TestFnvHash;C:\Users\cebec\.jnose_projects\slice\src\test\java\io\airlift\slice\TestFnvHash.java;C:\Users\cebec\.jnose_projects\slice\src\main\java\io\airlift\slice\FnvHash.java;JUnit5;84;2;Conditional Test Logic;testFNVHash64;79-82;79-82
slice;TestInputStreamSliceInput;C:\Users\cebec\.jnose_projects\slice\src\test\java\io\airlift\slice\TestInputStreamSliceInput.java;C:\Users\cebec\.jnose_projects\slice\src\main\java\io\airlift\slice\InputStreamSliceInput.java;JUnit5;157;17;IgnoredTest;testReadReverse;35-38;35-38
slice;TestInputStreamSliceInput;C:\Users\cebec\.jnose_projects\slice\src\test\java\io\airlift\slice\TestInputStreamSliceInput.java;C:\Users\cebec\.jnose_projects\slice\src\main\java\io\airlift\slice\InputStreamSliceInput.java;JUnit5;157;17;Eager Test;testRetainedSize;148, 149;148, 149
slice;TestInputStreamSliceInput;C:\Users\cebec\.jnose_projects\slice\src\test\java\io\airlift\slice\TestInputStreamSliceInput.java;C:\Users\cebec\.jnose_projects\slice\src\main\java\io\airlift\slice\InputStreamSliceInput.java;JUnit5;157;17;Assertion Roulette;testEmptyInput;44-44;44-44
slice;TestInputStreamSliceInput;C:\Users\cebec\.jnose_projects\slice\src\test\java\io\airlift\slice\TestInputStreamSliceInput.java;C:\Users\cebec\.jnose_projects\slice\src\main\java\io\airlift\slice\InputStreamSliceInput.java;JUnit5;157;17;Assertion Roulette;testEmptyRead;51-51;51-51
slice;TestInputStreamSliceInput;C:\Users\cebec\.jnose_projects\slice\src\test\java\io\airlift\slice\TestInputStreamSliceInput.java;C:\Users\cebec\.jnose_projects\slice\src\main\java\io\airlift\slice\InputStreamSliceInput.java;JUnit5;157;17;Assertion Roulette;testEncodingBoolean;85-85;85-85
slice;TestInputStreamSliceInput;C:\Users\cebec\.jnose_projects\slice\src\test\java\io\airlift\slice\TestInputStreamSliceInput.java;C:\Users\cebec\.jnose_projects\slice\src\main\java\io\airlift\slice\InputStreamSliceInput.java;JUnit5;157;17;Assertion Roulette;testEncodingBoolean;86-86;86-86
slice;TestInputStreamSliceInput;C:\Users\cebec\.jnose_projects\slice\src\test\java\io\airlift\slice\TestInputStreamSliceInput.java;C:\Users\cebec\.jnose_projects\slice\src\main\java\io\airlift\slice\InputStreamSliceInput.java;JUnit5;157;17;Assertion Roulette;testEncodingByte;92-92;92-92
slice;TestInputStreamSliceInput;C:\Users\cebec\.jnose_projects\slice\src\test\java\io\airlift\slice\TestInputStreamSliceInput.java;C:\Users\cebec\.jnose_projects\slice\src\main\java\io\airlift\slice\InputStreamSliceInput.java;JUnit5;157;17;Assertion Roulette;testEncodingByte;93-93;93-93
