projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
sonar-bsl-plugin-community;BSLCoreSensorTest;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\test\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensorTest.java;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\main\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensor.java;JUnit5;275;15;IgnoredTest;testDescriptor;58-68;58-68
sonar-bsl-plugin-community;BSLCoreSensorTest;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\test\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensorTest.java;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\main\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensor.java;JUnit5;275;15;IgnoredTest;testExecute;70-130;70-130
sonar-bsl-plugin-community;BSLCoreSensorTest;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\test\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensorTest.java;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\main\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensor.java;JUnit5;275;15;IgnoredTest;testExecuteCastDiagnosticParameterValue;132-161;132-161
sonar-bsl-plugin-community;BSLCoreSensorTest;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\test\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensorTest.java;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\main\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensor.java;JUnit5;275;15;IgnoredTest;testExecuteCoverage;163-183;163-183
sonar-bsl-plugin-community;BSLCoreSensorTest;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\test\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensorTest.java;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\main\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensor.java;JUnit5;275;15;IgnoredTest;testComplexity;185-211;185-211
sonar-bsl-plugin-community;BSLCoreSensorTest;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\test\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensorTest.java;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\main\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensor.java;JUnit5;275;15;IgnoredTest;testCPD;213-235;213-235
sonar-bsl-plugin-community;BSLCoreSensorTest;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\test\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensorTest.java;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\main\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensor.java;JUnit5;275;15;Verbose Test;testExecute;70-130;70-130
sonar-bsl-plugin-community;BSLCoreSensorTest;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\test\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensorTest.java;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\main\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensor.java;JUnit5;275;15;Lazy Test;testComplexity, testExecuteCoverage, testExecute;203, 180, 126, 116, 104, 95, 87;203, 180, 126, 116, 104, 95, 87
sonar-bsl-plugin-community;BSLCoreSensorTest;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\test\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensorTest.java;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\main\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensor.java;JUnit5;275;15;Lazy Test;testCPD, testComplexity, testExecuteCoverage, testExecuteCastDiagnosticParameterValue, testExecute, testDescriptor;222, 201, 179, 157, 125, 115, 103, 94, 86, 62;222, 201, 179, 157, 125, 115, 103, 94, 86, 62
sonar-bsl-plugin-community;BSLCoreSensorTest;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\test\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensorTest.java;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\main\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensor.java;JUnit5;275;15;Duplicate Assert;testExecute;89, 97, 106, 118, 128;89, 97, 106, 118, 128
sonar-bsl-plugin-community;BSLCoreSensorTest;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\test\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensorTest.java;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\main\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensor.java;JUnit5;275;15;Duplicate Assert;testCPD;226, 229, 232;226, 229, 232
sonar-bsl-plugin-community;BSLCoreSensorTest;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\test\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensorTest.java;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\main\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensor.java;JUnit5;275;15;Eager Test;testExecute;103, 115, 125, 126, 86, 94;103, 115, 125, 126, 86, 94
sonar-bsl-plugin-community;BSLCoreSensorTest;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\test\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensorTest.java;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\main\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensor.java;JUnit5;275;15;Eager Test;testExecuteCoverage;179, 180;179, 180
sonar-bsl-plugin-community;BSLCoreSensorTest;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\test\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensorTest.java;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\main\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensor.java;JUnit5;275;15;Eager Test;testComplexity;201, 203;201, 203
sonar-bsl-plugin-community;BSLCoreSensorTest;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\test\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensorTest.java;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\main\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensor.java;JUnit5;275;15;Assertion Roulette;testDescriptor;66-66;66-66
sonar-bsl-plugin-community;BSLCoreSensorTest;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\test\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensorTest.java;C:\Users\cebec\.jnose_projects\sonar-bsl-plugin-community\src\main\java\com\github\_1c_syntax\bsl\sonar\BSLCoreSensor.java;JUnit5;275;15;Assertion Roulette;testDescriptor;67-67;67-67
