projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
sonar-build-breaker;ForbiddenConfigurationBreakerTest;C:\Users\cebec\.jnose_projects\sonar-build-breaker\src\test\java\org\sonar\plugins\buildbreaker\ForbiddenConfigurationBreakerTest.java;C:\Users\cebec\.jnose_projects\sonar-build-breaker\src\main\java\org\sonar\plugins\buildbreaker\ForbiddenConfigurationBreaker.java;JUnit4;98;7;Unknown Test;shouldNotFailWithoutAnyForbiddenConfSet;53-60;53-60
sonar-build-breaker;ForbiddenConfigurationBreakerTest;C:\Users\cebec\.jnose_projects\sonar-build-breaker\src\test\java\org\sonar\plugins\buildbreaker\ForbiddenConfigurationBreakerTest.java;C:\Users\cebec\.jnose_projects\sonar-build-breaker\src\main\java\org\sonar\plugins\buildbreaker\ForbiddenConfigurationBreaker.java;JUnit4;98;7;Unknown Test;shouldFailIfForbiddenPropertyIsSet;62-73;62-73
sonar-build-breaker;ForbiddenConfigurationBreakerTest;C:\Users\cebec\.jnose_projects\sonar-build-breaker\src\test\java\org\sonar\plugins\buildbreaker\ForbiddenConfigurationBreakerTest.java;C:\Users\cebec\.jnose_projects\sonar-build-breaker\src\main\java\org\sonar\plugins\buildbreaker\ForbiddenConfigurationBreaker.java;JUnit4;98;7;Unknown Test;shouldNotFailIfForbiddenPropertyValueIsDifferent;75-84;75-84
sonar-build-breaker;ForbiddenConfigurationBreakerTest;C:\Users\cebec\.jnose_projects\sonar-build-breaker\src\test\java\org\sonar\plugins\buildbreaker\ForbiddenConfigurationBreakerTest.java;C:\Users\cebec\.jnose_projects\sonar-build-breaker\src\main\java\org\sonar\plugins\buildbreaker\ForbiddenConfigurationBreaker.java;JUnit4;98;7;Unknown Test;shouldFailIfForbiddenBooleanPropertyIsSet;86-97;86-97
sonar-build-breaker;ForbiddenConfigurationBreakerTest;C:\Users\cebec\.jnose_projects\sonar-build-breaker\src\test\java\org\sonar\plugins\buildbreaker\ForbiddenConfigurationBreakerTest.java;C:\Users\cebec\.jnose_projects\sonar-build-breaker\src\main\java\org\sonar\plugins\buildbreaker\ForbiddenConfigurationBreaker.java;JUnit4;98;7;Lazy Test;shouldFailIfForbiddenBooleanPropertyIsSet, shouldNotFailIfForbiddenPropertyValueIsDifferent, shouldFailIfForbiddenPropertyIsSet, shouldNotFailWithoutAnyForbiddenConfSet, testShouldExecuteFailure, testShouldExecuteSuccess;96, 82, 72, 58, 50, 42;96, 82, 72, 58, 50, 42
sonar-build-breaker;ForbiddenConfigurationBreakerTest;C:\Users\cebec\.jnose_projects\sonar-build-breaker\src\test\java\org\sonar\plugins\buildbreaker\ForbiddenConfigurationBreakerTest.java;C:\Users\cebec\.jnose_projects\sonar-build-breaker\src\main\java\org\sonar\plugins\buildbreaker\ForbiddenConfigurationBreaker.java;JUnit4;98;7;Assertion Roulette;testShouldExecuteSuccess;42-42;42-42
sonar-build-breaker;ForbiddenConfigurationBreakerTest;C:\Users\cebec\.jnose_projects\sonar-build-breaker\src\test\java\org\sonar\plugins\buildbreaker\ForbiddenConfigurationBreakerTest.java;C:\Users\cebec\.jnose_projects\sonar-build-breaker\src\main\java\org\sonar\plugins\buildbreaker\ForbiddenConfigurationBreaker.java;JUnit4;98;7;Assertion Roulette;testShouldExecuteFailure;50-50;50-50
sonar-build-breaker;QualityGateBreakerTest;C:\Users\cebec\.jnose_projects\sonar-build-breaker\src\test\java\org\sonar\plugins\buildbreaker\QualityGateBreakerTest.java;C:\Users\cebec\.jnose_projects\sonar-build-breaker\src\main\java\org\sonar\plugins\buildbreaker\QualityGateBreaker.java;JUnit4;410;21;Unknown Test;testNoReportTaskTxtFile;124-135;124-135
sonar-build-breaker;QualityGateBreakerTest;C:\Users\cebec\.jnose_projects\sonar-build-breaker\src\test\java\org\sonar\plugins\buildbreaker\QualityGateBreakerTest.java;C:\Users\cebec\.jnose_projects\sonar-build-breaker\src\main\java\org\sonar\plugins\buildbreaker\QualityGateBreaker.java;JUnit4;410;21;Unknown Test;testQueryMaxAttemptsReached;141-150;141-150
sonar-build-breaker;QualityGateBreakerTest;C:\Users\cebec\.jnose_projects\sonar-build-breaker\src\test\java\org\sonar\plugins\buildbreaker\QualityGateBreakerTest.java;C:\Users\cebec\.jnose_projects\sonar-build-breaker\src\main\java\org\sonar\plugins\buildbreaker\QualityGateBreaker.java;JUnit4;410;21;Unknown Test;testSingleQueryInProgressStatus;152-175;152-175
