projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
sos-importer;OfferingTest;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\test\java\org\n52\sos\importer\feeder\model\OfferingTest.java;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\main\java\org\n52\sos\importer\feeder\model\Offering.java;JUnit4;53;2;Lazy Test;should_set_uri_for_offering, should_set_name_for_offering;50, 42;50, 42
sos-importer;OfferingTest;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\test\java\org\n52\sos\importer\feeder\model\OfferingTest.java;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\main\java\org\n52\sos\importer\feeder\model\Offering.java;JUnit4;53;2;Eager Test;should_set_name_for_offering;42, 43;42, 43
sos-importer;OfferingTest;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\test\java\org\n52\sos\importer\feeder\model\OfferingTest.java;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\main\java\org\n52\sos\importer\feeder\model\Offering.java;JUnit4;53;2;Eager Test;should_set_uri_for_offering;50, 51;50, 51
sos-importer;OfferingTest;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\test\java\org\n52\sos\importer\feeder\model\OfferingTest.java;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\main\java\org\n52\sos\importer\feeder\model\Offering.java;JUnit4;53;2;Assertion Roulette;should_set_name_for_offering;43-43;43-43
sos-importer;OfferingTest;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\test\java\org\n52\sos\importer\feeder\model\OfferingTest.java;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\main\java\org\n52\sos\importer\feeder\model\Offering.java;JUnit4;53;2;Assertion Roulette;should_set_uri_for_offering;51-51;51-51
sos-importer;InsertObservationTest;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\test\java\org\n52\sos\importer\feeder\model\requests\InsertObservationTest.java;C:\Users\cebec\.jnose_projects\sos-importer\wizard\src\main\java\org\n52\sos\importer\model\requests\InsertObservation.java;JUnit4;61;2;Lazy Test;shouldReturnFalseIfAltitudeIsNotAvailable, shouldReturnTrueIfAltitudeIsAvailable;58, 55, 46;58, 55, 46
sos-importer;InsertObservationTest;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\test\java\org\n52\sos\importer\feeder\model\requests\InsertObservationTest.java;C:\Users\cebec\.jnose_projects\sos-importer\wizard\src\main\java\org\n52\sos\importer\model\requests\InsertObservation.java;JUnit4;61;2;Duplicate Assert;shouldReturnFalseIfAltitudeIsNotAvailable;55, 58;55, 58
sos-importer;InsertObservationTest;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\test\java\org\n52\sos\importer\feeder\model\requests\InsertObservationTest.java;C:\Users\cebec\.jnose_projects\sos-importer\wizard\src\main\java\org\n52\sos\importer\model\requests\InsertObservation.java;JUnit4;61;2;Assertion Roulette;shouldReturnTrueIfAltitudeIsAvailable;46-46;46-46
sos-importer;InsertObservationTest;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\test\java\org\n52\sos\importer\feeder\model\requests\InsertObservationTest.java;C:\Users\cebec\.jnose_projects\sos-importer\wizard\src\main\java\org\n52\sos\importer\model\requests\InsertObservation.java;JUnit4;61;2;Assertion Roulette;shouldReturnTrueIfAltitudeIsAvailable;47-47;47-47
sos-importer;InsertObservationTest;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\test\java\org\n52\sos\importer\feeder\model\requests\InsertObservationTest.java;C:\Users\cebec\.jnose_projects\sos-importer\wizard\src\main\java\org\n52\sos\importer\model\requests\InsertObservation.java;JUnit4;61;2;Assertion Roulette;shouldReturnFalseIfAltitudeIsNotAvailable;55-55;55-55
sos-importer;InsertObservationTest;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\test\java\org\n52\sos\importer\feeder\model\requests\InsertObservationTest.java;C:\Users\cebec\.jnose_projects\sos-importer\wizard\src\main\java\org\n52\sos\importer\model\requests\InsertObservation.java;JUnit4;61;2;Assertion Roulette;shouldReturnFalseIfAltitudeIsNotAvailable;58-58;58-58
sos-importer;TimeSeriesRepositoryTest;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\test\java\org\n52\sos\importer\feeder\model\TimeSeriesRepositoryTest.java;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\main\java\org\n52\sos\importer\feeder\model\TimeSeriesRepository.java;JUnit4;66;1;Magic Number Test;shouldReturnRegisterSensorForCorrectSensor;62;62
sos-importer;TimeSeriesRepositoryTest;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\test\java\org\n52\sos\importer\feeder\model\TimeSeriesRepositoryTest.java;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\main\java\org\n52\sos\importer\feeder\model\TimeSeriesRepository.java;JUnit4;66;1;Eager Test;shouldReturnRegisterSensorForCorrectSensor;45, 60;45, 60
sos-importer;TimeSeriesRepositoryTest;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\test\java\org\n52\sos\importer\feeder\model\TimeSeriesRepositoryTest.java;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\main\java\org\n52\sos\importer\feeder\model\TimeSeriesRepository.java;JUnit4;66;1;Assertion Roulette;shouldReturnRegisterSensorForCorrectSensor;61-61;61-61
sos-importer;TimeSeriesRepositoryTest;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\test\java\org\n52\sos\importer\feeder\model\TimeSeriesRepositoryTest.java;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\main\java\org\n52\sos\importer\feeder\model\TimeSeriesRepository.java;JUnit4;66;1;Assertion Roulette;shouldReturnRegisterSensorForCorrectSensor;62-62;62-62
sos-importer;TimeSeriesRepositoryTest;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\test\java\org\n52\sos\importer\feeder\model\TimeSeriesRepositoryTest.java;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\main\java\org\n52\sos\importer\feeder\model\TimeSeriesRepository.java;JUnit4;66;1;Assertion Roulette;shouldReturnRegisterSensorForCorrectSensor;63-63;63-63
sos-importer;TimestampTest;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\test\java\org\n52\sos\importer\feeder\model\TimestampTest.java;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\main\java\org\n52\sos\importer\feeder\model\Timestamp.java;JUnit4;206;16;Magic Number Test;shouldCreateDateFromTimestamp;87;87
sos-importer;TimestampTest;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\test\java\org\n52\sos\importer\feeder\model\TimestampTest.java;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\main\java\org\n52\sos\importer\feeder\model\Timestamp.java;JUnit4;206;16;Sensitive Equality;shouldSetAllValuesViaSetLong;79-79;79-79
sos-importer;TimestampTest;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\test\java\org\n52\sos\importer\feeder\model\TimestampTest.java;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\main\java\org\n52\sos\importer\feeder\model\Timestamp.java;JUnit4;206;16;Sensitive Equality;shouldGetAdditionalTimestampValuesFromFileName;99-99;99-99
sos-importer;TimestampTest;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\test\java\org\n52\sos\importer\feeder\model\TimestampTest.java;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\main\java\org\n52\sos\importer\feeder\model\Timestamp.java;JUnit4;206;16;Sensitive Equality;shouldReturnSameValueIfParametersAreInvalid;107-107;107-107
sos-importer;TimestampTest;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\test\java\org\n52\sos\importer\feeder\model\TimestampTest.java;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\main\java\org\n52\sos\importer\feeder\model\Timestamp.java;JUnit4;206;16;Sensitive Equality;shouldReturnSameValueIfParametersAreInvalid;111-111;111-111
sos-importer;TimestampTest;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\test\java\org\n52\sos\importer\feeder\model\TimestampTest.java;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\main\java\org\n52\sos\importer\feeder\model\Timestamp.java;JUnit4;206;16;Sensitive Equality;shouldReturnSameValueIfParametersAreInvalid;115-115;115-115
sos-importer;TimestampTest;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\test\java\org\n52\sos\importer\feeder\model\TimestampTest.java;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\main\java\org\n52\sos\importer\feeder\model\Timestamp.java;JUnit4;206;16;Sensitive Equality;shouldReturnSameValueIfParametersAreInvalid;119-119;119-119
sos-importer;TimestampTest;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\test\java\org\n52\sos\importer\feeder\model\TimestampTest.java;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\main\java\org\n52\sos\importer\feeder\model\Timestamp.java;JUnit4;206;16;Sensitive Equality;shouldReturnSameValueIfParametersAreInvalid;123-123;123-123
sos-importer;TimestampTest;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\test\java\org\n52\sos\importer\feeder\model\TimestampTest.java;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\main\java\org\n52\sos\importer\feeder\model\Timestamp.java;JUnit4;206;16;Sensitive Equality;shouldReturnSameValueIfParametersAreInvalid;127-127;127-127
sos-importer;TimestampTest;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\test\java\org\n52\sos\importer\feeder\model\TimestampTest.java;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\main\java\org\n52\sos\importer\feeder\model\Timestamp.java;JUnit4;206;16;Lazy Test;shouldEnrichDateInformationFromOtherTimeStamp, shouldEnrichWithLastModificationDateWithLastModifiedDayDeltaWithYearChange, shouldEnrichWithLastModificationDateWithLastModifiedDayDelta, shouldEnrichWithLastModificationDate;169, 159, 147, 135;169, 159, 147, 135
sos-importer;TimestampTest;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\test\java\org\n52\sos\importer\feeder\model\TimestampTest.java;C:\Users\cebec\.jnose_projects\sos-importer\feeder\src\main\java\org\n52\sos\importer\feeder\model\Timestamp.java;JUnit4;206;16;Lazy Test;shouldReturnSameValueIfParametersAreInvalid, shouldGetAdditionalTimestampValuesFromFileName;126, 122, 118, 114, 110, 106, 97;126, 122, 118, 114, 110, 106, 97
