projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
spring-boot-graal-feature;SampleApplicationTests;C:\Users\cebec\.jnose_projects\spring-boot-graal-feature\samples\vanilla-jpa\src\test\java\app\main\SampleApplicationTests.java;C:\Users\cebec\.jnose_projects\spring-boot-graal-feature\samples\vanilla-tx\src\main\java\app\main\SampleApplication.java;JUnit4;52;4;Unknown Test;test;47-50;47-50
spring-boot-graal-feature;ProcessLauncherStateTests;C:\Users\cebec\.jnose_projects\spring-boot-graal-feature\samples\vanilla-orm\src\test\java\app\main\ProcessLauncherStateTests.java;C:\Users\cebec\.jnose_projects\spring-boot-graal-feature\samples\vanilla-orm\src\test\java\app\main\ProcessLauncherState.java;JUnit5;59;1;Sensitive Equality;vanilla;54-54;54-54
spring-boot-graal-feature;ProcessLauncherStateTests;C:\Users\cebec\.jnose_projects\spring-boot-graal-feature\samples\vanilla-orm\src\test\java\app\main\ProcessLauncherStateTests.java;C:\Users\cebec\.jnose_projects\spring-boot-graal-feature\samples\vanilla-orm\src\test\java\app\main\ProcessLauncherState.java;JUnit5;59;1;Eager Test;vanilla;36, 56;36, 56
spring-boot-graal-feature;ProcessLauncherStateTests;C:\Users\cebec\.jnose_projects\spring-boot-graal-feature\samples\vanilla-orm\src\test\java\app\main\ProcessLauncherStateTests.java;C:\Users\cebec\.jnose_projects\spring-boot-graal-feature\samples\vanilla-orm\src\test\java\app\main\ProcessLauncherState.java;JUnit5;59;1;Assertion Roulette;vanilla;54-54;54-54
spring-boot-graal-feature;ProcessLauncherStateTests;C:\Users\cebec\.jnose_projects\spring-boot-graal-feature\samples\vanilla-orm\src\test\java\app\main\ProcessLauncherStateTests.java;C:\Users\cebec\.jnose_projects\spring-boot-graal-feature\samples\vanilla-orm\src\test\java\app\main\ProcessLauncherState.java;JUnit5;59;1;Assertion Roulette;vanilla;55-55;55-55
spring-boot-graal-feature;ProcessLauncherStateTests;C:\Users\cebec\.jnose_projects\spring-boot-graal-feature\samples\vanilla-orm\src\test\java\app\main\ProcessLauncherStateTests.java;C:\Users\cebec\.jnose_projects\spring-boot-graal-feature\samples\vanilla-orm\src\test\java\app\main\ProcessLauncherState.java;JUnit5;59;1;Assertion Roulette;vanilla;56-56;56-56
spring-boot-graal-feature;SampleApplicationTests;C:\Users\cebec\.jnose_projects\spring-boot-graal-feature\samples\vanilla-orm\src\test\java\app\main\SampleApplicationTests.java;C:\Users\cebec\.jnose_projects\spring-boot-graal-feature\samples\vanilla-tx\src\main\java\app\main\SampleApplication.java;JUnit4;52;4;Unknown Test;test;47-50;47-50
spring-boot-graal-feature;SampleApplicationTests;C:\Users\cebec\.jnose_projects\spring-boot-graal-feature\samples\vanilla-rabbit\src\test\java\app\main\SampleApplicationTests.java;C:\Users\cebec\.jnose_projects\spring-boot-graal-feature\samples\vanilla-tx\src\main\java\app\main\SampleApplication.java;JUnit5;36;1;EmptyTest;test;32-34;32-34
spring-boot-graal-feature;ApplicationTests;C:\Users\cebec\.jnose_projects\spring-boot-graal-feature\samples\vanilla-thymeleaf\src\test\java\hello\ApplicationTests.java;C:\Users\cebec\.jnose_projects\spring-boot-graal-feature\samples\vanilla-thymeleaf\src\main\java\hello\Application.java;JUnit4;54;4;Unknown Test;homePage;34-39;34-39
spring-boot-graal-feature;ApplicationTests;C:\Users\cebec\.jnose_projects\spring-boot-graal-feature\samples\vanilla-thymeleaf\src\test\java\hello\ApplicationTests.java;C:\Users\cebec\.jnose_projects\spring-boot-graal-feature\samples\vanilla-thymeleaf\src\main\java\hello\Application.java;JUnit4;54;4;Unknown Test;greeting;41-45;41-45
