projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
spring-thrift-starter;TGreetingServiceHandlerTests;C:\Users\cebec\.jnose_projects\spring-thrift-starter\examples\simple-client\src\test\java\info\developerblog\examples\thirft\simpleclient\TGreetingServiceHandlerTests.java;C:\Users\cebec\.jnose_projects\spring-thrift-starter\examples\simple-handler\src\main\java\info\developerblog\examples\thirft\simpleclient\TGreetingServiceHandler.java;JUnit5;109;15;Unknown Test;testMappedClient;61-64;61-64
spring-thrift-starter;TGreetingServiceHandlerTests;C:\Users\cebec\.jnose_projects\spring-thrift-starter\examples\simple-client\src\test\java\info\developerblog\examples\thirft\simpleclient\TGreetingServiceHandlerTests.java;C:\Users\cebec\.jnose_projects\spring-thrift-starter\examples\simple-handler\src\main\java\info\developerblog\examples\thirft\simpleclient\TGreetingServiceHandler.java;JUnit5;109;15;Magic Number Test;testClientWithDefaultRetries;87;87
spring-thrift-starter;TGreetingServiceHandlerTests;C:\Users\cebec\.jnose_projects\spring-thrift-starter\examples\simple-client\src\test\java\info\developerblog\examples\thirft\simpleclient\TGreetingServiceHandlerTests.java;C:\Users\cebec\.jnose_projects\spring-thrift-starter\examples\simple-handler\src\main\java\info\developerblog\examples\thirft\simpleclient\TGreetingServiceHandler.java;JUnit5;109;15;Magic Number Test;testClientWithMultipleRetries;98;98
spring-thrift-starter;TGreetingServiceHandlerTests;C:\Users\cebec\.jnose_projects\spring-thrift-starter\examples\simple-client\src\test\java\info\developerblog\examples\thirft\simpleclient\TGreetingServiceHandlerTests.java;C:\Users\cebec\.jnose_projects\spring-thrift-starter\examples\simple-handler\src\main\java\info\developerblog\examples\thirft\simpleclient\TGreetingServiceHandler.java;JUnit5;109;15;Assertion Roulette;testSimpleCall;51-51;51-51
spring-thrift-starter;TGreetingServiceHandlerTests;C:\Users\cebec\.jnose_projects\spring-thrift-starter\examples\simple-client\src\test\java\info\developerblog\examples\thirft\simpleclient\TGreetingServiceHandlerTests.java;C:\Users\cebec\.jnose_projects\spring-thrift-starter\examples\simple-handler\src\main\java\info\developerblog\examples\thirft\simpleclient\TGreetingServiceHandler.java;JUnit5;109;15;Assertion Roulette;testClientWithDefaultRetries;87-87;87-87
spring-thrift-starter;TGreetingServiceHandlerTests;C:\Users\cebec\.jnose_projects\spring-thrift-starter\examples\simple-client\src\test\java\info\developerblog\examples\thirft\simpleclient\TGreetingServiceHandlerTests.java;C:\Users\cebec\.jnose_projects\spring-thrift-starter\examples\simple-handler\src\main\java\info\developerblog\examples\thirft\simpleclient\TGreetingServiceHandler.java;JUnit5;109;15;Assertion Roulette;testClientWithMultipleRetries;98-98;98-98
spring-thrift-starter;TGreetingServiceHandlerTests;C:\Users\cebec\.jnose_projects\spring-thrift-starter\examples\simple-client\src\test\java\info\developerblog\examples\thirft\simpleclient\TGreetingServiceHandlerTests.java;C:\Users\cebec\.jnose_projects\spring-thrift-starter\examples\simple-handler\src\main\java\info\developerblog\examples\thirft\simpleclient\TGreetingServiceHandler.java;JUnit5;109;15;Assertion Roulette;testClientThreadCount;104-104;104-104
spring-thrift-starter;TGreetingServiceHandlerTests;C:\Users\cebec\.jnose_projects\spring-thrift-starter\examples\simple-client\src\test\java\info\developerblog\examples\thirft\simpleclient\TGreetingServiceHandlerTests.java;C:\Users\cebec\.jnose_projects\spring-thrift-starter\examples\simple-handler\src\main\java\info\developerblog\examples\thirft\simpleclient\TGreetingServiceHandler.java;JUnit5;109;15;Assertion Roulette;testClientThreadCount;105-105;105-105
spring-thrift-starter;TGreetingServiceHandlerTests;C:\Users\cebec\.jnose_projects\spring-thrift-starter\examples\simple-client\src\test\java\info\developerblog\examples\thirft\simpleclient\TGreetingServiceHandlerTests.java;C:\Users\cebec\.jnose_projects\spring-thrift-starter\examples\simple-handler\src\main\java\info\developerblog\examples\thirft\simpleclient\TGreetingServiceHandler.java;JUnit5;109;15;Assertion Roulette;testClientThreadCount;106-106;106-106
spring-thrift-starter;TGreetingServiceHandlerTests;C:\Users\cebec\.jnose_projects\spring-thrift-starter\examples\simple-client\src\test\java\info\developerblog\examples\thirft\simpleclient\TGreetingServiceHandlerTests.java;C:\Users\cebec\.jnose_projects\spring-thrift-starter\examples\simple-handler\src\main\java\info\developerblog\examples\thirft\simpleclient\TGreetingServiceHandler.java;JUnit5;109;15;Exception Catching Throwing;testClientWithDefaultRetries;83-88;83-88
spring-thrift-starter;TGreetingServiceHandlerTests;C:\Users\cebec\.jnose_projects\spring-thrift-starter\examples\simple-client\src\test\java\info\developerblog\examples\thirft\simpleclient\TGreetingServiceHandlerTests.java;C:\Users\cebec\.jnose_projects\spring-thrift-starter\examples\simple-handler\src\main\java\info\developerblog\examples\thirft\simpleclient\TGreetingServiceHandler.java;JUnit5;109;15;Exception Catching Throwing;testClientWithMultipleRetries;94-99;94-99
spring-thrift-starter;TGreetingServiceHandlerTests;C:\Users\cebec\.jnose_projects\spring-thrift-starter\examples\simple-handler\src\test\java\info\developerblog\examples\thirft\simpleclient\TGreetingServiceHandlerTests.java;C:\Users\cebec\.jnose_projects\spring-thrift-starter\examples\simple-handler\src\main\java\info\developerblog\examples\thirft\simpleclient\TGreetingServiceHandler.java;JUnit5;60;7;Assertion Roulette;testSimpleCall;51-51;51-51
