projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
spring-workflow;RoleExpressionEvaluatorTest;C:\Users\cebec\.jnose_projects\spring-workflow\src\test\java\org\springframework\extensions\workflow\instance\permissions\evaluator\RoleExpressionEvaluatorTest.java;C:\Users\cebec\.jnose_projects\spring-workflow\src\main\java\org\springframework\extensions\workflow\instance\permissions\evaluator\RoleExpressionEvaluator.java;JUnit4;64;12;Assertion Roulette;testSimple;20-20;20-20
spring-workflow;RoleExpressionEvaluatorTest;C:\Users\cebec\.jnose_projects\spring-workflow\src\test\java\org\springframework\extensions\workflow\instance\permissions\evaluator\RoleExpressionEvaluatorTest.java;C:\Users\cebec\.jnose_projects\spring-workflow\src\main\java\org\springframework\extensions\workflow\instance\permissions\evaluator\RoleExpressionEvaluator.java;JUnit4;64;12;Assertion Roulette;testSimple;21-21;21-21
spring-workflow;RoleExpressionEvaluatorTest;C:\Users\cebec\.jnose_projects\spring-workflow\src\test\java\org\springframework\extensions\workflow\instance\permissions\evaluator\RoleExpressionEvaluatorTest.java;C:\Users\cebec\.jnose_projects\spring-workflow\src\main\java\org\springframework\extensions\workflow\instance\permissions\evaluator\RoleExpressionEvaluator.java;JUnit4;64;12;Assertion Roulette;testSimple;22-22;22-22
spring-workflow;RoleExpressionEvaluatorTest;C:\Users\cebec\.jnose_projects\spring-workflow\src\test\java\org\springframework\extensions\workflow\instance\permissions\evaluator\RoleExpressionEvaluatorTest.java;C:\Users\cebec\.jnose_projects\spring-workflow\src\main\java\org\springframework\extensions\workflow\instance\permissions\evaluator\RoleExpressionEvaluator.java;JUnit4;64;12;Assertion Roulette;testSimple;23-23;23-23
spring-workflow;RoleExpressionEvaluatorTest;C:\Users\cebec\.jnose_projects\spring-workflow\src\test\java\org\springframework\extensions\workflow\instance\permissions\evaluator\RoleExpressionEvaluatorTest.java;C:\Users\cebec\.jnose_projects\spring-workflow\src\main\java\org\springframework\extensions\workflow\instance\permissions\evaluator\RoleExpressionEvaluator.java;JUnit4;64;12;Assertion Roulette;testSimple;24-24;24-24
spring-workflow;RoleExpressionEvaluatorTest;C:\Users\cebec\.jnose_projects\spring-workflow\src\test\java\org\springframework\extensions\workflow\instance\permissions\evaluator\RoleExpressionEvaluatorTest.java;C:\Users\cebec\.jnose_projects\spring-workflow\src\main\java\org\springframework\extensions\workflow\instance\permissions\evaluator\RoleExpressionEvaluator.java;JUnit4;64;12;Assertion Roulette;testSimple;25-25;25-25
spring-workflow;RoleExpressionEvaluatorTest;C:\Users\cebec\.jnose_projects\spring-workflow\src\test\java\org\springframework\extensions\workflow\instance\permissions\evaluator\RoleExpressionEvaluatorTest.java;C:\Users\cebec\.jnose_projects\spring-workflow\src\main\java\org\springframework\extensions\workflow\instance\permissions\evaluator\RoleExpressionEvaluator.java;JUnit4;64;12;Assertion Roulette;testSimple;26-26;26-26
spring-workflow;RoleExpressionEvaluatorTest;C:\Users\cebec\.jnose_projects\spring-workflow\src\test\java\org\springframework\extensions\workflow\instance\permissions\evaluator\RoleExpressionEvaluatorTest.java;C:\Users\cebec\.jnose_projects\spring-workflow\src\main\java\org\springframework\extensions\workflow\instance\permissions\evaluator\RoleExpressionEvaluator.java;JUnit4;64;12;Assertion Roulette;testConjunction;31-31;31-31
spring-workflow;RoleExpressionEvaluatorTest;C:\Users\cebec\.jnose_projects\spring-workflow\src\test\java\org\springframework\extensions\workflow\instance\permissions\evaluator\RoleExpressionEvaluatorTest.java;C:\Users\cebec\.jnose_projects\spring-workflow\src\main\java\org\springframework\extensions\workflow\instance\permissions\evaluator\RoleExpressionEvaluator.java;JUnit4;64;12;Assertion Roulette;testConjunction;32-32;32-32
spring-workflow;RoleExpressionEvaluatorTest;C:\Users\cebec\.jnose_projects\spring-workflow\src\test\java\org\springframework\extensions\workflow\instance\permissions\evaluator\RoleExpressionEvaluatorTest.java;C:\Users\cebec\.jnose_projects\spring-workflow\src\main\java\org\springframework\extensions\workflow\instance\permissions\evaluator\RoleExpressionEvaluator.java;JUnit4;64;12;Assertion Roulette;testConjunction;33-33;33-33
