projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
sql2o;ArrayParametersTest;C:\Users\cebec\.jnose_projects\sql2o\core\src\test\java\org\sql2o\ArrayParametersTest.java;C:\Users\cebec\.jnose_projects\sql2o\core\src\main\java\org\sql2o\ArrayParameters.java;JUnit4;179;3;Magic Number Test;testComputeNewIndex;40;40
sql2o;ArrayParametersTest;C:\Users\cebec\.jnose_projects\sql2o\core\src\test\java\org\sql2o\ArrayParametersTest.java;C:\Users\cebec\.jnose_projects\sql2o\core\src\main\java\org\sql2o\ArrayParameters.java;JUnit4;179;3;Magic Number Test;testComputeNewIndex;42;42
sql2o;ArrayParametersTest;C:\Users\cebec\.jnose_projects\sql2o\core\src\test\java\org\sql2o\ArrayParametersTest.java;C:\Users\cebec\.jnose_projects\sql2o\core\src\main\java\org\sql2o\ArrayParameters.java;JUnit4;179;3;Magic Number Test;testComputeNewIndex;50;50
sql2o;ArrayParametersTest;C:\Users\cebec\.jnose_projects\sql2o\core\src\test\java\org\sql2o\ArrayParametersTest.java;C:\Users\cebec\.jnose_projects\sql2o\core\src\main\java\org\sql2o\ArrayParameters.java;JUnit4;179;3;Magic Number Test;testComputeNewIndex;52;52
sql2o;ArrayParametersTest;C:\Users\cebec\.jnose_projects\sql2o\core\src\test\java\org\sql2o\ArrayParametersTest.java;C:\Users\cebec\.jnose_projects\sql2o\core\src\main\java\org\sql2o\ArrayParameters.java;JUnit4;179;3;Magic Number Test;testComputeNewIndex;60;60
sql2o;ArrayParametersTest;C:\Users\cebec\.jnose_projects\sql2o\core\src\test\java\org\sql2o\ArrayParametersTest.java;C:\Users\cebec\.jnose_projects\sql2o\core\src\main\java\org\sql2o\ArrayParameters.java;JUnit4;179;3;Magic Number Test;testComputeNewIndex;62;62
sql2o;ArrayParametersTest;C:\Users\cebec\.jnose_projects\sql2o\core\src\test\java\org\sql2o\ArrayParametersTest.java;C:\Users\cebec\.jnose_projects\sql2o\core\src\main\java\org\sql2o\ArrayParameters.java;JUnit4;179;3;Magic Number Test;testComputeNewIndex;70;70
sql2o;ArrayParametersTest;C:\Users\cebec\.jnose_projects\sql2o\core\src\test\java\org\sql2o\ArrayParametersTest.java;C:\Users\cebec\.jnose_projects\sql2o\core\src\main\java\org\sql2o\ArrayParameters.java;JUnit4;179;3;Magic Number Test;testComputeNewIndex;72;72
sql2o;ArrayParametersTest;C:\Users\cebec\.jnose_projects\sql2o\core\src\test\java\org\sql2o\ArrayParametersTest.java;C:\Users\cebec\.jnose_projects\sql2o\core\src\main\java\org\sql2o\ArrayParameters.java;JUnit4;179;3;Magic Number Test;testComputeNewIndex;81;81
sql2o;ArrayParametersTest;C:\Users\cebec\.jnose_projects\sql2o\core\src\test\java\org\sql2o\ArrayParametersTest.java;C:\Users\cebec\.jnose_projects\sql2o\core\src\main\java\org\sql2o\ArrayParameters.java;JUnit4;179;3;Magic Number Test;testComputeNewIndex;83;83
