projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
stream-lib;TestLookup3Hash;C:\Users\cebec\.jnose_projects\stream-lib\src\test\java\com\clearspring\analytics\hash\TestLookup3Hash.java;C:\Users\cebec\.jnose_projects\stream-lib\src\main\java\com\clearspring\analytics\hash\Lookup3Hash.java;JUnit4;114;3;Unknown Test;testHash;86-111;86-111
stream-lib;TestLookup3Hash;C:\Users\cebec\.jnose_projects\stream-lib\src\test\java\com\clearspring\analytics\hash\TestLookup3Hash.java;C:\Users\cebec\.jnose_projects\stream-lib\src\main\java\com\clearspring\analytics\hash\Lookup3Hash.java;JUnit4;114;3;Assertion Roulette;testEqualsLOOKUP3;56-56;56-56
stream-lib;TestLookup3Hash;C:\Users\cebec\.jnose_projects\stream-lib\src\test\java\com\clearspring\analytics\hash\TestLookup3Hash.java;C:\Users\cebec\.jnose_projects\stream-lib\src\main\java\com\clearspring\analytics\hash\Lookup3Hash.java;JUnit4;114;3;Assertion Roulette;testEqualsLOOKUP3;58-58;58-58
stream-lib;TestLookup3Hash;C:\Users\cebec\.jnose_projects\stream-lib\src\test\java\com\clearspring\analytics\hash\TestLookup3Hash.java;C:\Users\cebec\.jnose_projects\stream-lib\src\main\java\com\clearspring\analytics\hash\Lookup3Hash.java;JUnit4;114;3;Assertion Roulette;testEqualsLOOKUP3;60-60;60-60
stream-lib;TestLookup3Hash;C:\Users\cebec\.jnose_projects\stream-lib\src\test\java\com\clearspring\analytics\hash\TestLookup3Hash.java;C:\Users\cebec\.jnose_projects\stream-lib\src\main\java\com\clearspring\analytics\hash\Lookup3Hash.java;JUnit4;114;3;Conditional Test Logic;testEqualsLOOKUP3;52-61;52-61
stream-lib;TestLookup3Hash;C:\Users\cebec\.jnose_projects\stream-lib\src\test\java\com\clearspring\analytics\hash\TestLookup3Hash.java;C:\Users\cebec\.jnose_projects\stream-lib\src\main\java\com\clearspring\analytics\hash\Lookup3Hash.java;JUnit4;114;3;Conditional Test Logic;testHash;103-105;103-105
stream-lib;TestLookup3Hash;C:\Users\cebec\.jnose_projects\stream-lib\src\test\java\com\clearspring\analytics\hash\TestLookup3Hash.java;C:\Users\cebec\.jnose_projects\stream-lib\src\main\java\com\clearspring\analytics\hash\Lookup3Hash.java;JUnit4;114;3;Conditional Test Logic;testHash;101-107;101-107
stream-lib;TestLookup3Hash;C:\Users\cebec\.jnose_projects\stream-lib\src\test\java\com\clearspring\analytics\hash\TestLookup3Hash.java;C:\Users\cebec\.jnose_projects\stream-lib\src\main\java\com\clearspring\analytics\hash\Lookup3Hash.java;JUnit4;114;3;Conditional Test Logic;testHash;99-110;99-110
stream-lib;TestMurmurHash;C:\Users\cebec\.jnose_projects\stream-lib\src\test\java\com\clearspring\analytics\hash\TestMurmurHash.java;C:\Users\cebec\.jnose_projects\stream-lib\src\main\java\com\clearspring\analytics\hash\MurmurHash.java;JUnit4;73;4;Lazy Test;testHash64, testHash64ByteArrayOverload;60, 53, 49, 47;60, 53, 49, 47
stream-lib;TestMurmurHash;C:\Users\cebec\.jnose_projects\stream-lib\src\test\java\com\clearspring\analytics\hash\TestMurmurHash.java;C:\Users\cebec\.jnose_projects\stream-lib\src\main\java\com\clearspring\analytics\hash\MurmurHash.java;JUnit4;73;4;Lazy Test;testHash, testHashByteArrayOverload;68, 39, 35, 33;68, 39, 35, 33
stream-lib;RegisterSetTest;C:\Users\cebec\.jnose_projects\stream-lib\src\test\java\com\clearspring\analytics\stream\cardinality\RegisterSetTest.java;C:\Users\cebec\.jnose_projects\stream-lib\src\main\java\com\clearspring\analytics\stream\cardinality\RegisterSet.java;JUnit4;105;5;Magic Number Test;testGetAndSet;31;31
stream-lib;RegisterSetTest;C:\Users\cebec\.jnose_projects\stream-lib\src\test\java\com\clearspring\analytics\stream\cardinality\RegisterSetTest.java;C:\Users\cebec\.jnose_projects\stream-lib\src\main\java\com\clearspring\analytics\stream\cardinality\RegisterSet.java;JUnit4;105;5;Magic Number Test;testGetAndSet_allPositions;39;39
stream-lib;RegisterSetTest;C:\Users\cebec\.jnose_projects\stream-lib\src\test\java\com\clearspring\analytics\stream\cardinality\RegisterSetTest.java;C:\Users\cebec\.jnose_projects\stream-lib\src\main\java\com\clearspring\analytics\stream\cardinality\RegisterSet.java;JUnit4;105;5;Magic Number Test;testGetAndSet_withSmallBits;47;47
stream-lib;RegisterSetTest;C:\Users\cebec\.jnose_projects\stream-lib\src\test\java\com\clearspring\analytics\stream\cardinality\RegisterSetTest.java;C:\Users\cebec\.jnose_projects\stream-lib\src\main\java\com\clearspring\analytics\stream\cardinality\RegisterSet.java;JUnit4;105;5;Lazy Test;testMergeUsingUpdate, testMerge;97, 89, 62;97, 89, 62
stream-lib;RegisterSetTest;C:\Users\cebec\.jnose_projects\stream-lib\src\test\java\com\clearspring\analytics\stream\cardinality\RegisterSetTest.java;C:\Users\cebec\.jnose_projects\stream-lib\src\main\java\com\clearspring\analytics\stream\cardinality\RegisterSet.java;JUnit4;105;5;Lazy Test;testGetAndSet_withSmallBits, testGetAndSet_allPositions, testGetAndSet;46, 38, 30;46, 38, 30
stream-lib;RegisterSetTest;C:\Users\cebec\.jnose_projects\stream-lib\src\test\java\com\clearspring\analytics\stream\cardinality\RegisterSetTest.java;C:\Users\cebec\.jnose_projects\stream-lib\src\main\java\com\clearspring\analytics\stream\cardinality\RegisterSet.java;JUnit4;105;5;Lazy Test;testMergeUsingUpdate, testMerge, testGetAndSet_withSmallBits, testGetAndSet_allPositions, testGetAndSet;102, 73, 47, 39, 31;102, 73, 47, 39, 31
stream-lib;RegisterSetTest;C:\Users\cebec\.jnose_projects\stream-lib\src\test\java\com\clearspring\analytics\stream\cardinality\RegisterSetTest.java;C:\Users\cebec\.jnose_projects\stream-lib\src\main\java\com\clearspring\analytics\stream\cardinality\RegisterSet.java;JUnit4;105;5;Lazy Test;testMergeUsingUpdate, testMerge, testGetAndSet_withSmallBits, testGetAndSet_allPositions, testGetAndSet;94, 85, 81, 67, 58, 54, 45, 36, 29;94, 85, 81, 67, 58, 54, 45, 36, 29
stream-lib;RegisterSetTest;C:\Users\cebec\.jnose_projects\stream-lib\src\test\java\com\clearspring\analytics\stream\cardinality\RegisterSetTest.java;C:\Users\cebec\.jnose_projects\stream-lib\src\main\java\com\clearspring\analytics\stream\cardinality\RegisterSet.java;JUnit4;105;5;Eager Test;testGetAndSet;29, 31;29, 31
