projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
styx;RedisTest;C:\Users\cebec\.jnose_projects\styx\src\test\java\com\crowdriff\styx\RedisTest.java;C:\Users\cebec\.jnose_projects\styx\src\main\java\com\crowdriff\styx\Redis.java;JUnit4;37;5;Magic Number Test;testSize;27;27
styx;RedisTest;C:\Users\cebec\.jnose_projects\styx\src\test\java\com\crowdriff\styx\RedisTest.java;C:\Users\cebec\.jnose_projects\styx\src\main\java\com\crowdriff\styx\Redis.java;JUnit4;37;5;Magic Number Test;testRemove;34;34
styx;RedisTest;C:\Users\cebec\.jnose_projects\styx\src\test\java\com\crowdriff\styx\RedisTest.java;C:\Users\cebec\.jnose_projects\styx\src\main\java\com\crowdriff\styx\Redis.java;JUnit4;37;5;Lazy Test;testRemove, testSize;34, 27;34, 27
styx;RedisTest;C:\Users\cebec\.jnose_projects\styx\src\test\java\com\crowdriff\styx\RedisTest.java;C:\Users\cebec\.jnose_projects\styx\src\main\java\com\crowdriff\styx\Redis.java;JUnit4;37;5;Lazy Test;testRemove, testGet;32, 21;32, 21
styx;RedisTest;C:\Users\cebec\.jnose_projects\styx\src\test\java\com\crowdriff\styx\RedisTest.java;C:\Users\cebec\.jnose_projects\styx\src\main\java\com\crowdriff\styx\Redis.java;JUnit4;37;5;Eager Test;testRemove;32, 33, 34;32, 33, 34
styx;RedisTest;C:\Users\cebec\.jnose_projects\styx\src\test\java\com\crowdriff\styx\RedisTest.java;C:\Users\cebec\.jnose_projects\styx\src\main\java\com\crowdriff\styx\Redis.java;JUnit4;37;5;Assertion Roulette;testGet;22-22;22-22
styx;RedisTest;C:\Users\cebec\.jnose_projects\styx\src\test\java\com\crowdriff\styx\RedisTest.java;C:\Users\cebec\.jnose_projects\styx\src\main\java\com\crowdriff\styx\Redis.java;JUnit4;37;5;Assertion Roulette;testSize;27-27;27-27
styx;RedisTest;C:\Users\cebec\.jnose_projects\styx\src\test\java\com\crowdriff\styx\RedisTest.java;C:\Users\cebec\.jnose_projects\styx\src\main\java\com\crowdriff\styx\Redis.java;JUnit4;37;5;Assertion Roulette;testRemove;34-34;34-34
styx;StyxQueueTest;C:\Users\cebec\.jnose_projects\styx\src\test\java\com\crowdriff\styx\StyxQueueTest.java;C:\Users\cebec\.jnose_projects\styx\src\main\java\com\crowdriff\styx\StyxQueue.java;JUnit4;93;10;Magic Number Test;testPutOneEach;36;36
styx;StyxQueueTest;C:\Users\cebec\.jnose_projects\styx\src\test\java\com\crowdriff\styx\StyxQueueTest.java;C:\Users\cebec\.jnose_projects\styx\src\main\java\com\crowdriff\styx\StyxQueue.java;JUnit4;93;10;Magic Number Test;testPutTwoEach;47;47
styx;StyxQueueTest;C:\Users\cebec\.jnose_projects\styx\src\test\java\com\crowdriff\styx\StyxQueueTest.java;C:\Users\cebec\.jnose_projects\styx\src\main\java\com\crowdriff\styx\StyxQueue.java;JUnit4;93;10;Magic Number Test;testQueueSizeMethod;76;76
styx;StyxQueueTest;C:\Users\cebec\.jnose_projects\styx\src\test\java\com\crowdriff\styx\StyxQueueTest.java;C:\Users\cebec\.jnose_projects\styx\src\main\java\com\crowdriff\styx\StyxQueue.java;JUnit4;93;10;Magic Number Test;testQueueSizeMethod;79;79
styx;StyxQueueTest;C:\Users\cebec\.jnose_projects\styx\src\test\java\com\crowdriff\styx\StyxQueueTest.java;C:\Users\cebec\.jnose_projects\styx\src\main\java\com\crowdriff\styx\StyxQueue.java;JUnit4;93;10;Magic Number Test;testQueueSizeMethod;82;82
styx;StyxQueueTest;C:\Users\cebec\.jnose_projects\styx\src\test\java\com\crowdriff\styx\StyxQueueTest.java;C:\Users\cebec\.jnose_projects\styx\src\main\java\com\crowdriff\styx\StyxQueue.java;JUnit4;93;10;Duplicate Assert;testGetOneEach;55, 56, 57;55, 56, 57
styx;StyxQueueTest;C:\Users\cebec\.jnose_projects\styx\src\test\java\com\crowdriff\styx\StyxQueueTest.java;C:\Users\cebec\.jnose_projects\styx\src\main\java\com\crowdriff\styx\StyxQueue.java;JUnit4;93;10;Duplicate Assert;testGetTwoEach;65, 66, 67, 68, 69, 70;65, 66, 67, 68, 69, 70
styx;StyxQueueTest;C:\Users\cebec\.jnose_projects\styx\src\test\java\com\crowdriff\styx\StyxQueueTest.java;C:\Users\cebec\.jnose_projects\styx\src\main\java\com\crowdriff\styx\StyxQueue.java;JUnit4;93;10;Assertion Roulette;testPutOneEach;36-36;36-36
styx;StyxQueueTest;C:\Users\cebec\.jnose_projects\styx\src\test\java\com\crowdriff\styx\StyxQueueTest.java;C:\Users\cebec\.jnose_projects\styx\src\main\java\com\crowdriff\styx\StyxQueue.java;JUnit4;93;10;Assertion Roulette;testPutTwoEach;47-47;47-47
styx;StyxQueueTest;C:\Users\cebec\.jnose_projects\styx\src\test\java\com\crowdriff\styx\StyxQueueTest.java;C:\Users\cebec\.jnose_projects\styx\src\main\java\com\crowdriff\styx\StyxQueue.java;JUnit4;93;10;Assertion Roulette;testGetOneEach;55-55;55-55
styx;StyxQueueTest;C:\Users\cebec\.jnose_projects\styx\src\test\java\com\crowdriff\styx\StyxQueueTest.java;C:\Users\cebec\.jnose_projects\styx\src\main\java\com\crowdriff\styx\StyxQueue.java;JUnit4;93;10;Assertion Roulette;testGetOneEach;56-56;56-56
styx;StyxQueueTest;C:\Users\cebec\.jnose_projects\styx\src\test\java\com\crowdriff\styx\StyxQueueTest.java;C:\Users\cebec\.jnose_projects\styx\src\main\java\com\crowdriff\styx\StyxQueue.java;JUnit4;93;10;Assertion Roulette;testGetOneEach;57-57;57-57
styx;StyxQueueTest;C:\Users\cebec\.jnose_projects\styx\src\test\java\com\crowdriff\styx\StyxQueueTest.java;C:\Users\cebec\.jnose_projects\styx\src\main\java\com\crowdriff\styx\StyxQueue.java;JUnit4;93;10;Assertion Roulette;testGetTwoEach;65-65;65-65
styx;StyxQueueTest;C:\Users\cebec\.jnose_projects\styx\src\test\java\com\crowdriff\styx\StyxQueueTest.java;C:\Users\cebec\.jnose_projects\styx\src\main\java\com\crowdriff\styx\StyxQueue.java;JUnit4;93;10;Assertion Roulette;testGetTwoEach;66-66;66-66
styx;StyxQueueTest;C:\Users\cebec\.jnose_projects\styx\src\test\java\com\crowdriff\styx\StyxQueueTest.java;C:\Users\cebec\.jnose_projects\styx\src\main\java\com\crowdriff\styx\StyxQueue.java;JUnit4;93;10;Assertion Roulette;testGetTwoEach;67-67;67-67
styx;StyxQueueTest;C:\Users\cebec\.jnose_projects\styx\src\test\java\com\crowdriff\styx\StyxQueueTest.java;C:\Users\cebec\.jnose_projects\styx\src\main\java\com\crowdriff\styx\StyxQueue.java;JUnit4;93;10;Assertion Roulette;testGetTwoEach;68-68;68-68
styx;StyxQueueTest;C:\Users\cebec\.jnose_projects\styx\src\test\java\com\crowdriff\styx\StyxQueueTest.java;C:\Users\cebec\.jnose_projects\styx\src\main\java\com\crowdriff\styx\StyxQueue.java;JUnit4;93;10;Assertion Roulette;testGetTwoEach;69-69;69-69
styx;StyxQueueTest;C:\Users\cebec\.jnose_projects\styx\src\test\java\com\crowdriff\styx\StyxQueueTest.java;C:\Users\cebec\.jnose_projects\styx\src\main\java\com\crowdriff\styx\StyxQueue.java;JUnit4;93;10;Assertion Roulette;testGetTwoEach;70-70;70-70
