projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
suffixtree;EdgeBagTest;C:\Users\cebec\.jnose_projects\suffixtree\src\test\java\com\abahgat\suffixtree\EdgeBagTest.java;C:\Users\cebec\.jnose_projects\suffixtree\src\main\java\com\abahgat\suffixtree\EdgeBag.java;JUnit4;80;8;Magic Number Test;testPut;58;58
suffixtree;EdgeBagTest;C:\Users\cebec\.jnose_projects\suffixtree\src\test\java\com\abahgat\suffixtree\EdgeBagTest.java;C:\Users\cebec\.jnose_projects\suffixtree\src\main\java\com\abahgat\suffixtree\EdgeBag.java;JUnit4;80;8;Duplicate Assert;testCast;68, 72;68, 72
suffixtree;EdgeBagTest;C:\Users\cebec\.jnose_projects\suffixtree\src\test\java\com\abahgat\suffixtree\EdgeBagTest.java;C:\Users\cebec\.jnose_projects\suffixtree\src\main\java\com\abahgat\suffixtree\EdgeBag.java;JUnit4;80;8;Assertion Roulette;testPut;59-59;59-59
suffixtree;EdgeBagTest;C:\Users\cebec\.jnose_projects\suffixtree\src\test\java\com\abahgat\suffixtree\EdgeBagTest.java;C:\Users\cebec\.jnose_projects\suffixtree\src\main\java\com\abahgat\suffixtree\EdgeBag.java;JUnit4;80;8;Assertion Roulette;testPut;60-60;60-60
suffixtree;EdgeBagTest;C:\Users\cebec\.jnose_projects\suffixtree\src\test\java\com\abahgat\suffixtree\EdgeBagTest.java;C:\Users\cebec\.jnose_projects\suffixtree\src\main\java\com\abahgat\suffixtree\EdgeBag.java;JUnit4;80;8;Assertion Roulette;testPut;61-61;61-61
suffixtree;EdgeBagTest;C:\Users\cebec\.jnose_projects\suffixtree\src\test\java\com\abahgat\suffixtree\EdgeBagTest.java;C:\Users\cebec\.jnose_projects\suffixtree\src\main\java\com\abahgat\suffixtree\EdgeBag.java;JUnit4;80;8;Assertion Roulette;testPut;62-62;62-62
suffixtree;EdgeBagTest;C:\Users\cebec\.jnose_projects\suffixtree\src\test\java\com\abahgat\suffixtree\EdgeBagTest.java;C:\Users\cebec\.jnose_projects\suffixtree\src\main\java\com\abahgat\suffixtree\EdgeBag.java;JUnit4;80;8;Assertion Roulette;testCast;68-68;68-68
suffixtree;EdgeBagTest;C:\Users\cebec\.jnose_projects\suffixtree\src\test\java\com\abahgat\suffixtree\EdgeBagTest.java;C:\Users\cebec\.jnose_projects\suffixtree\src\main\java\com\abahgat\suffixtree\EdgeBag.java;JUnit4;80;8;Assertion Roulette;testCast;72-72;72-72
suffixtree;EdgeBagTest;C:\Users\cebec\.jnose_projects\suffixtree\src\test\java\com\abahgat\suffixtree\EdgeBagTest.java;C:\Users\cebec\.jnose_projects\suffixtree\src\main\java\com\abahgat\suffixtree\EdgeBag.java;JUnit4;80;8;Conditional Test Logic;testCast;67-69;67-69
suffixtree;EdgeBagTest;C:\Users\cebec\.jnose_projects\suffixtree\src\test\java\com\abahgat\suffixtree\EdgeBagTest.java;C:\Users\cebec\.jnose_projects\suffixtree\src\main\java\com\abahgat\suffixtree\EdgeBag.java;JUnit4;80;8;Conditional Test Logic;testCast;71-73;71-73
suffixtree;EdgeBagTest;C:\Users\cebec\.jnose_projects\suffixtree\src\test\java\com\abahgat\suffixtree\EdgeBagTest.java;C:\Users\cebec\.jnose_projects\suffixtree\src\main\java\com\abahgat\suffixtree\EdgeBag.java;JUnit4;80;8;Constructor Initialization;EdgeBagTest;27-28;27-28
suffixtree;EdgeBagTest;C:\Users\cebec\.jnose_projects\suffixtree\src\test\java\com\abahgat\suffixtree\EdgeBagTest.java;C:\Users\cebec\.jnose_projects\suffixtree\src\main\java\com\abahgat\suffixtree\EdgeBag.java;JUnit4;80;8;EmptyTest;testSort;76-78;76-78
suffixtree;UtilsTest;C:\Users\cebec\.jnose_projects\suffixtree\src\test\java\com\abahgat\suffixtree\UtilsTest.java;C:\Users\cebec\.jnose_projects\suffixtree\src\main\java\com\abahgat\suffixtree\Utils.java;JUnit3;66;5;Assertion Roulette;testNormalize;47-47;47-47
