projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Magic Number Test;testComment;28;28
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Magic Number Test;testComment;29;29
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Magic Number Test;testComment;37;37
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Magic Number Test;testComment;38;38
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Magic Number Test;testComment;39;39
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Magic Number Test;testComment;43;43
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Magic Number Test;testComment;44;44
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Magic Number Test;testComment;49;49
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Magic Number Test;testComment;50;50
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Magic Number Test;testComment;54;54
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Magic Number Test;testComment;55;55
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Magic Number Test;testComment;60;60
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Magic Number Test;testComment;61;61
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Magic Number Test;testComment;65;65
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Verbose Test;testComment;13-77;13-77
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Duplicate Assert;testComment;27, 36, 42, 48, 53, 59, 67;27, 36, 42, 48, 53, 59, 67
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Duplicate Assert;testComment;28, 43, 49, 54, 60;28, 43, 49, 54, 60
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Duplicate Assert;testComment;29, 38, 44, 50, 55, 61;29, 38, 44, 50, 55, 61
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Eager Test;testComment;25, 26, 31, 41, 46, 52, 57, 58, 64, 66, 69, 70, 72, 73, 75, 76;25, 26, 31, 41, 46, 52, 57, 58, 64, 66, 69, 70, 72, 73, 75, 76
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Assertion Roulette;testComment;27-27;27-27
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Assertion Roulette;testComment;28-28;28-28
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Assertion Roulette;testComment;29-29;29-29
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Assertion Roulette;testComment;36-36;36-36
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Assertion Roulette;testComment;37-37;37-37
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Assertion Roulette;testComment;38-38;38-38
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Assertion Roulette;testComment;39-39;39-39
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Assertion Roulette;testComment;42-42;42-42
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Assertion Roulette;testComment;43-43;43-43
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Assertion Roulette;testComment;44-44;44-44
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Assertion Roulette;testComment;48-48;48-48
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Assertion Roulette;testComment;49-49;49-49
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Assertion Roulette;testComment;50-50;50-50
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Assertion Roulette;testComment;53-53;53-53
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Assertion Roulette;testComment;54-54;54-54
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Assertion Roulette;testComment;55-55;55-55
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Assertion Roulette;testComment;59-59;59-59
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Assertion Roulette;testComment;60-60;60-60
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Assertion Roulette;testComment;61-61;61-61
toradocu;CommentTest;C:\Users\cebec\.jnose_projects\toradocu\src\test\java\org\toradocu\extractor\CommentTest.java;C:\Users\cebec\.jnose_projects\toradocu\src\main\java\org\toradocu\extractor\Comment.java;JUnit4;78;1;Assertion Roulette;testComment;65-65;65-65
