projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
tp-2D-cutting-stock-problem;BoxTest;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\test\java\com\polytech4A\cuttingstock\core\model\BoxTest.java;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\main\java\com\polytech4A\cuttingstock\core\model\Box.java;JUnit3;60;5;Assertion Roulette;testEquals;48-48;48-48
tp-2D-cutting-stock-problem;BoxTest;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\test\java\com\polytech4A\cuttingstock\core\model\BoxTest.java;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\main\java\com\polytech4A\cuttingstock\core\model\Box.java;JUnit3;60;5;Assertion Roulette;testEquals;49-49;49-49
tp-2D-cutting-stock-problem;BoxTest;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\test\java\com\polytech4A\cuttingstock\core\model\BoxTest.java;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\main\java\com\polytech4A\cuttingstock\core\model\Box.java;JUnit3;60;5;Assertion Roulette;testEquals;50-50;50-50
tp-2D-cutting-stock-problem;BoxTest;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\test\java\com\polytech4A\cuttingstock\core\model\BoxTest.java;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\main\java\com\polytech4A\cuttingstock\core\model\Box.java;JUnit3;60;5;Assertion Roulette;testEquals;51-51;51-51
tp-2D-cutting-stock-problem;BoxTest;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\test\java\com\polytech4A\cuttingstock\core\model\BoxTest.java;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\main\java\com\polytech4A\cuttingstock\core\model\Box.java;JUnit3;60;5;Assertion Roulette;testClone;56-56;56-56
tp-2D-cutting-stock-problem;BoxTest;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\test\java\com\polytech4A\cuttingstock\core\model\BoxTest.java;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\main\java\com\polytech4A\cuttingstock\core\model\Box.java;JUnit3;60;5;Assertion Roulette;testClone;57-57;57-57
tp-2D-cutting-stock-problem;BoxTest;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\test\java\com\polytech4A\cuttingstock\core\model\BoxTest.java;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\main\java\com\polytech4A\cuttingstock\core\model\Box.java;JUnit3;60;5;Assertion Roulette;testClone;58-58;58-58
tp-2D-cutting-stock-problem;PatternTest;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\test\java\com\polytech4A\cuttingstock\core\model\PatternTest.java;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\main\java\com\polytech4A\cuttingstock\core\model\Pattern.java;JUnit3;72;7;Magic Number Test;testGetBoxes;58;58
tp-2D-cutting-stock-problem;PatternTest;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\test\java\com\polytech4A\cuttingstock\core\model\PatternTest.java;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\main\java\com\polytech4A\cuttingstock\core\model\Pattern.java;JUnit3;72;7;Magic Number Test;testGetBoxes;59;59
tp-2D-cutting-stock-problem;PatternTest;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\test\java\com\polytech4A\cuttingstock\core\model\PatternTest.java;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\main\java\com\polytech4A\cuttingstock\core\model\Pattern.java;JUnit3;72;7;Sensitive Equality;testToString;64-64;64-64
tp-2D-cutting-stock-problem;PatternTest;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\test\java\com\polytech4A\cuttingstock\core\model\PatternTest.java;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\main\java\com\polytech4A\cuttingstock\core\model\Pattern.java;JUnit3;72;7;Lazy Test;testClone, testGetBoxes;70, 57;70, 57
tp-2D-cutting-stock-problem;PatternTest;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\test\java\com\polytech4A\cuttingstock\core\model\PatternTest.java;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\main\java\com\polytech4A\cuttingstock\core\model\Pattern.java;JUnit3;72;7;Assertion Roulette;testGetBoxes;58-58;58-58
tp-2D-cutting-stock-problem;PatternTest;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\test\java\com\polytech4A\cuttingstock\core\model\PatternTest.java;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\main\java\com\polytech4A\cuttingstock\core\model\Pattern.java;JUnit3;72;7;Assertion Roulette;testGetBoxes;59-59;59-59
tp-2D-cutting-stock-problem;PatternTest;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\test\java\com\polytech4A\cuttingstock\core\model\PatternTest.java;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\main\java\com\polytech4A\cuttingstock\core\model\Pattern.java;JUnit3;72;7;Assertion Roulette;testToString;64-64;64-64
tp-2D-cutting-stock-problem;PatternTest;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\test\java\com\polytech4A\cuttingstock\core\model\PatternTest.java;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\main\java\com\polytech4A\cuttingstock\core\model\Pattern.java;JUnit3;72;7;Assertion Roulette;testClone;69-69;69-69
tp-2D-cutting-stock-problem;PatternTest;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\test\java\com\polytech4A\cuttingstock\core\model\PatternTest.java;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\main\java\com\polytech4A\cuttingstock\core\model\Pattern.java;JUnit3;72;7;Assertion Roulette;testClone;70-70;70-70
tp-2D-cutting-stock-problem;PatternTest;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\test\java\com\polytech4A\cuttingstock\core\model\PatternTest.java;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\main\java\com\polytech4A\cuttingstock\core\model\Pattern.java;JUnit3;72;7;General Fixture;setUp;41;41
tp-2D-cutting-stock-problem;PlacedBoxTest;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\test\java\com\polytech4A\cuttingstock\core\model\PlacedBoxTest.java;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\main\java\com\polytech4A\cuttingstock\core\model\PlacedBox.java;JUnit3;44;1;Eager Test;testClone;36, 42;36, 42
tp-2D-cutting-stock-problem;PlacedBoxTest;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\test\java\com\polytech4A\cuttingstock\core\model\PlacedBoxTest.java;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\main\java\com\polytech4A\cuttingstock\core\model\PlacedBox.java;JUnit3;44;1;Assertion Roulette;testClone;38-38;38-38
tp-2D-cutting-stock-problem;PlacedBoxTest;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\test\java\com\polytech4A\cuttingstock\core\model\PlacedBoxTest.java;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\main\java\com\polytech4A\cuttingstock\core\model\PlacedBox.java;JUnit3;44;1;Assertion Roulette;testClone;39-39;39-39
tp-2D-cutting-stock-problem;PlacedBoxTest;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\test\java\com\polytech4A\cuttingstock\core\model\PlacedBoxTest.java;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\main\java\com\polytech4A\cuttingstock\core\model\PlacedBox.java;JUnit3;44;1;Assertion Roulette;testClone;40-40;40-40
tp-2D-cutting-stock-problem;PlacedBoxTest;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\test\java\com\polytech4A\cuttingstock\core\model\PlacedBoxTest.java;C:\Users\cebec\.jnose_projects\tp-2D-cutting-stock-problem\Core\src\main\java\com\polytech4A\cuttingstock\core\model\PlacedBox.java;JUnit3;44;1;Assertion Roulette;testClone;41-41;41-41
