projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
training-code;AppTest;C:\Users\cebec\.jnose_projects\training-code\3-java\03-io\src\test\java\com\revature\AppTest.java;C:\Users\cebec\.jnose_projects\training-code\3-java\05-mvc\src\main\java\com\revature\App.java;JUnit4;20;1;Redundant Assertion;shouldAnswerWithTrue;18-18;18-18
training-code;AppTest;C:\Users\cebec\.jnose_projects\training-code\3-java\03-io\src\test\java\com\revature\AppTest.java;C:\Users\cebec\.jnose_projects\training-code\3-java\05-mvc\src\main\java\com\revature\App.java;JUnit4;20;1;Assertion Roulette;shouldAnswerWithTrue;18-18;18-18
training-code;AppTest;C:\Users\cebec\.jnose_projects\training-code\3-java\04-collection\src\test\java\com\revature\AppTest.java;C:\Users\cebec\.jnose_projects\training-code\3-java\05-mvc\src\main\java\com\revature\App.java;JUnit4;40;6;Redundant Assertion;shouldAnswerWithTrue;22-22;22-22
training-code;AppTest;C:\Users\cebec\.jnose_projects\training-code\3-java\04-collection\src\test\java\com\revature\AppTest.java;C:\Users\cebec\.jnose_projects\training-code\3-java\05-mvc\src\main\java\com\revature\App.java;JUnit4;40;6;Assertion Roulette;shouldAnswerWithTrue;22-22;22-22
training-code;AppTest;C:\Users\cebec\.jnose_projects\training-code\3-java\04-collection\src\test\java\com\revature\AppTest.java;C:\Users\cebec\.jnose_projects\training-code\3-java\05-mvc\src\main\java\com\revature\App.java;JUnit4;40;6;Assertion Roulette;greetShouldReturnHelloWorld;27-27;27-27
training-code;AppTest;C:\Users\cebec\.jnose_projects\training-code\3-java\04-collection\src\test\java\com\revature\AppTest.java;C:\Users\cebec\.jnose_projects\training-code\3-java\05-mvc\src\main\java\com\revature\App.java;JUnit4;40;6;Assertion Roulette;greetShouldReturnHolaMundo;32-32;32-32
training-code;AppTest;C:\Users\cebec\.jnose_projects\training-code\3-java\04-collection\src\test\java\com\revature\AppTest.java;C:\Users\cebec\.jnose_projects\training-code\3-java\05-mvc\src\main\java\com\revature\App.java;JUnit4;40;6;Assertion Roulette;greetShouldReturnHolaMundo;33-33;33-33
training-code;AppTest;C:\Users\cebec\.jnose_projects\training-code\3-java\04-collection\src\test\java\com\revature\AppTest.java;C:\Users\cebec\.jnose_projects\training-code\3-java\05-mvc\src\main\java\com\revature\App.java;JUnit4;40;6;Assertion Roulette;afterGreetShouldSayGoodbye;38-38;38-38
training-code;AppTest;C:\Users\cebec\.jnose_projects\training-code\3-java\04-collection\src\test\java\com\revature\AppTest.java;C:\Users\cebec\.jnose_projects\training-code\3-java\05-mvc\src\main\java\com\revature\App.java;JUnit4;40;6;General Fixture;setup;17;17
training-code;JpaApplicationTests;C:\Users\cebec\.jnose_projects\training-code\6-spring\03-jpa\jpa\src\test\java\com\revature\JpaApplicationTests.java;C:\Users\cebec\.jnose_projects\training-code\6-spring\03-jpa\jpa\src\main\java\com\revature\JpaApplication.java;JUnit4;16;1;EmptyTest;contextLoads;12-14;12-14
training-code;IntroSpringApplicationTests;C:\Users\cebec\.jnose_projects\training-code\6-spring\intro-spring\src\test\java\com\revature\introspring\IntroSpringApplicationTests.java;C:\Users\cebec\.jnose_projects\training-code\6-spring\intro-spring\src\main\java\com\revature\introspring\IntroSpringApplication.java;JUnit4;16;1;EmptyTest;contextLoads;12-14;12-14
training-code;ArtistMicroApplicationTests;C:\Users\cebec\.jnose_projects\training-code\7-msa\artist-micro\src\test\java\com\revature\demo\ArtistMicroApplicationTests.java;C:\Users\cebec\.jnose_projects\training-code\7-msa\artist-micro\src\main\java\com\revature\demo\ArtistMicroApplication.java;JUnit4;16;1;EmptyTest;contextLoads;12-14;12-14
training-code;DiscoveryApplicationTests;C:\Users\cebec\.jnose_projects\training-code\7-msa\discovery\src\test\java\com\example\demo\DiscoveryApplicationTests.java;C:\Users\cebec\.jnose_projects\training-code\7-msa\discovery\src\main\java\com\example\demo\DiscoveryApplication.java;JUnit4;16;1;EmptyTest;contextLoads;12-14;12-14
training-code;GatewayApplicationTests;C:\Users\cebec\.jnose_projects\training-code\7-msa\gateway\src\test\java\com\revature\demo\GatewayApplicationTests.java;C:\Users\cebec\.jnose_projects\training-code\7-msa\gateway\src\main\java\com\revature\demo\GatewayApplication.java;JUnit4;16;1;EmptyTest;contextLoads;12-14;12-14
